Date,Open,High,Low,Close,Volume
2024-10-07,3.01,3.19,2.92,3.18,12152600
2024-10-08,3.12,3.13,3.01,3.03,9004100
2024-10-09,3.01,3.07,2.96,2.97,7785900
2024-10-10,2.93,2.96,2.85,2.94,11858500
2024-10-11,2.94,3.10,2.93,3.08,10986300
2024-10-14,3.09,3.10,3.02,3.08,6647200
2024-10-15,3.08,3.15,3.04,3.11,8497500
2024-10-16,3.14,3.22,3.12,3.19,10353700
2024-10-17,3.16,3.20,3.11,3.19,5879300
2024-10-18,3.20,3.28,3.18,3.19,6503900
2024-10-21,3.16,3.24,3.03,3.06,7877800
2024-10-22,3.05,3.31,2.98,3.30,25027500
2024-10-23,3.39,3.49,3.09,3.12,17429700
2024-10-24,3.15,3.29,3.05,3.09,14628500
2024-10-25,3.06,3.14,3.05,3.10,10065000
2024-10-28,3.13,3.43,3.13,3.41,21890400
2024-10-29,3.41,3.42,3.25,3.36,11536600
2024-10-30,3.41,3.48,3.26,3.28,16623600
2024-10-31,3.27,3.28,3.08,3.15,13328900
2024-11-01,3.23,3.34,3.17,3.28,9928800
2024-11-04,3.27,3.33,3.22,3.24,8620100
2024-11-05,3.22,3.25,3.15,3.25,8216500
2024-11-06,3.33,3.38,3.14,3.21,16040400
2024-11-07,3.40,3.65,3.35,3.50,29726500
2024-11-08,3.59,4.10,3.49,3.89,41549000
2024-11-11,4.28,4.59,4.06,4.51,49078700
2024-11-12,4.41,4.86,4.34,4.66,37569300
2024-11-13,4.77,4.78,4.15,4.28,33046800
2024-11-14,4.32,4.54,4.28,4.29,16100000
2024-11-15,4.28,4.29,4.05,4.11,16516000
2024-11-18,4.13,4.48,4.05,4.41,19439500
2024-11-19,4.35,5.15,4.33,5.13,34883300
2024-11-20,5.14,5.16,4.88,5.06,28598800
2024-11-21,5.10,5.91,4.94,5.78,42379800
2024-11-22,6.08,6.22,5.74,6.04,46572300
2024-11-25,6.64,7.90,6.41,7.48,79913300
2024-11-26,7.25,7.62,6.82,7.22,39613100
2024-11-27,7.51,8.54,7.45,8.08,62743000
2024-11-29,8.81,9.84,8.31,9.57,60496800
2024-12-02,9.69,9.72,6.82,7.30,115890600
2024-12-03,6.41,7.16,6.26,6.75,51919400
2024-12-04,6.74,7.30,6.65,6.96,40378400
2024-12-05,7.15,8.37,7.04,7.66,57415800
2024-12-06,8.02,8.63,7.72,8.28,43482000
2024-12-09,8.25,8.26,7.43,7.82,31789600
2024-12-10,7.64,8.25,7.57,7.72,18811700
2024-12-11,7.60,7.60,7.04,7.39,26294600
2024-12-12,7.00,7.45,6.85,7.17,56677500
2024-12-13,7.50,8.53,7.33,8.39,84219600
2024-12-16,8.59,9.29,8.13,8.87,70257000
2024-12-17,8.84,9.52,8.57,9.09,42851200
2024-12-18,9.28,10.58,8.76,8.95,81992300
2024-12-19,9.14,9.68,8.19,8.42,52338900
2024-12-20,8.25,10.00,8.18,9.49,70232700
2024-12-23,9.70,10.14,9.15,9.38,36494600
