Date,Open,High,Low,Close,Volume
2024-10-07,503.96,504.87,486.40,487.30,4870500
2024-10-08,492.45,500.00,486.40,496.24,3551600
2024-10-09,495.88,495.88,492.32,494.08,2869400
2024-10-10,490.54,506.45,489.35,503.57,2775100
2024-10-11,504.78,507.98,494.90,495.42,2992400
2024-10-14,501.80,514.26,500.41,509.65,3411500
2024-10-15,513.82,517.77,506.80,508.03,3605700
2024-10-16,506.39,506.84,500.25,502.54,1859100
2024-10-17,506.51,507.50,495.23,496.83,2769200
2024-10-18,491.29,499.00,491.05,494.90,2011100
2024-10-21,494.60,500.65,492.96,497.71,1679700
2024-10-22,496.43,497.34,488.36,493.11,2388700
2024-10-23,492.00,493.83,483.39,485.03,2021300
2024-10-24,486.63,488.47,480.06,482.87,2100300
2024-10-25,483.42,488.34,482.52,483.72,2426800
2024-10-28,487.65,488.49,480.48,481.04,2302300
2024-10-29,481.92,487.56,479.33,485.39,2089500
2024-10-30,482.24,492.20,482.24,486.68,2728600
2024-10-31,486.00,486.05,477.38,478.08,2978700
2024-11-01,475.41,485.16,475.05,482.80,2851600
2024-11-04,479.03,483.76,477.37,481.35,1954900
2024-11-05,483.09,486.66,480.47,486.42,1588100
2024-11-06,492.93,506.21,492.93,504.83,2969900
2024-11-07,510.66,510.66,495.30,500.92,2640300
2024-11-08,503.83,505.00,493.69,494.68,2856900
2024-11-11,493.60,507.72,493.60,504.48,3536600
2024-11-12,504.39,528.91,504.27,526.42,4125300
2024-11-13,523.79,539.92,520.59,532.50,3470200
2024-11-14,530.55,534.64,523.46,529.87,3098800
2024-11-15,520.30,524.50,498.81,503.37,4612400
2024-11-18,505.00,505.51,497.69,499.51,2259000
2024-11-19,496.00,502.41,495.46,499.61,1961700
2024-11-20,505.41,506.36,494.61,499.50,1874900
2024-11-21,502.10,508.57,493.10,504.44,2002100
2024-11-22,502.50,513.37,502.50,512.15,2287200
2024-11-25,519.09,523.21,513.19,518.73,3320000
2024-11-26,519.95,525.76,516.36,525.30,2415700
2024-11-27,523.21,525.88,508.72,513.68,2324200
2024-11-29,517.65,517.65,513.58,515.93,1450200
2024-12-02,512.85,518.77,511.53,516.20,2006900
2024-12-03,511.04,516.78,504.51,516.26,2119300
2024-12-04,523.02,541.77,521.01,536.49,3307000
2024-12-05,534.42,540.11,529.79,538.22,2629100
2024-12-06,544.15,554.37,542.90,552.96,2964100
2024-12-09,556.10,557.90,546.11,547.93,3588700
2024-12-10,547.35,552.83,544.22,547.05,2762900
2024-12-11,547.05,552.30,541.74,549.93,6690600
2024-12-12,487.50,494.00,470.90,474.63,17344900
2024-12-13,473.98,474.91,456.80,465.69,11395500
2024-12-16,467.19,473.62,461.20,461.53,5807000
2024-12-17,460.59,465.86,452.48,455.23,7514500
2024-12-18,453.24,455.25,441.10,441.31,6511100
2024-12-19,443.41,449.00,437.11,437.39,6479500
2024-12-20,433.02,451.42,432.47,447.17,8220000
2024-12-23,447.00,451.43,443.42,446.74,3781200
2024-12-24,446.50,448.87,442.57,447.94,1685000
2024-12-26,445.85,452.34,444.68,450.16,2131200
2024-12-27,446.88,449.91,441.11,446.48,2947200
2024-12-30,442.94,447.60,438.57,445.80,3473200
2024-12-31,446.35,448.50,442.81,444.68,2285100
2025-01-02,447.76,450.12,440.56,441.00,2504700
2025-01-03,429.45,433.30,425.32,430.57,5617000
2025-01-06,431.88,436.41,427.79,431.18,3994400
2025-01-07,431.37,435.18,420.51,422.63,4181400
2025-01-08,417.34,422.66,415.51,419.58,3508800
2025-01-10,410.00,413.10,405.32,405.92,5564300
2025-01-13,404.27,409.96,403.75,408.50,4558800
2025-01-14,407.25,412.75,405.07,412.71,3577100
2025-01-15,421.70,423.97,415.66,417.28,4345800
2025-01-16,418.21,428.89,418.00,426.93,4185600
2025-01-17,434.35,435.99,425.70,429.99,4012700
2025-01-21,433.26,439.98,431.50,436.36,3833300
2025-01-22,438.00,439.73,433.43,437.32,3391600
2025-01-23,435.88,437.73,432.49,437.28,2716700
2025-01-24,437.28,441.88,434.73,435.38,2631800
2025-01-27,430.23,445.45,430.12,438.60,5086300
2025-01-28,436.27,445.81,431.64,442.84,5376400
2025-01-29,439.92,444.36,438.83,441.68,2997600
2025-01-30,439.67,448.42,439.23,446.00,3290100
2025-01-31,446.98,447.01,435.83,437.45,4684300
2025-02-03,437.80,442.74,430.88,438.60,3348700
2025-02-04,435.43,443.58,434.26,440.23,2647700
2025-02-05,440.75,444.95,436.27,437.63,2937800
2025-02-06,437.63,439.96,434.35,435.40,2568100
2025-02-07,436.24,441.00,432.41,433.07,2693500
2025-02-10,439.25,453.37,439.00,451.10,3946700
2025-02-11,449.00,461.55,448.29,458.82,3257000
2025-02-12,458.00,463.00,451.30,462.76,3308500
2025-02-13,465.21,465.70,457.03,459.22,2794400
2025-02-14,463.35,464.99,458.00,460.16,2623000
2025-02-18,462.65,464.33,453.07,464.11,2973800
2025-02-19,463.61,463.61,455.32,456.99,2965500
2025-02-20,457.44,461.00,451.57,454.69,2337600
2025-02-21,453.28,453.75,440.69,444.32,3376000
2025-02-24,445.11,446.28,440.91,444.42,2807900
2025-02-25,443.47,447.49,439.17,443.41,2612700
2025-02-26,443.80,447.65,438.40,441.50,1947600
2025-02-27,441.79,444.57,436.82,437.19,2340200
2025-02-28,438.16,440.37,432.10,438.56,3936900
2025-03-03,440.65,448.09,438.21,440.72,2607700
2025-03-04,439.25,448.82,434.70,446.03,2942200
2025-03-05,443.65,453.26,443.11,451.24,2406200
2025-03-06,444.73,452.19,441.19,444.78,2732100
2025-03-07,442.00,452.51,440.99,449.40,3039500
2025-03-10,443.11,444.54,433.23,435.08,4001600
2025-03-11,432.88,441.33,431.00,433.66,3145200
2025-03-12,436.69,443.90,435.50,438.60,5515900
2025-03-13,405.27,405.77,374.50,377.84,14386600
2025-03-14,379.75,396.36,377.80,394.74,6134800
2025-03-17,394.12,399.94,387.13,399.34,4258500
2025-03-18,395.36,395.95,384.57,391.37,4297300
2025-03-19,394.10,395.26,387.00,387.89,4349900
2025-03-20,386.90,397.82,385.80,389.61,4009500
2025-03-21,384.13,389.85,382.45,387.26,7607300
2025-03-24,392.47,396.86,391.38,394.47,5223000
2025-03-25,393.57,404.32,392.99,403.64,3648600
2025-03-26,403.00,404.50,397.01,397.81,3425000
2025-03-27,397.44,401.48,392.51,396.15,2729700
2025-03-28,393.89,396.92,384.76,385.71,3830300
2025-03-31,380.00,384.80,374.67,383.53,3960700
2025-04-01,381.13,384.00,375.53,383.20,3847800
2025-04-02,378.28,388.00,376.54,385.78,2859100
2025-04-03,371.88,376.01,366.29,367.25,5324400
2025-04-04,359.00,361.73,348.80,349.07,5867600
2025-04-07,335.54,358.36,332.01,340.70,7690900
2025-04-08,350.10,350.74,333.83,340.00,6650800
2025-04-09,338.74,365.72,333.43,364.64,7186300
2025-04-10,360.97,362.50,341.52,350.05,5695000
2025-04-11,351.44,353.10,342.35,352.47,3941800
2025-04-14,359.51,362.05,348.50,350.91,3286000
2025-04-15,351.05,356.49,349.19,350.38,3030400
2025-04-16,345.00,350.38,341.31,344.19,3687900
2025-04-17,349.75,351.88,345.09,348.80,5229700
