Date,Open,High,Low,Close,Volume
2024-10-07,171.08,172.41,168.21,170.97,38379900
2024-10-08,171.75,173.60,170.00,172.80,34730200
2024-10-09,174.05,174.05,169.55,171.02,33890700
2024-10-10,169.76,172.01,162.00,164.18,75113600
2024-10-11,164.19,169.35,163.01,167.89,42136200
2024-10-14,167.77,168.90,165.15,165.27,31757200
2024-10-15,163.21,164.13,155.74,156.64,50768000
2024-10-16,158.07,158.28,154.92,156.13,30575800
2024-10-17,160.00,160.44,156.20,156.25,29491900
2024-10-18,157.41,158.01,155.56,155.97,23823000
2024-10-21,155.76,158.00,154.15,157.90,25781200
2024-10-22,156.60,156.74,151.91,154.09,34997400
2024-10-23,153.00,153.45,150.52,152.91,26095900
2024-10-24,154.74,155.19,152.35,153.44,22877000
2024-10-25,155.40,158.91,155.05,156.23,29758500
2024-10-28,158.50,160.28,157.04,159.92,36010100
2024-10-29,161.10,167.51,158.94,166.25,71896000
2024-10-30,153.01,153.12,148.10,148.60,87701700
2024-10-31,147.80,148.68,143.33,144.07,44386600
2024-11-01,144.44,144.54,141.32,141.86,39027400
2024-11-04,141.70,143.64,139.72,140.71,29117400
2024-11-05,141.94,143.08,140.80,141.66,27067300
2024-11-06,144.95,145.63,141.52,145.10,32911500
2024-11-07,146.68,150.12,145.66,149.82,30326400
2024-11-08,149.39,150.71,147.53,147.95,27560300
2024-11-11,147.38,148.57,144.91,147.35,29868100
2024-11-12,147.00,147.45,141.55,143.63,33560300
2024-11-13,142.86,144.49,139.07,139.30,35146600
2024-11-14,140.34,141.40,138.56,138.84,31681400
2024-11-15,136.57,137.35,133.65,134.90,44217500
2024-11-18,138.19,140.90,137.21,138.93,38705400
2024-11-19,137.41,139.75,137.14,139.39,23131400
2024-11-20,138.96,140.77,135.48,137.60,28843100
2024-11-21,138.87,140.28,134.93,137.49,29311400
2024-11-22,137.35,139.13,137.04,138.35,21784700
2024-11-25,140.49,142.35,139.05,141.13,30923100
2024-11-26,142.55,142.80,136.62,137.72,32092400
2024-11-27,137.20,137.94,132.96,136.24,30175300
2024-11-29,136.24,138.59,135.78,137.18,16085700
2024-12-02,137.92,142.82,137.80,142.06,33102400
2024-12-03,142.58,143.45,141.08,141.98,22665300
2024-12-04,142.96,144.12,141.18,143.99,25942700
2024-12-05,143.68,143.95,140.38,141.36,29576900
2024-12-06,141.48,142.79,137.40,138.59,33576800
2024-12-09,135.71,135.77,130.00,130.87,57055600
2024-12-10,131.56,131.56,127.07,127.74,38907200
2024-12-11,128.52,131.21,126.22,130.15,45588100
2024-12-12,130.00,132.32,129.07,130.60,34267100
2024-12-13,131.30,131.30,124.77,126.91,67544700
2024-12-16,126.01,127.76,123.12,126.69,42090300
2024-12-17,124.45,127.08,123.15,125.02,43314900
2024-12-18,125.43,127.75,120.43,121.41,49724400
2024-12-19,122.16,123.38,118.45,118.88,46160700
2024-12-20,118.00,121.86,117.90,119.21,53591200
2024-12-23,120.71,126.34,120.47,124.60,47777900
2024-12-24,127.51,127.51,124.66,126.29,24829600
2024-12-26,125.52,127.30,125.05,125.06,24998200
2024-12-27,124.37,126.18,122.26,125.19,32924000
2024-12-30,123.56,124.10,122.35,122.44,30501600
2024-12-31,123.10,123.55,120.14,120.79,30203400
2025-01-02,122.29,123.14,119.44,120.63,34256200
2025-01-03,121.65,125.56,121.42,125.37,36785300
2025-01-06,129.07,130.73,127.36,129.55,48020200
2025-01-07,130.51,131.71,126.85,127.33,39220400
2025-01-08,124.51,125.30,120.12,121.84,46723100
2025-01-10,118.18,118.71,114.45,116.04,59415600
2025-01-13,115.28,117.48,114.41,117.32,39128900
2025-01-14,118.00,118.66,114.50,116.09,37005300
2025-01-15,117.55,120.42,117.46,119.96,38185800
2025-01-16,120.24,121.09,118.25,118.44,29414100
2025-01-17,120.78,122.74,120.55,121.46,35765900
2025-01-21,122.39,123.75,121.12,122.28,31578800
2025-01-22,123.08,125.65,121.91,123.75,35023800
2025-01-23,121.43,123.71,120.63,123.04,24921100
2025-01-24,124.55,125.25,122.23,122.84,31570300
2025-01-27,117.80,118.08,112.80,115.01,61067900
2025-01-28,115.18,116.15,112.95,114.17,40554800
2025-01-29,115.77,118.52,114.96,117.35,40199100
2025-01-30,118.53,120.44,117.09,118.86,29788400
2025-01-31,119.14,119.57,115.33,115.95,40463400
2025-02-03,113.88,115.16,112.98,114.27,34586100
2025-02-04,115.45,119.85,114.79,119.50,69412100
2025-02-05,107.61,112.09,106.50,112.01,110385200
2025-02-06,110.93,112.56,109.02,110.16,50426600
2025-02-07,109.13,109.92,106.79,107.56,46082500
2025-02-10,108.44,111.40,108.15,110.48,34905400
2025-02-11,108.98,113.07,108.94,111.10,35033800
2025-02-12,109.52,111.84,109.06,111.72,25319700
2025-02-13,112.00,114.60,110.40,111.81,40911800
2025-02-14,112.65,114.63,111.70,113.10,32477200
2025-02-18,114.05,115.55,113.45,114.28,31720300
2025-02-19,114.25,116.11,113.14,114.69,28807700
2025-02-20,115.01,116.55,113.11,114.17,27219600
2025-02-21,114.85,115.76,110.43,110.84,41353700
2025-02-24,111.49,111.60,107.98,108.11,29072200
2025-02-25,107.89,108.64,103.62,103.96,39169200
2025-02-26,104.95,105.80,103.99,104.74,29178200
2025-02-27,105.08,105.76,99.50,99.51,47263700
2025-02-28,99.56,101.80,98.69,99.86,45194600
2025-03-03,101.52,102.34,97.09,98.23,38958000
2025-03-04,96.00,103.18,95.89,100.75,54156900
2025-03-05,100.36,101.84,98.87,101.67,27855500
2025-03-06,99.05,101.08,98.27,98.85,28985000
2025-03-07,98.88,100.65,96.39,100.31,33254400
2025-03-10,98.57,101.29,95.83,96.63,38733200
2025-03-11,96.79,98.16,94.73,96.76,34078300
2025-03-12,99.05,101.72,98.17,100.79,34241300
2025-03-13,99.72,100.07,97.27,98.11,28575200
2025-03-14,99.64,101.22,99.58,100.97,24715300
2025-03-17,102.60,106.15,102.60,104.59,43689500
2025-03-18,103.85,104.55,102.97,103.51,27152800
2025-03-19,104.42,107.90,101.96,106.23,32287500
2025-03-20,105.12,108.26,105.12,107.14,26871800
2025-03-21,105.33,107.25,104.33,106.44,30767900
2025-03-24,109.73,114.85,109.40,113.85,53342000
2025-03-25,113.27,114.95,112.71,114.81,29077500
2025-03-26,114.11,115.90,108.68,110.19,39824000
2025-03-27,106.11,107.62,105.55,106.65,32773700
2025-03-28,105.53,106.51,102.48,103.22,31069100
2025-03-31,100.24,102.82,98.80,102.74,30865300
2025-04-01,102.16,102.83,100.93,102.78,23523200
2025-04-02,101.52,104.19,100.76,102.96,20794000
2025-04-03,97.79,99.45,93.64,93.80,50472500
2025-04-04,90.10,91.08,83.67,85.76,65847000
2025-04-07,80.68,89.00,77.75,83.64,70515400
2025-04-08,86.15,88.93,76.48,78.21,69910200
2025-04-09,79.22,97.91,78.87,96.84,97827400
2025-04-10,91.00,92.95,85.06,88.70,65210600
2025-04-11,90.51,94.76,90.50,93.40,57892600
2025-04-14,97.11,97.37,93.45,94.50,36003000
2025-04-15,94.66,96.85,94.62,95.29,28116500
2025-04-16,87.61,90.47,85.30,88.29,62109000
2025-04-17,88.84,89.03,86.52,87.50,34801400
2025-04-21,86.02,86.14,83.75,85.56,33855400
2025-04-22,86.12,87.17,85.17,86.26,35236700
2025-04-23,91.88,93.74,90.12,90.39,41102600
2025-04-24,91.59,94.75,90.37,94.47,33681900
2025-04-25,93.28,97.10,92.85,96.65,28575300
2025-04-28,95.58,97.49,94.27,96.39,30456700
2025-04-29,95.76,97.18,95.33,96.06,20700600
2025-04-30,92.81,97.55,91.87,97.35,29730700
2025-05-01,99.27,100.10,96.45,96.65,29591500
2025-05-02,98.40,99.88,98.30,98.80,29957900
2025-05-05,99.00,102.05,98.76,100.59,41268900
2025-05-06,98.41,100.07,97.44,98.62,54264300
2025-05-07,100.75,103.42,96.88,100.36,86474400
2025-05-08,101.92,105.44,101.56,101.70,54231400
2025-05-09,102.59,103.54,101.60,102.84,31704300
2025-05-12,110.42,110.67,106.98,108.12,50543400
2025-05-13,109.60,113.13,109.00,112.46,55659500
2025-05-14,119.83,122.52,116.59,117.72,86743700
2025-05-15,117.02,117.50,114.01,114.99,43843200
2025-05-16,118.07,118.24,116.01,117.17,43419700
2025-05-19,115.02,115.53,114.06,114.74,37737400
2025-05-20,114.35,114.51,112.08,113.51,29030800
2025-05-21,113.85,116.10,111.09,112.06,43594600
2025-05-22,111.90,112.64,110.61,110.71,29252000
2025-05-23,108.09,111.02,107.67,110.31,30867300
2025-05-27,113.18,115.40,112.27,114.56,37885000
2025-05-28,114.92,114.95,112.66,112.86,27483700
2025-05-29,115.49,115.54,112.13,113.03,30501400
2025-05-30,111.58,112.11,108.62,110.73,36088500
2025-06-02,111.06,114.86,111.01,114.63,34078400
2025-06-03,114.50,117.68,113.28,117.31,37161500
2025-06-04,117.41,119.30,115.73,118.58,31025000
2025-06-05,118.95,119.24,114.71,115.69,34091000
2025-06-06,117.69,118.38,115.88,116.19,27042100
2025-06-09,119.18,122.37,119.04,121.73,55437700
2025-06-10,121.11,124.09,120.80,123.24,41691900
2025-06-11,124.44,124.47,119.88,121.14,32261900
2025-06-12,120.62,122.25,118.03,118.50,44718400
2025-06-13,116.05,117.88,115.06,116.16,39702700
2025-06-16,118.64,128.14,117.78,126.39,100968500
2025-06-17,127.93,130.70,126.58,127.10,86623900
2025-06-18,128.01,129.21,125.77,126.79,49627100
2025-06-20,129.00,132.81,127.55,128.24,79931000
2025-06-23,130.47,133.25,126.82,129.58,65152900
2025-06-24,133.43,138.79,132.93,138.43,78572000
2025-06-25,140.94,144.18,139.46,143.40,74607200
2025-06-26,145.97,146.00,141.91,143.68,58180100
2025-06-27,144.18,147.75,141.63,143.81,61937900
2025-06-30,144.00,146.00,141.01,141.90,42972500
2025-07-01,138.77,140.23,135.12,136.11,55257200
2025-07-02,135.53,139.78,135.22,138.52,39228000
2025-07-03,139.11,139.50,137.32,137.91,28646000
2025-07-07,136.56,137.44,133.50,134.80,37395000
2025-07-08,137.32,139.15,135.91,137.82,36124600
2025-07-09,138.69,140.65,137.59,138.41,37013100
2025-07-10,143.00,145.82,141.85,144.16,61101500
2025-07-11,142.60,147.40,141.60,146.42,50049200
2025-07-14,145.09,147.58,141.90,146.24,44718600
2025-07-15,153.75,158.68,153.56,155.61,93370100
2025-07-16,155.31,160.36,152.85,160.08,59492800
2025-07-17,161.81,161.96,158.68,160.41,50605100
2025-07-18,159.59,160.83,155.81,156.99,48859800
2025-07-21,157.62,160.34,156.92,157.00,39021100
2025-07-22,156.20,156.23,149.34,154.72,49028000
2025-07-23,156.32,159.45,156.00,158.65,41510900
2025-07-24,159.12,163.93,158.36,162.12,48440100
2025-07-25,163.51,167.18,162.36,166.47,53432300
2025-07-28,169.08,174.70,168.67,173.66,68267800
2025-07-29,175.21,182.31,174.68,177.44,108154800
2025-07-30,175.61,180.37,173.80,179.51,64820300
2025-07-31,182.02,182.50,173.00,176.31,71765300
2025-08-01,170.16,174.40,166.82,171.70,75396100
2025-08-04,174.61,177.86,173.56,176.78,52951000
2025-08-05,177.57,177.99,171.80,174.31,88808500
2025-08-06,165.05,166.18,157.80,163.12,133641800
2025-08-07,166.84,175.75,166.70,172.40,95448300
2025-08-08,174.04,176.48,170.52,172.76,68866700
2025-08-11,170.04,178.82,169.38,172.28,70651000
2025-08-12,173.32,175.16,168.50,174.95,52243500
2025-08-13,179.91,186.65,179.38,184.42,108305100
2025-08-14,179.83,185.44,179.56,180.95,66308800
2025-08-15,180.06,180.14,176.25,177.51,51543100
2025-08-18,176.76,178.80,174.36,176.14,35937500
2025-08-19,173.10,173.17,166.10,166.55,64455000
2025-08-20,164.10,166.65,158.25,165.20,60233200
2025-08-21,165.86,165.88,162.26,163.71,37880500
2025-08-22,162.17,168.53,161.80,167.76,43998600
2025-08-25,165.55,165.59,161.72,163.36,36134700
2025-08-26,168.65,169.77,164.91,166.62,52138600
2025-08-27,166.04,167.68,164.65,167.13,37031000
2025-08-28,168.50,170.99,166.65,168.58,36285200
2025-08-29,166.81,168.57,161.90,162.63,37516800
2025-09-02,158.42,162.39,156.62,162.32,38656100
2025-09-03,161.81,164.75,160.58,162.13,30752800
2025-09-04,159.94,162.05,157.79,161.79,32103500
2025-09-05,157.12,157.14,150.18,151.14,78256000
2025-09-08,151.80,152.64,149.22,151.41,41849000
2025-09-09,151.99,156.66,151.93,155.82,42802500
2025-09-10,163.54,164.53,158.00,159.54,52465300
2025-09-11,158.62,160.21,154.99,155.67,48817700
2025-09-12,157.00,160.41,154.92,158.57,42232800
2025-09-15,160.01,162.30,157.60,161.16,36808700
2025-09-16,161.37,161.95,159.22,160.46,27946500
2025-09-17,159.28,161.63,155.76,159.16,41823800
2025-09-18,150.96,158.77,149.85,157.92,84549500
2025-09-19,157.38,159.84,155.90,157.39,55448100
2025-09-22,157.42,162.68,157.42,159.79,46505500
2025-09-23,160.52,163.39,159.21,160.90,39448300
2025-09-24,162.98,165.10,158.43,160.88,38464100
