Date,Open,High,Low,Close,Volume
2024-10-07,182.95,183.60,180.25,180.80,42364200
2024-10-08,181.92,183.09,180.92,182.72,26372100
2024-10-09,182.82,185.85,182.05,185.17,26343100
2024-10-10,187.13,188.13,185.83,186.65,27785000
2024-10-11,186.63,189.93,186.30,188.82,25751600
2024-10-14,189.78,189.83,187.36,187.54,22614400
2024-10-15,187.63,188.41,184.58,187.69,32178900
2024-10-16,187.05,187.78,185.61,186.89,23456800
2024-10-17,188.22,188.94,186.00,187.53,25039400
2024-10-18,187.15,190.74,186.28,188.99,37417700
2024-10-21,188.05,189.46,186.40,189.07,24639400
2024-10-22,188.35,191.52,186.98,189.70,29650600
2024-10-23,188.85,189.16,183.69,184.71,31937100
2024-10-24,185.25,187.11,183.86,186.38,21647400
2024-10-25,187.85,190.45,187.53,187.83,29362100
2024-10-28,189.57,190.21,188.21,188.39,27930800
2024-10-29,188.58,191.46,187.82,190.83,35690200
2024-10-30,194.70,195.61,192.42,192.73,37707600
2024-10-31,190.51,190.60,185.23,186.40,75146800
2024-11-01,199.00,200.50,197.02,197.93,99687800
2024-11-04,196.45,197.33,194.31,195.78,38492100
2024-11-05,196.04,199.82,195.99,199.50,30564800
2024-11-06,200.01,207.55,199.14,207.09,72292200
2024-11-07,207.44,212.25,207.19,210.05,52878400
2024-11-08,209.72,209.96,207.44,208.18,36075800
2024-11-11,208.50,209.65,205.59,206.84,35456000
2024-11-12,208.37,209.54,206.01,208.91,38942900
2024-11-13,209.40,215.09,209.14,214.10,46212900
2024-11-14,214.16,215.90,210.88,211.48,42620300
2024-11-15,206.76,207.34,199.61,202.61,86591100
2024-11-18,204.15,204.67,200.95,201.70,36409900
2024-11-19,199.33,205.30,198.78,204.61,31197900
2024-11-20,202.98,203.13,199.45,202.88,32769000
2024-11-21,203.49,203.49,195.75,198.38,58800000
2024-11-22,198.25,199.26,196.75,197.12,31530800
2024-11-25,199.28,201.95,199.00,201.45,40685700
2024-11-26,201.90,208.00,201.79,207.86,41673700
2024-11-27,206.98,207.64,205.05,205.74,28061600
2024-11-29,205.83,208.20,204.59,207.89,24892400
2024-12-02,209.96,212.99,209.51,210.71,39523200
2024-12-03,210.31,214.02,209.65,213.44,32214800
2024-12-04,215.96,220.00,215.75,218.16,48745700
2024-12-05,218.03,222.15,217.30,220.55,41140200
2024-12-06,220.75,227.15,220.60,227.03,44178100
2024-12-09,227.21,230.08,225.67,226.09,46819400
2024-12-10,226.09,229.06,224.20,225.04,31199900
2024-12-11,226.41,231.20,226.26,230.26,35385800
2024-12-12,229.83,231.09,227.63,228.97,28204100
2024-12-13,228.40,230.20,225.86,227.46,28768100
2024-12-16,230.23,233.00,228.01,232.93,37552100
2024-12-17,232.39,232.73,227.85,231.15,35948100
2024-12-18,230.77,231.40,220.11,220.52,43281400
2024-12-19,224.91,226.09,222.92,223.29,39918700
2024-12-20,219.84,226.21,218.73,224.92,88279200
2024-12-23,225.01,226.88,223.90,225.06,28070000
2024-12-24,226.94,229.14,226.13,229.05,15007500
2024-12-26,228.50,228.50,226.67,227.05,16146700
