Date,Open,High,Low,Close,Volume
2024-10-07,7.35,7.50,7.01,7.10,7893700
2024-10-08,7.05,7.99,6.90,7.85,10339500
2024-10-09,7.86,7.91,7.31,7.40,13323200
2024-10-10,7.49,8.09,6.66,6.89,24416400
2024-10-11,6.91,7.29,6.90,7.28,9087700
2024-10-14,7.40,7.76,7.15,7.55,11040100
2024-10-15,7.61,7.80,7.08,7.30,7918700
2024-10-16,7.52,8.28,7.43,8.05,15560900
2024-10-17,8.17,8.17,7.83,7.95,12985800
2024-10-18,7.94,8.55,7.55,8.18,15260700
2024-10-21,8.14,8.87,7.68,8.71,15502000
2024-10-22,8.67,9.48,8.65,9.13,15064700
2024-10-23,8.97,9.15,8.25,8.61,9918400
2024-10-24,8.76,8.97,8.04,8.23,9244700
2024-10-25,8.26,8.49,7.98,8.04,8779500
2024-10-28,8.20,8.64,8.13,8.27,8635200
2024-10-29,8.29,8.38,7.80,7.87,7363000
2024-10-30,7.77,7.91,7.35,7.36,7043200
2024-10-31,6.85,7.36,6.70,6.76,44462100
2024-11-01,6.82,7.24,6.24,6.46,21629300
2024-11-04,6.44,6.47,5.93,5.97,12795000
2024-11-05,6.07,6.46,5.96,6.37,9794400
2024-11-06,6.90,7.26,6.56,7.07,14752400
2024-11-07,7.09,7.88,7.06,7.79,13880900
2024-11-08,7.81,7.98,7.37,7.56,8627100
2024-11-11,7.90,8.22,7.44,7.58,12304100
2024-11-12,7.38,7.72,7.18,7.59,8415900
2024-11-13,7.60,7.85,6.97,7.17,10021100
2024-11-14,7.15,7.24,6.64,6.86,10971400
2024-11-15,7.01,7.57,6.90,7.23,22470900
2024-11-18,7.43,8.44,7.39,7.75,25218600
2024-11-19,7.90,9.26,7.77,9.16,30503500
2024-11-20,9.37,9.68,8.70,8.76,21967400
2024-11-21,9.20,9.61,8.51,9.15,21171800
2024-11-22,9.13,9.95,9.03,9.85,22342000
2024-11-25,10.37,10.94,9.81,10.68,29760700
2024-11-26,10.56,10.68,9.56,9.74,16050900
2024-11-27,9.99,10.19,9.37,9.66,10301000
2024-11-29,9.91,10.59,9.78,10.10,11660400
2024-12-02,10.19,10.54,9.61,9.62,15415900
2024-12-03,9.52,9.81,9.36,9.57,9368000
2024-12-04,9.80,10.44,9.18,9.62,23154100
2024-12-05,9.83,10.68,9.73,10.04,23743400
2024-12-06,10.29,11.25,10.18,10.67,25833200
2024-12-09,11.12,11.15,9.30,9.52,22732400
