Date,Open,High,Low,Close,Volume
2024-10-07,138.85,142.27,137.20,139.95,3848900
2024-10-08,141.37,143.95,139.90,143.51,2616000
2024-10-09,142.96,144.49,140.15,143.40,4041800
2024-10-10,141.59,145.68,141.10,144.84,3846400
2024-10-11,144.84,147.60,144.66,147.00,4037700
2024-10-14,141.27,148.48,140.92,145.30,5361000
2024-10-15,144.63,146.77,143.31,143.81,4586200
2024-10-16,144.12,145.10,139.40,144.85,4297500
2024-10-17,146.31,146.74,142.72,143.00,2598900
2024-10-18,144.15,146.02,141.35,145.22,2782700
2024-10-21,148.27,159.81,148.01,158.85,5796500
2024-10-22,161.27,163.08,157.92,158.95,3411500
2024-10-23,160.16,165.38,157.88,159.40,4049400
2024-10-24,160.56,162.72,158.08,159.00,2489100
2024-10-25,161.46,164.15,159.91,161.63,2193300
2024-10-28,163.31,166.74,162.17,166.18,2584900
2024-10-29,167.98,172.55,166.57,172.24,2874200
2024-10-30,173.22,174.46,170.83,171.65,2995100
2024-10-31,170.00,171.31,164.76,169.39,2772800
2024-11-01,171.14,171.18,163.02,163.53,3567900
2024-11-04,161.78,162.45,158.33,159.11,4037600
2024-11-05,161.71,167.43,160.52,165.18,4003600
2024-11-06,175.23,176.99,166.97,168.55,6099600
2024-11-07,230.00,257.43,228.10,246.53,18592800
2024-11-08,249.09,292.86,243.25,290.01,15031900
2024-11-11,291.12,292.05,263.26,286.43,10199300
2024-11-12,281.00,291.32,277.32,289.03,6234700
2024-11-13,290.00,291.45,278.19,283.96,4750300
2024-11-14,284.57,302.55,283.04,284.49,7161900
2024-11-15,280.50,292.05,277.50,291.09,24367500
2024-11-18,293.10,302.40,287.24,298.00,5365200
2024-11-19,295.28,323.59,293.61,321.19,5599000
2024-11-20,327.66,342.51,319.52,325.22,7107500
2024-11-21,325.62,329.19,307.70,318.24,8502500
2024-11-22,309.00,335.39,303.50,333.31,6876400
2024-11-25,344.00,344.77,317.86,319.59,8052300
2024-11-26,324.46,334.74,320.37,329.77,4442200
2024-11-27,325.15,329.36,309.32,328.56,4854000
2024-11-29,332.50,343.75,331.81,336.75,2715200
2024-12-02,335.79,347.60,335.79,340.59,3805700
2024-12-03,338.00,372.57,338.00,366.55,7364800
