Date,Open,High,Low,Close,Volume
2024-10-07,11.49,11.60,11.23,11.34,1663800
2024-10-08,11.36,11.78,11.29,11.69,1926400
2024-10-09,11.73,11.90,11.61,11.64,1240900
2024-10-10,11.46,11.89,11.37,11.83,1378300
2024-10-11,11.78,12.05,11.69,11.96,1382200
2024-10-14,12.00,12.30,11.74,12.20,1195400
2024-10-15,12.17,12.38,12.00,12.18,1124400
2024-10-16,12.29,12.29,12.03,12.13,1037800
2024-10-17,12.16,12.28,11.94,12.18,1332300
2024-10-18,12.30,12.58,12.23,12.24,918200
2024-10-21,12.14,12.32,12.04,12.14,1160400
2024-10-22,12.09,12.24,11.98,12.23,1710400
2024-10-23,12.25,12.47,11.72,11.76,1657900
2024-10-24,11.94,12.10,11.81,11.95,1042800
2024-10-25,12.05,12.14,11.72,11.85,1305900
2024-10-28,12.00,12.23,11.91,12.00,1186000
2024-10-29,11.85,12.17,11.85,12.17,1434700
2024-10-30,12.08,12.48,12.08,12.23,1201200
2024-10-31,12.21,12.33,11.94,11.94,1084100
2024-11-01,12.07,12.96,11.97,12.78,2061900
2024-11-04,12.65,12.69,12.25,12.57,1404100
2024-11-05,12.55,13.08,12.51,13.00,1975900
2024-11-06,13.62,14.06,13.59,13.87,2787100
2024-11-07,13.91,14.14,13.86,14.05,1722400
2024-11-08,14.00,14.10,13.73,13.99,1009100
2024-11-11,14.10,14.38,14.03,14.28,1384500
2024-11-12,14.07,14.49,14.05,14.34,1363300
2024-11-13,14.42,15.24,14.37,14.72,2681100
2024-11-14,14.75,14.77,14.10,14.26,1571900
2024-11-15,14.25,14.28,13.57,13.90,1912700
2024-11-18,13.91,14.06,13.72,13.81,1361900
2024-11-19,13.55,13.91,13.53,13.78,1061700
2024-11-20,13.78,14.01,13.66,13.93,1353800
2024-11-21,14.08,14.88,14.00,14.72,1599700
2024-11-22,15.00,15.82,14.87,15.74,3400400
2024-11-25,16.11,16.32,15.70,15.71,2824800
2024-11-26,15.58,15.65,15.30,15.42,1402300
2024-11-27,15.40,15.40,14.85,15.15,1243100
2024-11-29,15.34,15.46,15.08,15.31,937900
2024-12-02,15.23,15.28,14.92,15.12,2167000
2024-12-03,14.89,15.24,14.79,15.18,1958000
2024-12-04,15.65,15.90,15.41,15.83,3014700
2024-12-05,15.57,15.94,15.37,15.46,4497600
2024-12-06,20.00,22.54,19.01,22.19,23918100
2024-12-09,22.20,25.31,22.12,24.87,15153000
2024-12-10,24.49,26.10,23.01,23.42,8416300
2024-12-11,23.55,25.22,23.18,24.32,6358500
2024-12-12,24.10,24.96,23.83,23.83,4422200
2024-12-13,24.08,24.40,23.42,24.15,3436800
2024-12-16,24.13,27.77,24.02,27.52,8831100
2024-12-17,27.30,27.65,26.31,26.32,5622600
