Date,Open,High,Low,Close,Volume
2025-08-13,95.69,118.00,68.00,68.00,58207600
2025-08-14,74.40,85.00,71.20,74.63,32385300
2025-08-15,75.35,75.49,68.23,69.54,9126300
2025-08-18,68.12,68.30,62.50,63.37,9024400
2025-08-19,61.56,62.49,57.92,59.51,6500600
2025-08-20,60.31,62.95,56.38,62.89,5403500
2025-08-21,61.09,70.39,61.05,69.80,8041700
2025-08-22,68.05,71.74,66.50,70.82,7342000
2025-08-25,68.57,68.61,65.00,65.18,3917900
2025-08-26,63.96,66.26,63.38,66.08,2012300
2025-08-27,65.80,66.25,62.24,63.98,2270700
2025-08-28,63.52,65.25,61.09,64.43,2630300
2025-08-29,63.40,63.70,58.81,59.03,3643000
2025-09-02,57.83,62.15,57.75,62.03,2860800
2025-09-03,60.48,61.25,53.01,54.26,6549700
2025-09-04,53.30,53.50,48.29,49.01,5592500
2025-09-05,50.19,52.50,47.88,52.35,4403900
2025-09-08,52.10,52.40,49.33,50.12,2885000
2025-09-09,50.26,54.50,50.26,53.81,3024100
2025-09-10,54.10,55.04,51.73,52.62,2160900
2025-09-11,51.97,57.25,51.60,53.99,4363200
2025-09-12,55.60,55.67,51.53,51.84,3425900
2025-09-15,51.92,52.90,50.68,51.08,2845200
2025-09-16,51.26,51.70,48.52,51.36,3907000
2025-09-17,51.66,54.90,51.56,54.35,6627800
2025-09-18,59.98,66.48,57.12,65.61,12512000
2025-09-19,63.20,69.90,62.80,69.18,7042100
2025-09-22,67.24,69.09,63.44,69.09,6283000
2025-09-23,69.50,74.98,68.17,69.49,6439100
2025-09-24,70.00,70.25,66.35,67.59,4036700
2025-09-25,64.40,65.55,61.02,61.83,4626900
2025-09-26,61.85,63.21,59.70,62.59,4136100
2025-09-29,63.63,64.09,61.31,62.30,3996600
2025-09-30,61.93,65.40,61.93,63.61,3682600
2025-10-01,63.90,64.75,60.78,60.81,4335700
2025-10-02,61.71,67.97,61.18,67.91,6375400
2025-10-03,68.08,69.28,64.53,64.81,4661100
2025-10-06,67.50,69.20,65.57,68.79,4313300
2025-10-07,69.10,69.29,63.71,65.09,3040825
