Date,Open,High,Low,Close,Volume
2024-10-07,11.37,11.44,11.37,11.38,2400
2024-10-08,11.45,11.45,11.37,11.39,6900
2024-10-09,11.41,11.46,11.38,11.42,747100
2024-10-10,11.46,11.46,11.40,11.40,83300
2024-10-11,11.39,11.42,11.39,11.41,6100
2024-10-14,11.42,11.43,11.42,11.43,2100
2024-10-15,11.43,11.43,11.43,11.43,1400
2024-10-16,11.43,11.44,11.42,11.44,9100
2024-10-17,11.45,11.45,11.43,11.44,17500
2024-10-18,11.43,11.45,11.43,11.44,9600
2024-10-21,11.46,11.46,11.44,11.44,1100
2024-10-22,11.44,11.46,11.44,11.45,57000
2024-10-23,11.46,11.46,11.44,11.46,1400
2024-10-24,11.45,11.45,11.45,11.45,4200
2024-10-25,11.45,11.45,11.45,11.45,100
2024-10-28,11.46,11.46,11.46,11.46,1000
2024-10-29,11.45,11.45,11.44,11.44,47800
2024-10-30,11.44,11.46,11.44,11.45,6600
2024-10-31,11.45,11.46,11.45,11.46,10400
2024-11-01,11.48,11.48,11.47,11.47,92000
2024-11-04,11.52,11.52,11.52,11.52,400
2024-11-05,11.52,11.52,11.52,11.52,0
2024-11-06,11.46,11.48,11.46,11.48,300
2024-11-07,11.49,11.50,11.47,11.48,94200
2024-11-08,11.49,11.49,11.48,11.48,5100
2024-11-11,11.48,11.48,11.48,11.48,1900
2024-11-12,11.49,11.52,11.49,11.51,1500
2024-11-13,11.50,11.52,11.50,11.51,44100
2024-11-14,11.50,11.52,11.50,11.51,135100
2024-11-15,11.51,11.51,11.51,11.51,400
2024-11-18,11.50,11.52,11.50,11.50,1100
2024-11-19,11.51,11.51,11.51,11.51,100400
2024-11-20,11.50,11.52,11.48,11.49,31400
2024-11-21,11.50,11.51,11.50,11.50,53900
2024-11-22,11.50,11.51,11.44,11.44,50000
2024-11-25,11.47,11.52,11.47,11.52,613200
2024-11-26,11.52,11.52,11.51,11.51,20400
2024-11-27,11.52,11.52,11.52,11.52,5600
2024-11-29,11.59,11.59,11.56,11.56,1700
2024-12-02,11.55,11.56,11.54,11.54,139700
2024-12-03,11.56,11.56,11.52,11.52,33300
2024-12-04,11.55,11.56,11.53,11.54,8500
2024-12-05,11.54,11.54,11.53,11.53,2800
2024-12-06,11.59,11.61,11.58,11.59,117700
2024-12-09,11.58,11.61,11.58,11.60,17700
2024-12-10,11.64,11.64,11.62,11.62,2600
2024-12-11,11.62,11.63,11.62,11.62,19700
2024-12-12,11.62,11.64,11.62,11.62,41400
2024-12-13,11.62,11.63,11.62,11.63,4100
2024-12-16,11.62,12.32,11.62,11.63,9400
2024-12-17,12.23,12.23,11.62,11.63,8700
2024-12-18,11.63,11.65,11.62,11.62,8900
2024-12-19,11.66,11.67,11.62,11.63,6500
2024-12-20,11.64,11.64,11.63,11.63,1400
2024-12-23,11.76,11.81,11.62,11.64,45600
2024-12-24,11.62,11.63,11.62,11.63,800
2024-12-26,11.65,11.70,11.62,11.62,11600
2024-12-27,11.62,11.63,11.62,11.62,6800
2024-12-30,11.62,11.64,11.62,11.63,21200
2024-12-31,11.62,11.62,11.62,11.62,5700
2025-01-02,11.62,11.62,11.62,11.62,5000
2025-01-03,11.64,11.64,11.63,11.63,1700
2025-01-06,11.63,11.63,11.63,11.63,400
2025-01-07,11.63,11.63,11.62,11.62,5500
2025-01-08,11.63,11.63,11.61,11.62,476100
2025-01-10,11.62,11.62,11.58,11.62,11000
2025-01-13,11.62,11.62,11.61,11.62,106300
2025-01-14,11.66,11.66,11.62,11.62,7300
2025-01-15,11.62,11.63,11.62,11.63,1600
2025-01-16,11.66,11.66,11.64,11.64,4700
2025-01-17,11.65,11.65,11.62,11.62,56600
2025-01-21,11.60,11.64,11.60,11.62,9200
2025-01-22,11.64,11.64,11.63,11.63,1700
2025-01-23,11.62,11.62,11.62,11.62,49000
2025-01-24,11.64,11.64,11.62,11.62,3800
2025-01-27,11.62,11.62,11.62,11.62,700
2025-01-28,11.62,11.64,11.62,11.64,7000
2025-01-29,11.63,11.64,11.63,11.64,9000
2025-01-30,11.63,11.63,11.63,11.63,600
2025-01-31,11.62,11.64,11.62,11.64,400
2025-02-03,11.72,11.72,11.64,11.65,6400
2025-02-04,11.66,11.67,11.65,11.65,1500
2025-02-05,11.66,11.66,11.65,11.65,1500
2025-02-06,11.65,11.65,11.65,11.65,0
2025-02-07,11.66,11.66,11.66,11.66,2200
2025-02-10,11.63,11.65,11.63,11.64,2200
2025-02-11,11.64,11.65,11.64,11.64,161800
2025-02-12,11.66,11.66,11.62,11.65,14800
2025-02-13,11.64,11.66,11.64,11.66,5900
2025-02-14,11.66,11.67,11.65,11.65,11800
2025-02-18,11.68,12.14,11.66,11.72,14100
2025-02-19,11.68,11.68,11.66,11.67,3900
2025-02-20,11.67,11.68,11.67,11.67,3000
2025-02-21,11.65,11.65,11.65,11.65,900
2025-02-24,11.65,11.66,11.65,11.65,6100
2025-02-25,11.66,11.66,11.65,11.65,10100
2025-02-26,11.67,11.67,11.65,11.65,700
2025-02-27,11.66,11.68,11.65,11.68,3700
2025-02-28,11.68,11.68,11.63,11.68,263300
2025-03-03,11.66,11.68,11.66,11.68,300
2025-03-04,11.66,11.66,11.65,11.65,12400
2025-03-05,11.64,11.66,11.62,11.66,7800
2025-03-06,11.68,11.68,11.65,11.65,2200
2025-03-07,11.65,11.66,11.65,11.66,5300
2025-03-10,11.65,11.65,11.61,11.65,18900
2025-03-11,11.62,11.72,11.61,11.72,402700
2025-03-12,11.70,11.72,11.69,11.70,25900
2025-03-13,11.69,11.70,11.69,11.69,7900
2025-03-14,11.77,11.77,11.68,11.69,18700
2025-03-17,11.72,11.73,11.71,11.73,300300
2025-03-18,11.75,11.75,11.72,11.73,25700
2025-03-19,11.74,11.74,11.73,11.73,6000
2025-03-20,11.76,11.76,11.72,11.73,14300
2025-03-21,11.73,11.73,11.70,11.71,27000
2025-03-24,11.73,11.74,11.71,11.73,569000
2025-03-25,11.73,11.90,11.71,11.75,69800
2025-03-26,11.85,12.00,11.28,11.85,41500
