Date,Open,High,Low,Close,Volume
2024-10-07,285.00,288.75,274.00,278.56,3477000
2024-10-08,278.89,281.40,273.10,279.39,2599100
2024-10-09,276.05,276.05,257.50,262.28,5235800
2024-10-10,261.06,267.76,259.03,262.31,2733500
2024-10-11,256.39,266.90,249.05,266.22,4477700
2024-10-14,267.57,272.82,265.21,271.74,2229300
2024-10-15,269.80,269.80,262.34,266.15,3000900
2024-10-16,268.22,280.24,264.12,279.80,2469300
2024-10-17,285.00,285.00,270.54,271.20,3209900
2024-10-18,267.78,272.58,265.00,270.16,1708800
2024-10-21,273.08,274.12,268.01,273.72,1650900
2024-10-22,270.37,271.42,265.85,266.00,2134100
2024-10-23,265.00,267.93,262.61,266.05,2633700
2024-10-24,267.79,267.80,262.57,264.50,1553700
2024-10-25,269.00,269.74,263.09,264.41,2016200
2024-10-28,266.89,271.19,265.01,266.98,1542500
2024-10-29,266.28,267.23,261.70,265.00,1829700
2024-10-30,266.88,268.00,261.43,261.78,1831000
2024-10-31,261.74,264.19,259.35,262.96,2290900
2024-11-01,262.73,264.77,256.82,258.10,2804500
2024-11-04,232.50,235.50,224.68,225.95,10719400
2024-11-05,230.35,236.86,227.00,233.75,6347400
2024-11-06,238.82,242.00,233.76,234.99,4790100
2024-11-07,242.52,248.35,238.40,241.59,4154900
2024-11-08,243.25,248.00,236.83,239.37,5162100
2024-11-11,241.99,243.91,234.29,237.27,3382100
2024-11-12,235.44,235.98,225.69,228.70,4460000
2024-11-13,231.00,232.77,225.61,225.96,2979500
2024-11-14,228.20,231.54,225.12,225.38,2513200
2024-11-15,224.85,227.75,221.66,224.28,2717400
2024-11-18,225.99,232.04,221.18,230.28,3293200
2024-11-19,226.30,234.89,226.10,234.58,2197500
2024-11-20,238.14,241.48,232.14,235.42,2567600
2024-11-21,237.31,252.19,234.11,251.84,3586400
2024-11-22,251.21,253.23,245.03,249.89,2471600
2024-11-25,253.50,255.61,243.00,248.93,3459600
2024-11-26,249.55,267.13,249.20,266.73,3881600
2024-11-27,265.00,266.00,250.85,253.39,2298200
2024-11-29,257.98,260.79,255.20,256.56,1185700
2024-12-02,257.00,258.44,249.51,249.58,1908400
2024-12-03,251.47,254.18,246.58,247.51,1784600
2024-12-04,252.68,257.66,251.00,254.20,2701200
2024-12-05,253.72,259.76,253.10,256.09,2118200
2024-12-06,256.45,258.57,250.42,253.63,1329700
2024-12-09,253.79,254.00,236.33,239.85,3262400
2024-12-10,237.88,239.50,230.71,232.34,2771500
2024-12-11,234.77,239.45,232.12,236.60,2386700
2024-12-12,242.96,248.13,238.92,239.02,2822000
2024-12-13,241.99,243.42,236.50,239.07,2004800
2024-12-16,240.05,243.70,237.25,239.30,1974400
2024-12-17,237.66,238.08,228.86,234.24,2506500
2024-12-18,234.32,236.99,224.77,225.76,3173700
2024-12-19,228.86,233.79,224.98,225.17,3626800
2024-12-20,221.82,231.70,219.64,227.02,4985400
2024-12-23,227.00,229.36,221.70,228.28,1935200
2024-12-24,229.24,230.11,227.16,229.79,978400
2024-12-26,228.57,230.23,227.32,228.64,920500
2024-12-27,228.18,228.18,222.74,226.54,1466000
2024-12-30,223.52,229.00,222.25,226.32,1587100
2024-12-31,226.35,227.03,222.88,223.71,1885700
2025-01-02,226.38,243.72,225.14,242.60,4552500
2025-01-03,250.50,254.18,244.35,252.40,4576600
2025-01-06,257.88,267.82,251.51,264.28,4116000
2025-01-07,263.50,265.48,249.56,255.63,3112400
2025-01-08,255.51,255.99,228.05,243.84,8414200
2025-01-10,282.49,310.00,280.13,305.19,14707200
2025-01-13,297.49,300.46,278.86,279.24,6920600
2025-01-14,283.89,294.40,281.40,288.87,4852400
2025-01-15,297.09,305.11,293.02,300.77,4140700
2025-01-16,302.47,320.51,302.47,315.24,5269100
2025-01-17,320.16,320.16,311.04,316.36,2820000
2025-01-21,326.00,330.34,318.33,323.64,4032300
2025-01-22,329.00,336.45,319.00,332.47,4576600
2025-01-23,333.13,352.00,333.00,346.22,4853500
2025-01-24,347.75,350.00,341.95,347.44,3226600
2025-01-27,292.46,302.67,270.44,275.00,16083200
