Date,Open,High,Low,Close,Volume
2025-06-12,43.00,44.94,36.19,37.11,36148200
2025-06-13,36.62,36.87,33.00,34.79,9467000
2025-06-16,35.11,38.30,35.11,36.81,6001800
2025-06-17,36.10,36.79,33.88,34.45,3428000
2025-06-18,34.25,34.40,31.21,31.65,6519100
2025-06-20,31.85,32.14,29.30,29.53,5163500
2025-06-23,28.97,30.61,28.21,29.76,4088700
2025-06-24,29.93,30.06,28.55,29.00,3321300
2025-06-25,29.77,33.40,29.11,31.59,7172900
2025-06-26,31.69,33.25,30.01,33.19,3760600
2025-06-27,33.19,33.44,31.51,33.06,3882300
2025-06-30,33.40,36.10,32.57,34.51,5750500
2025-07-01,33.64,34.01,31.62,32.39,4993100
2025-07-02,31.50,32.14,29.74,30.01,4534100
2025-07-03,30.22,31.75,30.00,31.32,1425000
2025-07-07,31.49,32.92,30.93,31.65,3214100
2025-07-08,32.11,32.79,30.73,31.10,2295800
2025-07-09,31.09,31.79,30.01,31.03,2362700
2025-07-10,30.94,31.40,30.30,30.81,1121500
2025-07-11,30.62,31.80,29.60,30.13,3503800
2025-07-14,29.79,31.10,29.57,30.15,1646200
2025-07-15,30.30,30.73,29.86,30.44,1556400
2025-07-16,30.28,31.75,29.85,31.63,1938400
2025-07-17,31.48,32.42,31.15,31.51,1529000
2025-07-18,31.53,32.12,30.55,31.55,1507500
2025-07-21,31.81,34.30,31.67,33.21,4368000
2025-07-22,33.14,33.95,32.23,33.47,1719700
2025-07-23,33.90,38.67,33.90,35.80,7049300
2025-07-24,35.52,36.48,34.67,36.20,1480500
2025-07-25,36.15,36.15,34.34,34.55,1751100
2025-07-28,34.48,35.27,33.13,33.43,1257700
2025-07-29,33.50,34.75,32.50,32.62,1606800
2025-07-30,32.34,34.18,32.32,33.82,1150000
2025-07-31,33.77,35.34,32.78,34.41,1712300
2025-08-01,33.80,33.81,31.67,32.63,1791300
2025-08-04,33.00,34.54,32.75,33.88,1632000
2025-08-05,33.77,33.99,32.25,33.80,1575900
2025-08-06,33.44,33.80,32.15,33.49,1979500
2025-08-07,33.50,33.99,31.70,33.86,3231300
2025-08-08,31.89,32.40,28.68,28.89,7241500
2025-08-11,29.00,31.17,28.96,30.21,3872100
2025-08-12,30.45,30.62,29.25,29.76,2361000
2025-08-13,29.56,30.23,29.40,30.00,2073800
2025-08-14,29.25,30.02,28.89,29.25,1593200
2025-08-15,29.20,29.42,28.20,29.38,1739000
2025-08-18,29.45,30.46,29.21,30.06,1997000
2025-08-19,30.08,30.39,28.00,28.02,2636500
2025-08-20,27.64,27.80,26.34,26.57,3717100
2025-08-21,26.50,26.92,26.10,26.18,1632200
2025-08-22,26.15,28.00,26.09,27.72,2735500
2025-08-25,27.72,27.90,26.80,26.87,1886000
2025-08-26,26.91,27.57,26.90,27.12,1246300
2025-08-27,27.12,27.12,26.20,26.22,1522300
2025-08-28,26.52,27.12,26.41,26.57,1927900
2025-08-29,26.65,26.65,25.95,26.41,1370600
2025-09-02,25.97,26.00,24.53,24.72,3239200
2025-09-03,24.80,25.00,24.11,24.31,1907400
2025-09-04,24.31,24.67,23.50,24.64,2261200
2025-09-05,24.75,25.13,23.63,24.34,3263800
2025-09-08,24.49,24.63,23.61,24.44,3054200
2025-09-09,24.67,24.72,23.87,24.30,2253400
2025-09-10,24.25,24.25,22.13,23.26,5869800
2025-09-11,23.15,23.99,22.91,23.94,3155600
2025-09-12,23.78,24.09,23.42,23.66,2824400
2025-09-15,23.71,23.72,23.01,23.24,3063500
2025-09-16,23.04,23.44,22.73,22.99,3797600
2025-09-17,23.12,24.14,23.03,23.55,3244500
2025-09-18,23.99,24.15,23.31,23.34,2325600
2025-09-19,23.75,24.23,23.45,23.75,5389400
2025-09-22,23.76,25.94,23.76,25.04,4668700
2025-09-23,25.40,25.94,23.85,23.86,3324000
2025-09-24,23.81,23.99,23.03,23.05,2379600
2025-09-25,22.45,22.75,21.50,21.56,3422200
2025-09-26,21.55,21.56,20.92,21.24,3116900
2025-09-29,21.25,21.31,20.56,20.80,2886800
2025-09-30,20.95,21.41,19.94,20.17,3720400
2025-10-01,20.05,20.49,19.85,20.00,2749500
2025-10-02,20.15,21.03,20.09,20.99,2911400
2025-10-03,21.20,22.00,20.86,20.87,3453300
2025-10-06,20.96,21.55,20.52,21.05,2472000
2025-10-07,21.23,21.25,20.34,20.69,1156019
