Date,Open,High,Low,Close,Volume
2024-10-07,172.00,176.15,166.89,168.92,6797500
2024-10-08,166.36,170.05,165.02,167.69,5696100
2024-10-09,167.69,172.49,165.78,166.97,5725000
2024-10-10,166.05,167.31,161.87,164.27,5379900
2024-10-11,165.54,179.18,165.22,176.38,10767100
2024-10-14,181.19,197.69,178.27,196.35,18131400
2024-10-15,195.68,204.90,188.31,196.34,17324800
2024-10-16,203.53,212.42,197.60,210.48,13970000
2024-10-17,209.20,209.45,201.13,204.20,8908000
2024-10-18,208.05,220.26,207.14,220.21,13569600
2024-10-21,215.40,216.86,208.13,213.72,12686400
2024-10-22,209.45,215.95,207.30,210.72,7485100
2024-10-23,206.30,209.70,194.60,198.93,10350100
2024-10-24,206.87,210.55,200.80,209.16,9925400
2024-10-25,208.30,213.67,203.40,205.04,9261300
2024-10-28,213.35,218.00,210.50,216.10,10458700
2024-10-29,220.91,223.90,216.11,219.66,11542200
2024-10-30,213.10,220.46,209.47,211.74,9515900
2024-10-31,203.73,206.00,178.82,179.25,18892000
2024-11-01,180.00,190.94,179.54,182.88,14443400
2024-11-04,180.09,186.95,176.38,186.27,11348800
2024-11-05,185.59,197.25,185.51,193.96,9950800
2024-11-06,221.48,257.68,221.11,254.31,35456000
2024-11-07,245.63,259.69,242.34,255.58,16655300
2024-11-08,257.67,273.50,257.15,270.74,17431700
2024-11-11,300.31,334.86,296.00,324.24,42437500
2024-11-12,310.05,327.00,306.10,319.13,24819600
2024-11-13,325.01,332.35,282.66,284.72,27997400
2024-11-14,290.81,292.57,274.30,278.84,17375300
2024-11-15,282.51,306.46,276.02,305.85,18020600
2024-11-18,301.83,329.59,288.50,325.41,25607400
2024-11-19,322.08,327.24,315.50,324.57,13447900
2024-11-20,332.25,341.75,303.80,320.01,22875200
2024-11-21,329.95,330.50,288.55,295.23,25187400
2024-11-22,294.89,311.37,290.80,304.64,12187200
2024-11-25,309.00,317.46,291.20,312.22,14645900
2024-11-26,298.26,309.20,289.13,293.29,13215700
2024-11-27,302.78,314.29,295.36,310.98,13290800
2024-11-29,311.95,316.30,295.81,296.20,9550200
2024-12-02,302.03,311.47,299.50,302.40,11221100
2024-12-03,296.78,314.43,296.65,309.35,10069300
2024-12-04,312.00,332.00,309.12,330.94,15798000
2024-12-05,343.36,349.49,315.17,320.57,19769900
2024-12-06,328.56,349.75,325.50,343.62,16759200
2024-12-09,339.91,340.16,309.68,310.52,16974800
2024-12-10,318.03,318.74,298.52,302.42,11930600
2024-12-11,311.85,320.90,308.82,313.81,10253400
