Date,Open,High,Low,Close,Volume
2024-10-07,12.22,12.70,12.01,12.37,9310500
2024-10-08,12.32,12.45,11.67,12.21,7429800
2024-10-09,12.23,12.30,11.88,12.01,4876600
2024-10-10,11.95,12.28,11.85,11.97,6408400
2024-10-11,12.07,13.29,12.00,13.22,22085700
2024-10-14,13.36,13.42,12.61,12.97,12904700
2024-10-15,13.10,13.21,12.74,12.97,7690700
2024-10-16,13.04,13.51,12.90,13.25,7964200
2024-10-17,13.15,13.60,13.00,13.01,7130100
2024-10-18,13.06,13.29,12.67,12.81,9318000
2024-10-21,12.71,12.88,12.05,12.83,10038800
2024-10-22,12.99,14.01,12.52,13.72,26012700
2024-10-23,13.46,13.84,13.00,13.52,10714600
2024-10-24,13.68,14.06,13.50,13.68,9468800
2024-10-25,13.65,13.90,13.03,13.37,7911300
2024-10-28,13.80,14.40,13.61,14.20,13428100
2024-10-29,14.38,14.64,14.03,14.30,8645100
2024-10-30,14.20,14.27,13.57,13.78,8845400
2024-10-31,13.73,13.74,13.10,13.29,10144100
2024-11-01,13.11,13.34,12.58,13.03,10424500
2024-11-04,12.86,12.95,12.51,12.60,6031600
2024-11-05,12.73,13.30,12.62,13.02,5202200
2024-11-06,14.15,14.43,13.65,14.33,18241200
2024-11-07,14.25,16.70,14.20,16.46,30650700
2024-11-08,16.50,17.01,16.04,16.96,12202500
2024-11-11,18.03,18.03,17.17,17.47,16473400
2024-11-12,16.80,17.38,16.50,17.06,9511200
2024-11-13,17.23,17.38,16.01,16.13,9921200
2024-11-14,16.43,16.64,15.36,15.44,6004800
2024-11-15,15.81,15.99,15.28,15.83,7901700
2024-11-18,15.81,16.44,15.52,15.60,7427000
2024-11-19,15.60,16.94,15.33,16.47,10229300
2024-11-20,17.08,17.64,16.75,17.26,10225700
2024-11-21,17.54,18.35,16.77,17.55,10514100
2024-11-22,17.41,18.32,17.00,18.23,10549600
2024-11-25,18.31,18.51,17.66,18.11,8960700
2024-11-26,17.75,18.63,16.67,17.12,13622200
2024-11-27,17.36,17.89,17.13,17.71,5486600
2024-11-29,17.98,18.40,17.47,17.88,4656900
2024-12-02,16.89,17.49,15.48,16.06,34015400
2024-12-03,16.29,16.81,16.09,16.42,20022600
2024-12-04,16.49,17.50,16.18,17.47,13178600
2024-12-05,17.79,17.98,16.92,16.94,10282700
2024-12-06,17.06,17.60,16.74,16.99,8423200
2024-12-09,16.80,16.82,15.87,16.04,8679100
2024-12-10,16.16,16.50,15.57,15.78,8244100
2024-12-11,15.91,16.31,15.77,15.86,8661900
2024-12-12,16.49,16.77,15.50,15.54,6111300
2024-12-13,15.44,16.07,15.37,15.55,6360400
2024-12-16,15.88,17.10,15.76,16.56,12287700
2024-12-17,16.75,16.88,15.73,16.03,10673400
2024-12-18,15.99,16.27,14.12,14.45,15889100
