Date,Open,High,Low,Close,Volume
2025-06-05,69.00,103.75,64.00,83.23,47192000
2025-06-06,96.39,123.51,92.95,107.70,60706300
2025-06-09,132.72,138.57,108.40,115.25,45521100
2025-06-10,115.00,115.00,101.51,105.91,25517800
2025-06-11,107.00,120.49,106.50,117.20,26481400
2025-06-12,116.79,117.93,104.26,106.54,13416500
2025-06-13,108.81,134.72,108.80,133.56,34013600
2025-06-16,147.54,165.60,145.88,151.06,43781500
2025-06-17,156.36,164.42,143.53,149.15,31234200
2025-06-18,153.22,200.90,148.00,199.59,63566800
2025-06-20,231.50,248.88,206.17,240.28,92427200
2025-06-23,238.46,298.99,232.48,263.45,99128700
2025-06-24,250.42,265.00,217.58,222.65,68222600
2025-06-25,218.54,227.54,198.00,198.62,49283200
2025-06-26,209.04,226.95,205.68,213.63,45550300
2025-06-27,223.65,223.65,175.60,180.43,48112100
2025-06-30,181.77,192.50,178.00,181.29,34461500
2025-07-01,184.67,194.00,171.50,192.53,31252100
2025-07-02,187.21,189.00,176.00,177.97,18546000
2025-07-03,182.17,192.50,181.39,188.77,17192000
2025-07-07,193.75,208.60,186.60,207.46,31640800
2025-07-08,199.50,209.50,196.00,204.81,22225500
2025-07-09,209.36,215.60,197.25,200.68,17934400
2025-07-10,208.84,209.57,199.00,202.90,12340100
2025-07-11,204.18,206.80,182.50,187.33,18227400
2025-07-14,189.27,204.91,185.54,204.70,15445200
2025-07-15,198.00,203.46,188.10,195.33,14758500
2025-07-16,203.05,239.70,201.32,233.20,43669500
2025-07-17,225.59,244.36,220.01,235.08,29222500
2025-07-18,244.90,262.97,222.49,223.78,42877400
2025-07-21,226.40,231.88,213.33,216.10,19033100
2025-07-22,207.55,211.99,192.90,198.31,18485900
2025-07-23,198.38,202.50,195.08,202.41,10319800
2025-07-24,199.75,201.25,189.23,193.08,9085900
2025-07-25,192.54,195.70,187.50,192.86,6988500
2025-07-28,196.98,197.90,183.91,185.36,9524200
2025-07-29,187.88,190.75,180.68,181.64,9534800
2025-07-30,182.62,193.33,182.10,190.50,9317700
2025-07-31,188.76,189.87,183.00,183.52,5770600
2025-08-01,176.93,181.55,167.30,168.10,12924900
2025-08-04,172.10,172.10,154.50,164.82,11701300
2025-08-05,160.00,164.32,153.91,153.93,7802400
2025-08-06,150.09,162.44,149.00,161.71,8357900
2025-08-07,167.68,169.92,151.10,152.93,10166300
2025-08-08,155.01,163.22,154.12,159.03,8921000
2025-08-11,161.01,169.80,155.53,161.17,11888900
2025-08-12,186.30,189.92,161.51,163.21,33232700
2025-08-13,156.64,164.64,152.15,153.16,17877900
2025-08-14,152.00,156.80,136.40,139.23,17905900
2025-08-15,141.15,151.47,139.25,149.26,23286200
2025-08-18,148.70,149.45,141.35,141.58,8683100
2025-08-19,143.98,144.65,133.11,135.23,9688100
2025-08-20,136.94,139.50,129.10,137.81,9944100
2025-08-21,135.00,136.99,131.59,131.80,4986600
2025-08-22,132.99,144.70,131.05,135.04,13309100
2025-08-25,134.36,135.32,124.70,125.24,10419800
2025-08-26,125.60,130.25,124.16,129.05,6923300
2025-08-27,129.05,130.26,126.01,127.40,5567700
2025-08-28,129.00,132.78,127.66,130.94,5588700
2025-08-29,131.07,135.97,129.00,131.98,8140600
2025-09-02,128.56,131.69,119.60,120.14,10272400
2025-09-03,122.09,122.27,116.60,118.46,9473300
2025-09-04,117.64,120.32,115.08,117.49,6393600
2025-09-05,117.78,118.80,108.02,114.56,11544500
2025-09-08,114.00,117.78,110.05,112.46,8410400
2025-09-09,113.63,120.75,112.62,117.99,9098700
2025-09-10,119.96,124.98,113.17,113.69,9925500
2025-09-11,114.22,136.49,113.30,133.70,23638300
2025-09-12,134.85,134.90,124.50,125.32,15291500
2025-09-15,129.90,135.78,125.08,134.05,12573800
2025-09-16,139.60,142.55,133.92,134.81,12723000
2025-09-17,135.00,146.50,128.26,131.04,19405300
2025-09-18,134.74,143.58,134.07,140.42,15939000
2025-09-19,145.05,147.70,139.53,144.14,16115600
2025-09-22,139.88,140.71,134.56,137.64,9117400
2025-09-23,138.67,141.60,130.70,130.97,8952100
2025-09-24,133.73,136.34,130.04,131.58,9155800
2025-09-25,128.99,130.26,124.30,124.66,7729900
2025-09-26,125.42,128.49,122.83,126.99,5467800
2025-09-29,129.50,137.80,128.50,133.66,10474600
2025-09-30,136.20,137.99,132.37,132.58,7965500
2025-10-01,133.62,137.27,127.60,129.03,9067300
2025-10-02,133.45,152.05,132.75,149.72,19216200
2025-10-03,148.40,156.47,144.14,145.78,19333300
2025-10-06,154.01,154.17,145.56,148.51,10770600
2025-10-07,152.00,157.56,144.18,147.33,9879379
