Date,Open,High,Low,Close,Volume
2024-10-07,286.58,288.17,283.38,284.57,4794700
2024-10-08,286.00,292.63,284.10,291.57,5211200
2024-10-09,290.82,291.57,287.08,287.92,4851000
2024-10-10,287.92,290.23,284.62,290.17,3965500
2024-10-11,289.21,290.24,286.30,288.10,3597000
2024-10-14,289.92,292.45,288.25,291.64,3642500
2024-10-15,293.46,293.58,288.00,288.35,3850800
2024-10-16,287.55,290.92,284.23,290.86,3497000
2024-10-17,291.96,293.34,290.10,291.11,2830000
2024-10-18,292.04,294.71,290.15,292.94,3087900
2024-10-21,289.00,292.92,288.04,291.29,2712600
2024-10-22,289.75,291.94,287.65,288.33,3100100
2024-10-23,287.73,288.30,282.62,284.43,3227100
2024-10-24,286.56,288.91,285.18,286.76,3210700
2024-10-25,290.00,294.38,288.83,290.46,3351200
2024-10-28,293.60,296.07,292.49,293.77,3867800
2024-10-29,294.00,300.60,292.81,298.89,4280700
2024-10-30,297.07,299.54,296.35,296.40,2826500
2024-10-31,292.60,296.09,289.55,291.37,4301800
2024-11-01,290.23,296.99,290.00,294.72,3527500
2024-11-04,297.99,300.18,292.92,298.01,5107900
2024-11-05,297.44,298.81,294.74,297.49,4456100
2024-11-06,305.00,308.56,303.07,306.90,5874900
2024-11-07,307.50,312.19,306.00,310.78,5722600
2024-11-08,310.03,322.81,309.44,321.95,8485000
2024-11-11,325.25,344.88,325.25,341.73,13954200
2024-11-12,339.29,348.86,338.51,341.15,7659700
2024-11-13,345.50,348.19,338.77,341.72,6902900
2024-11-14,342.44,346.00,330.82,331.65,7630600
2024-11-15,326.93,330.26,324.18,325.26,7093000
2024-11-18,327.00,327.00,320.21,322.25,4250400
2024-11-19,319.00,324.70,316.00,323.43,5469900
2024-11-20,325.29,327.26,322.01,325.70,3763500
2024-11-21,331.35,342.94,328.60,335.78,8364200
2024-11-22,338.95,342.81,335.78,342.02,5649400
2024-11-25,345.00,347.85,338.29,339.11,7117200
2024-11-26,341.98,343.81,339.14,343.18,4492800
2024-11-27,336.46,337.38,328.88,330.01,7471500
2024-11-29,329.34,331.99,327.25,329.99,3517600
2024-12-02,332.00,334.50,330.11,331.01,6063400
2024-12-03,327.40,332.80,323.65,331.43,12632400
2024-12-04,366.81,369.00,356.65,367.87,24733100
2024-12-05,360.78,365.45,356.67,361.38,10942100
2024-12-06,364.99,367.15,361.09,361.99,5738900
2024-12-09,361.70,361.70,350.79,351.57,6475000
2024-12-10,351.35,355.49,347.43,348.82,6033000
2024-12-11,353.49,360.20,351.88,354.85,7546600
2024-12-12,355.00,360.00,352.92,358.03,5422000
2024-12-13,364.00,364.80,352.50,354.31,5538000
2024-12-16,350.78,358.07,350.56,357.23,5482300
2024-12-17,356.90,357.23,349.11,350.97,6911000
2024-12-18,354.50,354.77,335.24,337.23,8400000
2024-12-19,341.70,343.53,335.43,336.23,7423400
2024-12-20,332.74,346.45,331.14,343.65,14932300
2024-12-23,342.25,343.85,336.68,342.90,5330300
2024-12-24,343.00,344.95,340.83,344.43,1811000
2024-12-26,344.88,344.88,341.03,341.72,3483300
2024-12-27,340.35,342.27,335.27,338.45,3220400
2024-12-30,333.47,338.11,331.61,335.74,3411100
2024-12-31,336.27,337.15,332.41,334.33,3026000
2025-01-02,336.31,338.92,327.81,330.66,4807100
2025-01-03,332.10,333.44,329.27,332.90,4101200
2025-01-06,334.02,336.60,327.28,330.53,5785300
2025-01-07,330.50,331.50,322.91,324.93,4643100
2025-01-08,327.74,328.80,323.11,326.90,3788200
2025-01-10,322.77,322.77,316.02,317.85,6540000
2025-01-13,314.60,320.55,313.80,319.07,4583000
2025-01-14,325.00,329.94,321.50,323.54,5935200
2025-01-15,329.88,331.53,320.78,321.16,6042700
2025-01-16,322.94,327.72,319.55,320.00,5047700
2025-01-17,328.72,329.57,323.07,324.56,6303600
2025-01-21,329.40,329.52,322.45,326.84,6397200
2025-01-22,331.25,335.23,327.28,332.62,7259300
2025-01-23,332.33,335.46,329.60,334.66,4355900
2025-01-24,336.30,338.65,331.79,333.88,3299100
2025-01-27,332.36,353.15,330.50,347.10,15661100
2025-01-28,354.77,367.09,350.46,359.95,12099300
2025-01-29,358.76,360.18,351.50,354.00,6266700
2025-01-30,340.90,348.00,340.00,343.57,7591100
2025-01-31,348.00,349.50,340.10,341.70,5778000
2025-02-03,335.97,341.46,331.26,339.24,4549400
2025-02-04,345.62,346.93,338.67,344.14,4965600
2025-02-05,345.72,348.04,338.87,347.93,4521000
2025-02-06,337.48,337.48,329.10,330.81,13240600
2025-02-07,332.00,333.82,323.72,325.83,7626100
2025-02-10,327.92,331.75,326.65,327.20,5981900
2025-02-11,324.02,326.44,321.26,324.40,5455900
2025-02-12,319.55,327.00,316.97,326.12,5643400
2025-02-13,326.20,330.35,323.22,329.85,4312100
2025-02-14,328.03,328.50,322.62,326.54,5879700
2025-02-18,328.59,329.16,323.00,328.96,5262100
2025-02-19,329.74,329.74,322.87,324.53,5012000
2025-02-20,322.24,324.45,318.21,318.43,6393100
2025-02-21,318.97,318.97,306.86,309.80,7353200
2025-02-24,311.51,312.73,303.52,308.32,6652900
2025-02-25,306.25,308.42,300.62,305.88,7360100
2025-02-26,312.66,313.70,306.45,307.33,12638500
2025-02-27,296.34,304.92,292.67,294.90,16691400
2025-02-28,295.96,301.98,292.15,297.85,10863100
2025-03-03,301.00,303.07,291.06,293.06,6298200
2025-03-04,290.00,291.65,282.24,287.34,9096300
2025-03-05,287.22,292.68,285.62,291.97,6612600
2025-03-06,288.23,298.08,284.83,286.05,10396800
2025-03-07,283.18,288.31,275.17,282.89,8248100
2025-03-10,276.97,278.35,270.72,272.90,10040200
2025-03-11,273.72,280.45,272.00,277.05,8313400
2025-03-12,281.85,285.93,279.09,284.58,7463900
2025-03-13,282.05,282.56,269.75,271.74,9494500
2025-03-14,275.00,279.89,272.68,279.40,6976900
2025-03-17,277.37,282.73,276.08,280.75,4484300
2025-03-18,280.02,280.50,275.94,278.73,5881700
2025-03-19,277.50,282.22,277.29,279.39,5245400
2025-03-20,277.06,282.88,277.06,279.03,5504700
2025-03-21,276.21,281.85,274.05,280.62,9804100
2025-03-24,283.74,286.76,283.22,285.96,6763800
2025-03-25,285.61,290.45,285.61,288.61,4301700
2025-03-26,288.34,289.04,279.58,280.99,5070300
2025-03-27,280.54,280.90,276.01,277.81,3757200
2025-03-28,276.71,277.21,269.19,269.97,4973400
2025-03-31,264.55,268.45,259.19,268.36,7585800
2025-04-01,268.86,270.82,265.82,270.20,4598200
2025-04-02,265.96,273.63,265.75,271.54,5396900
2025-04-03,260.14,262.57,254.45,255.23,8872600
2025-04-04,247.70,250.29,239.53,240.76,9705000
2025-04-07,230.00,252.95,230.00,244.21,11965200
2025-04-08,253.95,257.39,240.27,243.99,9340300
2025-04-09,240.90,268.17,240.90,265.17,12491100
2025-04-10,260.00,261.24,248.13,255.12,9692300
2025-04-11,254.27,256.41,247.68,255.00,6089000
2025-04-14,260.00,260.00,253.14,254.55,6038100
2025-04-15,254.37,256.72,253.80,254.93,5227700
2025-04-16,251.93,256.61,246.69,249.84,7190900
2025-04-17,249.77,251.56,246.80,247.26,5566900
2025-04-21,240.43,242.48,232.77,236.26,9240000
2025-04-22,238.23,244.22,235.60,243.39,7145300
2025-04-23,252.61,257.79,249.50,250.48,5818900
2025-04-24,258.20,264.98,257.00,264.70,7857600
2025-04-25,264.72,269.03,264.20,267.85,5651700
2025-04-28,268.15,269.50,263.33,265.64,4977700
2025-04-29,265.40,268.58,265.17,267.76,3139800
2025-04-30,264.80,268.87,263.00,268.71,4624100
2025-05-01,273.40,274.60,269.00,269.33,5208900
2025-05-02,274.46,276.32,272.25,275.08,4323400
2025-05-05,273.37,276.17,272.31,272.63,4219600
2025-05-06,269.82,274.80,268.54,273.36,4681600
2025-05-07,273.71,278.79,273.71,278.23,4267600
2025-05-08,279.21,283.05,278.38,279.74,4789900
2025-05-09,281.62,282.48,273.88,275.42,4324200
2025-05-12,285.00,288.97,283.23,288.82,5937400
2025-05-13,291.00,292.74,288.93,289.17,6711600
2025-05-14,293.50,296.05,289.26,290.74,7926200
2025-05-15,289.57,291.97,287.95,290.76,4635600
