Date,Open,High,Low,Close,Volume
2024-10-07,280.91,282.05,276.28,279.75,341200
2024-10-08,288.34,291.49,284.20,284.95,396800
2024-10-09,284.81,292.76,284.28,291.97,407400
2024-10-10,290.84,293.48,288.85,290.28,255000
2024-10-11,289.86,292.64,286.96,289.75,265100
2024-10-14,284.40,289.63,280.54,288.26,407600
2024-10-15,288.26,295.58,281.45,290.59,632000
2024-10-16,290.61,293.41,283.25,286.50,325100
2024-10-17,288.12,296.97,282.33,287.65,463400
2024-10-18,288.98,290.38,285.55,286.12,334900
2024-10-21,286.04,290.92,285.34,288.06,334700
2024-10-22,285.34,288.84,273.06,281.30,542500
2024-10-23,281.87,282.30,276.01,279.93,320200
2024-10-24,282.43,284.00,277.46,281.40,308600
2024-10-25,282.64,292.60,282.50,291.61,483700
2024-10-28,295.18,296.84,289.98,290.24,315800
2024-10-29,289.71,296.42,289.53,294.81,360900
2024-10-30,294.98,311.91,292.11,299.97,834400
2024-10-31,297.49,298.76,285.33,292.97,536000
2024-11-01,292.98,297.66,290.63,293.68,379900
2024-11-04,289.70,295.80,285.85,290.65,484600
2024-11-05,295.05,303.73,293.63,303.00,763400
2024-11-06,310.00,319.44,304.00,318.85,1105400
2024-11-07,304.42,324.00,299.12,315.82,1236500
2024-11-08,318.70,330.61,314.63,326.89,682600
2024-11-11,325.80,328.97,306.74,318.23,650600
2024-11-12,317.63,322.85,313.19,314.33,476400
2024-11-13,317.00,329.19,315.92,323.43,515000
2024-11-14,322.65,324.08,316.20,322.57,283600
2024-11-15,319.01,320.50,306.50,307.32,570300
2024-11-18,307.82,316.99,301.11,306.92,468300
2024-11-19,303.33,322.79,303.33,322.07,647300
2024-11-20,323.00,331.84,322.34,331.14,545000
2024-11-21,338.15,342.51,330.00,341.60,559400
2024-11-22,342.45,352.39,340.69,351.97,563400
2024-11-25,359.52,364.95,341.10,348.00,1071500
2024-11-26,348.47,358.73,346.98,353.53,875600
2024-11-27,352.88,353.23,340.29,347.64,468300
2024-11-29,346.48,353.66,345.58,348.27,230300
2024-12-02,347.39,349.78,340.00,346.52,423800
2024-12-03,341.52,361.10,341.29,360.98,494500
2024-12-04,363.00,370.17,361.92,364.65,581600
2024-12-05,366.53,378.48,362.61,373.03,583400
2024-12-06,374.79,374.79,366.00,368.50,551800
2024-12-09,365.36,369.89,350.00,360.61,532100
2024-12-10,361.47,370.81,358.70,361.83,379500
2024-12-11,351.16,352.72,318.03,344.35,1226600
2024-12-12,341.12,344.74,336.21,339.52,424000
2024-12-13,340.50,344.88,333.96,338.07,517800
2024-12-16,341.42,350.86,337.86,348.72,639000
2024-12-17,352.30,360.21,348.65,354.04,649600
2024-12-18,352.44,352.88,331.32,332.81,572100
2024-12-19,345.16,345.74,332.87,335.22,436000
2024-12-20,327.72,345.53,324.83,342.12,1263300
2024-12-23,342.12,344.12,336.14,337.73,373800
2024-12-24,336.34,342.49,335.00,340.39,114500
2024-12-26,339.51,345.00,336.54,341.88,274200
2024-12-27,339.46,339.46,326.43,333.34,293000
2024-12-30,328.23,329.40,321.24,325.20,535900
