Date,Open,High,Low,Close,Volume
2025-07-31,85.00,124.63,84.11,115.50,64409000
2025-08-01,134.82,142.92,110.11,122.00,56350600
2025-08-04,113.92,114.29,88.60,88.60,39710100
2025-08-05,91.19,94.00,79.00,79.08,25581100
2025-08-06,76.90,91.49,76.65,90.32,28703600
2025-08-07,86.65,87.88,77.80,78.24,14153700
2025-08-08,82.54,82.60,78.00,78.11,7353700
2025-08-11,78.78,84.00,78.00,82.50,8644600
2025-08-12,84.00,90.69,83.91,87.36,10438200
2025-08-13,90.96,91.00,81.05,81.91,8138900
2025-08-14,81.50,82.94,76.00,76.31,8133900
2025-08-15,79.00,81.00,76.56,79.42,4685900
2025-08-18,79.20,80.75,75.50,76.16,4296800
2025-08-19,76.42,76.57,68.61,69.41,9025600
2025-08-20,70.00,75.15,67.00,74.04,8574000
2025-08-21,73.10,74.07,71.82,72.76,2786400
2025-08-22,73.41,78.00,72.41,77.30,4151900
2025-08-25,74.56,75.70,69.61,70.40,6761600
2025-08-26,70.88,72.20,69.30,70.13,3355400
2025-08-27,70.50,71.68,68.52,69.88,3915300
2025-08-28,70.18,72.11,69.31,71.26,3138000
2025-08-29,70.51,71.44,68.90,70.28,3420000
2025-09-02,68.96,68.96,64.55,65.57,8027800
2025-09-03,66.70,68.59,65.54,68.13,12276100
2025-09-04,55.90,57.35,53.20,54.56,29316400
2025-09-05,52.38,54.96,50.49,54.86,20813800
2025-09-08,54.17,55.32,52.40,52.47,9662800
2025-09-09,52.45,53.62,51.43,53.32,7845400
2025-09-10,53.61,55.21,50.81,51.06,9614200
2025-09-11,51.05,56.32,51.04,55.96,13224300
2025-09-12,56.06,56.30,53.00,53.07,8611000
2025-09-15,54.67,55.55,52.30,54.12,8938800
2025-09-16,54.19,55.00,52.22,53.67,5707500
2025-09-17,53.67,57.49,53.31,54.78,11400900
2025-09-18,55.48,58.88,54.66,58.41,12053100
2025-09-19,59.37,59.49,55.24,56.81,10658500
2025-09-22,56.30,59.69,55.36,58.79,9769200
2025-09-23,59.59,59.59,56.89,58.13,7677300
2025-09-24,57.50,57.70,54.80,55.21,9373600
2025-09-25,53.88,55.12,52.45,54.39,6701500
2025-09-26,53.82,54.39,52.13,52.91,7584500
2025-09-29,54.06,54.30,52.64,53.15,5645700
2025-09-30,53.65,54.50,51.34,51.87,7998400
2025-10-01,51.28,52.29,49.53,50.30,11446300
2025-10-02,51.17,52.45,51.12,51.91,6991100
2025-10-03,52.50,56.09,52.33,53.04,11309000
2025-10-06,53.46,61.75,51.10,56.96,27877900
2025-10-07,61.60,64.17,59.51,61.12,17685220
