Date,Open,High,Low,Close,Volume
2025-09-11,36.00,38.05,30.13,31.11,39451400
2025-09-12,30.21,36.58,30.01,32.50,10779300
2025-09-15,33.50,40.39,33.47,37.33,10161700
2025-09-16,39.33,42.75,37.80,40.48,8147300
2025-09-17,42.53,43.80,36.45,37.17,12140100
2025-09-18,38.51,46.20,38.26,43.17,7559100
2025-09-19,42.96,45.74,41.10,44.96,6005500
2025-09-22,45.85,45.90,42.04,43.09,3788700
2025-09-23,43.08,43.08,39.08,39.60,3989200
2025-09-24,40.16,41.20,38.31,40.69,2432700
2025-09-25,38.69,41.50,36.54,40.33,3018300
2025-09-26,39.40,39.89,38.30,39.25,2172000
2025-09-29,39.97,41.18,37.00,37.75,4144400
2025-09-30,37.74,38.14,35.57,36.37,3475400
2025-10-01,36.35,39.35,35.88,37.82,2897100
2025-10-02,37.90,41.72,37.16,41.28,3810100
2025-10-03,41.20,42.50,39.55,40.30,2596300
2025-10-06,41.02,44.49,41.02,43.59,2804100
2025-10-07,43.99,49.45,43.11,45.11,5407280
