Date,Open,High,Low,Close,Volume
2024-10-07,91.26,92.14,90.30,90.80,646200
2024-10-08,90.67,92.56,89.62,91.94,1165900
2024-10-09,93.00,94.00,91.45,93.51,797400
2024-10-10,92.39,94.43,92.09,93.16,1624900
2024-10-11,92.93,96.45,92.38,96.40,809000
2024-10-14,96.90,96.90,93.74,94.15,1018700
2024-10-15,93.91,95.21,92.08,94.13,891900
2024-10-16,94.31,95.42,92.94,95.24,1280900
2024-10-17,95.36,95.69,94.03,94.72,604300
2024-10-18,94.78,96.96,94.03,95.71,750900
2024-10-21,94.94,95.29,93.83,94.59,838500
2024-10-22,93.64,94.39,92.39,92.94,677900
2024-10-23,92.81,94.32,92.26,93.25,596000
2024-10-24,92.98,94.31,91.55,93.74,539400
2024-10-25,93.96,94.37,92.52,93.90,499100
2024-10-28,95.00,95.38,91.10,92.00,1156300
2024-10-29,90.29,92.00,89.21,90.66,1281200
2024-10-30,90.36,92.12,90.17,91.13,727300
2024-10-31,91.00,92.00,90.18,90.44,776800
2024-11-01,91.09,91.18,88.25,90.55,840800
2024-11-04,90.60,91.79,90.01,90.18,713200
2024-11-05,90.00,90.80,88.84,90.01,795000
2024-11-06,94.00,98.01,91.31,98.00,2295500
2024-11-07,97.50,99.00,96.85,97.54,1087500
2024-11-08,97.92,102.38,97.92,100.77,2465100
2024-11-11,102.51,106.31,101.02,104.91,2958100
2024-11-12,98.00,105.42,95.80,99.12,4185200
2024-11-13,99.47,104.82,98.31,101.37,2251700
2024-11-14,100.10,100.78,97.50,98.78,1521600
2024-11-15,97.40,98.73,95.91,97.01,1237700
2024-11-18,103.29,104.00,100.19,100.62,4237900
2024-11-19,99.22,102.61,99.01,102.05,10891200
2024-11-20,100.55,103.20,100.25,101.90,2534500
2024-11-21,101.93,109.76,101.50,109.28,3466400
2024-11-22,110.00,111.74,108.17,109.78,1145300
2024-11-25,111.58,112.93,110.35,111.34,1507600
2024-11-26,112.16,113.85,111.63,111.70,1185000
2024-11-27,111.59,115.08,111.50,114.95,1519300
2024-11-29,116.33,116.85,113.50,114.08,482500
2024-12-02,114.24,114.24,112.57,112.75,948000
2024-12-03,112.58,114.75,111.10,114.15,1578500
2024-12-04,115.00,116.50,99.30,99.96,7826200
2024-12-05,101.95,104.29,98.20,101.95,3509300
2024-12-06,101.94,104.21,101.16,103.71,1441900
2024-12-09,103.11,104.84,101.82,102.90,2325300
2024-12-10,102.50,102.67,97.83,98.52,2108500
2024-12-11,99.35,104.25,98.19,101.78,3194800
2024-12-12,101.40,102.90,99.73,100.53,1285600
2024-12-13,100.72,102.77,100.32,101.85,1471000
