Date,Open,High,Low,Close,Volume
2024-10-07,3.67,3.71,3.67,3.69,19294800
2024-10-08,3.67,3.70,3.63,3.70,35229500
2024-10-09,3.67,3.68,3.64,3.66,19621100
2024-10-10,3.63,3.64,3.58,3.63,22801100
2024-10-11,3.65,3.67,3.60,3.65,25083000
2024-10-14,3.67,3.68,3.62,3.63,25563700
2024-10-15,3.64,3.64,3.58,3.61,32695100
2024-10-16,3.63,3.67,3.59,3.60,17748100
2024-10-17,3.63,3.64,3.60,3.62,14300900
2024-10-18,3.64,3.74,3.62,3.73,34795500
2024-10-21,3.75,4.06,3.75,4.03,59158300
2024-10-22,4.15,4.22,4.11,4.16,68351700
2024-10-23,4.20,4.32,4.13,4.14,52808500
2024-10-24,4.11,4.16,4.09,4.13,42011700
2024-10-25,4.16,4.18,4.04,4.07,21567300
2024-10-28,4.12,4.20,4.11,4.17,24925100
2024-10-29,4.15,4.24,4.14,4.17,24303800
2024-10-30,4.14,4.14,4.06,4.12,15906600
2024-10-31,4.14,4.16,4.06,4.08,19758600
2024-11-01,4.05,4.09,4.02,4.07,12661600
2024-11-04,4.05,4.14,4.04,4.09,14474900
2024-11-05,4.08,4.20,4.08,4.19,19279900
2024-11-06,4.20,4.23,4.11,4.22,22590200
2024-11-07,4.32,4.44,4.26,4.27,23567200
2024-11-08,4.25,4.26,4.05,4.23,20953700
2024-11-11,4.31,4.41,4.26,4.38,68608600
2024-11-12,4.72,4.93,4.59,4.89,148639400
2024-11-13,4.84,4.90,4.54,4.89,80202800
2024-11-14,4.81,4.85,4.70,4.73,44780600
2024-11-15,4.70,4.74,4.59,4.73,54447500
2024-11-18,4.76,4.99,4.70,4.99,59114000
2024-11-19,4.96,5.54,4.94,5.46,96743700
2024-11-20,5.48,5.67,5.40,5.66,82005300
2024-11-21,5.49,5.72,5.47,5.67,52984900
2024-11-22,5.44,5.49,5.00,5.07,58748900
2024-11-25,5.21,5.21,5.02,5.14,48803000
2024-11-26,5.14,5.31,5.14,5.15,20366500
2024-11-27,5.16,5.32,5.09,5.18,36030200
2024-11-29,5.16,5.18,4.95,5.00,27784600
2024-12-02,5.05,5.19,4.99,5.18,26513200
2024-12-03,5.18,5.33,5.15,5.29,39148500
2024-12-04,5.28,5.39,5.21,5.31,44466400
2024-12-05,5.22,5.27,5.12,5.24,26155100
2024-12-06,5.28,5.30,5.07,5.14,26485300
2024-12-09,5.21,5.39,5.16,5.33,36944300
2024-12-10,5.27,5.48,5.20,5.43,65821800
2024-12-11,5.51,5.52,5.37,5.40,30745500
2024-12-12,5.39,5.41,5.17,5.18,34765700
2024-12-13,5.20,5.24,5.08,5.13,28729100
2024-12-16,5.15,5.19,5.03,5.13,34454600
2024-12-17,5.07,5.15,4.96,5.14,31425500
2024-12-18,5.18,5.18,4.87,4.91,25915100
2024-12-19,4.92,4.98,4.81,4.92,22249700
2024-12-20,4.81,4.98,4.80,4.90,28387300
2024-12-23,4.89,4.92,4.84,4.88,17509500
2024-12-24,4.88,4.99,4.83,4.94,8028900
2024-12-26,4.91,5.03,4.89,4.96,11553900
2024-12-27,4.95,4.95,4.75,4.81,22492700
2024-12-30,4.77,4.78,4.72,4.76,17883400
2024-12-31,4.72,4.77,4.65,4.72,15072400
2025-01-02,4.73,4.84,4.70,4.74,15505200
2025-01-03,4.71,4.81,4.64,4.81,16953800
2025-01-06,4.99,5.00,4.83,4.87,22329400
2025-01-07,4.91,4.91,4.71,4.74,23034600
2025-01-08,4.76,4.76,4.51,4.63,23947600
2025-01-10,4.51,4.53,4.37,4.49,30128900
2025-01-13,4.38,4.51,4.36,4.50,21088200
2025-01-14,4.51,4.56,4.34,4.36,31140400
2025-01-15,4.43,4.60,4.42,4.46,25732200
2025-01-16,4.54,4.57,4.44,4.45,23767400
2025-01-17,4.50,4.63,4.47,4.50,30389000
2025-01-21,4.68,4.68,4.54,4.61,34041100
2025-01-22,4.66,4.68,4.57,4.66,27799400
2025-01-23,4.68,4.70,4.55,4.64,17487700
2025-01-24,4.67,4.67,4.50,4.57,20958300
2025-01-27,4.48,4.51,4.41,4.44,18440300
2025-01-28,4.49,4.58,4.40,4.56,15967200
2025-01-29,4.55,4.79,4.54,4.78,34365300
2025-01-30,4.81,4.83,4.62,4.64,28454700
2025-01-31,4.69,4.71,4.55,4.58,25991200
2025-02-03,4.49,4.61,4.43,4.54,20591200
2025-02-04,4.98,5.19,4.93,5.11,77206800
2025-02-05,4.80,4.92,4.53,4.56,63484700
2025-02-06,4.68,4.72,4.59,4.67,29748300
2025-02-07,4.71,4.83,4.70,4.79,32404800
2025-02-10,4.79,4.84,4.70,4.78,22116100
2025-02-11,4.79,4.84,4.72,4.78,26931800
2025-02-12,4.75,5.08,4.74,5.00,57675400
2025-02-13,5.07,5.07,4.74,4.96,48340500
2025-02-14,4.98,5.04,4.86,4.90,31294800
2025-02-18,5.30,5.53,5.10,5.30,111637000
2025-02-19,5.36,5.37,5.10,5.34,86958600
2025-02-20,5.08,5.15,4.71,4.78,82287600
2025-02-21,5.01,5.29,4.80,4.90,56504900
2025-02-24,4.90,4.95,4.67,4.82,38764600
2025-02-25,4.76,4.77,4.55,4.56,38662400
2025-02-26,4.70,4.89,4.63,4.87,35238900
2025-02-27,4.85,5.01,4.80,4.83,36875000
2025-02-28,4.78,4.88,4.72,4.85,55502500
2025-03-03,4.88,5.00,4.71,4.73,45847400
2025-03-04,4.60,4.74,4.49,4.69,33122700
2025-03-05,4.70,4.83,4.69,4.83,25232300
2025-03-06,4.75,4.77,4.54,4.60,27764600
2025-03-07,4.60,4.61,4.43,4.59,39222900
2025-03-10,4.45,4.45,4.00,4.12,80731900
2025-03-11,4.26,4.53,4.20,4.31,50990200
2025-03-12,4.46,4.50,4.18,4.22,31681400
2025-03-13,4.21,4.31,4.20,4.26,30576800
2025-03-14,4.34,4.42,4.32,4.40,17810700
2025-03-17,4.49,4.51,4.40,4.45,21533900
2025-03-18,4.64,4.68,4.50,4.60,36003600
2025-03-19,4.61,4.79,4.57,4.71,38837200
2025-03-20,4.72,4.72,4.53,4.58,17092500
2025-03-21,4.51,4.65,4.44,4.64,23250300
2025-03-24,4.64,4.68,4.60,4.62,34925900
2025-03-25,4.64,4.69,4.53,4.54,18424400
2025-03-26,4.62,4.79,4.57,4.78,34244700
2025-03-27,4.78,4.85,4.69,4.80,27429900
2025-03-28,4.79,4.79,4.54,4.57,25068600
2025-03-31,4.38,4.56,4.29,4.53,30698400
2025-04-01,4.45,4.56,4.43,4.55,15596900
2025-04-02,4.44,4.61,4.44,4.61,30018000
2025-04-03,4.37,4.40,4.20,4.26,29250500
2025-04-04,4.09,4.10,3.66,3.73,87102400
2025-04-07,3.60,3.76,3.36,3.48,95733900
2025-04-08,3.79,3.95,3.63,3.73,84309500
2025-04-09,3.85,4.32,3.70,4.26,62957800
2025-04-10,4.11,4.12,3.85,3.97,52701000
2025-04-11,4.03,4.07,3.93,4.05,47057800
2025-04-14,4.11,4.16,3.96,3.98,32449700
2025-04-15,4.01,4.09,3.98,4.06,17983500
2025-04-16,3.95,4.12,3.93,4.04,32231700
2025-04-17,4.08,4.17,4.06,4.11,17716700
2025-04-21,4.10,4.20,3.99,4.07,14223700
2025-04-22,4.13,4.33,4.13,4.24,19817600
2025-04-23,4.49,4.60,4.32,4.38,42330800
2025-04-24,4.38,4.70,4.38,4.68,30544100
2025-04-25,4.65,4.79,4.56,4.78,37684600
2025-04-28,4.79,4.89,4.66,4.76,44312400
2025-04-29,4.80,4.85,4.71,4.79,33239700
2025-04-30,4.69,4.93,4.65,4.88,41720400
2025-05-01,4.93,4.94,4.75,4.77,26912100
2025-05-02,4.85,4.98,4.82,4.89,32785500
2025-05-05,4.84,5.00,4.80,4.86,25044100
2025-05-06,4.79,4.88,4.74,4.84,24915800
2025-05-07,4.97,4.98,4.78,4.84,44351500
2025-05-08,4.85,4.97,4.83,4.93,20799100
2025-05-09,4.97,5.02,4.86,4.90,22257700
2025-05-12,5.03,5.03,4.95,4.99,20835400
2025-05-13,4.99,5.06,4.97,5.03,41385200
2025-05-14,5.03,5.25,5.01,5.25,52036200
2025-05-15,5.15,5.22,4.98,5.06,36267500
2025-05-16,5.10,5.20,5.05,5.09,24671100
2025-05-19,5.01,5.13,4.99,5.08,23549300
2025-05-20,5.07,5.07,4.89,4.94,32516700
2025-05-21,4.93,4.93,4.77,4.81,28478400
2025-05-22,4.82,5.06,4.80,4.96,36674700
2025-05-23,4.87,4.99,4.86,4.95,12721800
2025-05-27,4.99,5.03,4.94,4.97,25510400
2025-05-28,4.96,5.02,4.95,4.97,18857800
2025-05-29,5.03,5.04,4.85,4.89,19388200
2025-05-30,4.89,4.90,4.81,4.87,34303000
2025-06-02,4.90,4.91,4.71,4.85,27515800
2025-06-03,4.87,5.01,4.85,4.99,25703900
2025-06-04,4.98,5.11,4.98,5.02,25535100
2025-06-05,5.03,5.13,5.00,5.06,30355900
2025-06-06,5.28,5.29,5.05,5.17,33223900
2025-06-09,5.12,5.14,4.95,4.98,26682400
2025-06-10,4.95,4.97,4.65,4.68,114376400
2025-06-11,4.73,4.80,4.69,4.73,76419100
2025-06-12,4.71,4.71,4.57,4.63,57486700
2025-06-13,4.59,4.64,4.53,4.57,27567000
2025-06-16,4.66,4.76,4.66,4.71,34437500
2025-06-17,4.73,4.82,4.72,4.80,68451000
2025-06-18,4.78,4.80,4.63,4.66,35749200
2025-06-20,4.64,4.66,4.48,4.49,45366000
2025-06-23,4.49,4.61,4.48,4.56,26692400
2025-06-24,4.63,4.80,4.63,4.74,35627900
2025-06-25,4.76,4.77,4.58,4.59,33606100
2025-06-26,4.63,4.71,4.60,4.67,29919200
2025-06-27,4.67,4.94,4.65,4.92,51195100
2025-06-30,4.99,5.12,4.86,5.03,53350300
2025-07-01,5.04,5.07,4.86,4.93,30189600
2025-07-02,4.93,5.18,4.87,4.90,52767700
2025-07-03,4.92,4.95,4.83,4.87,19438400
2025-07-07,4.87,5.05,4.81,4.97,32824100
2025-07-08,5.04,5.07,4.80,4.80,43948200
2025-07-09,4.85,5.05,4.80,4.99,50068500
2025-07-10,5.00,5.01,4.90,4.92,28539100
2025-07-11,4.92,5.07,4.91,5.00,36728600
2025-07-14,5.07,5.16,4.98,5.01,27022200
2025-07-15,5.10,5.18,5.01,5.04,35314400
2025-07-16,5.05,5.14,4.96,5.13,39529000
2025-07-17,5.17,5.31,5.16,5.25,50947200
2025-07-18,5.35,5.41,5.29,5.34,45217600
2025-07-21,5.45,5.48,5.24,5.35,68286800
2025-07-22,5.43,5.50,5.21,5.47,54391100
2025-07-23,5.49,5.52,5.32,5.37,32321600
2025-07-24,5.36,5.39,5.27,5.34,22180600
2025-07-25,5.36,5.39,5.30,5.36,25384700
2025-07-28,5.36,5.36,5.25,5.28,25521500
2025-07-29,5.40,5.43,5.27,5.31,44062900
2025-07-30,5.30,5.36,5.26,5.29,43481400
2025-07-31,5.11,5.12,4.80,4.89,80297000
2025-08-01,4.88,4.90,4.73,4.80,39733700
2025-08-04,4.87,5.00,4.84,4.96,26747000
2025-08-05,4.96,5.03,4.90,4.97,35509200
2025-08-06,4.93,4.96,4.76,4.77,28108300
2025-08-07,4.84,4.96,4.77,4.95,42229200
2025-08-08,4.97,4.99,4.85,4.88,21994500
2025-08-11,4.87,4.89,4.77,4.82,18079200
2025-08-12,4.86,4.99,4.84,4.99,23595800
2025-08-13,5.03,5.15,4.97,5.12,35414200
2025-08-14,5.13,5.19,5.05,5.13,21178100
2025-08-15,5.12,5.23,5.11,5.13,17794100
2025-08-18,5.13,5.15,5.08,5.10,16970800
2025-08-19,5.12,5.26,5.05,5.05,33067900
2025-08-20,5.04,5.04,4.90,5.03,25642600
2025-08-21,5.03,5.07,5.00,5.01,13694900
2025-08-22,5.05,5.17,4.99,5.13,24241500
2025-08-25,5.10,5.12,4.99,5.01,26740200
2025-08-26,5.00,5.01,4.93,5.00,31901300
2025-08-27,4.99,5.02,4.94,4.95,17636700
2025-08-28,4.96,5.02,4.90,4.97,17844600
2025-08-29,4.95,5.01,4.91,4.99,36145900
2025-09-02,4.91,4.96,4.84,4.93,26846000
2025-09-03,4.93,4.99,4.89,4.92,27014600
2025-09-04,4.89,5.09,4.88,5.05,36213100
2025-09-05,5.09,5.18,5.06,5.16,35099900
2025-09-08,5.17,5.30,5.16,5.19,33633600
2025-09-09,5.16,5.30,5.09,5.29,42873400
2025-09-10,5.30,5.34,5.24,5.30,39979900
2025-09-11,5.29,5.57,5.22,5.53,85350100
2025-09-12,5.55,6.03,5.51,6.00,110319200
2025-09-15,5.90,6.16,5.61,6.14,110348900
2025-09-16,6.12,6.42,5.91,6.32,111341900
2025-09-17,6.13,6.13,5.91,6.10,110391300
2025-09-18,6.14,6.50,6.06,6.35,94937200
2025-09-19,6.39,6.50,6.32,6.39,53037100
2025-09-22,6.24,6.58,6.22,6.45,96489000
2025-09-23,6.48,6.62,6.26,6.32,55175200
2025-09-24,6.30,6.43,6.16,6.22,58607100
2025-09-25,6.13,6.27,5.99,6.25,68323200
2025-09-26,6.21,6.22,6.04,6.11,38493400
2025-09-29,6.11,6.17,5.93,6.11,32120400
2025-09-30,6.06,6.15,5.99,6.02,38655000
2025-10-01,6.04,6.22,5.83,5.90,71049200
2025-10-02,5.99,6.07,5.90,6.05,47729800
2025-10-03,6.12,6.22,6.06,6.16,50405600
