Date,Open,High,Low,Close,Volume
2024-10-07,22.75,23.42,22.72,23.32,10007900
2024-10-08,23.47,25.80,23.44,25.61,39241500
2024-10-09,25.49,25.69,24.17,25.65,22201800
2024-10-10,25.50,25.87,24.70,25.50,12990200
2024-10-11,25.75,26.65,25.69,26.27,16868900
2024-10-14,26.90,27.14,26.16,27.00,17233000
2024-10-15,27.14,27.33,25.91,26.80,16466500
2024-10-16,27.04,27.17,26.57,26.93,12382000
2024-10-17,27.08,27.08,26.09,26.32,11588300
2024-10-18,26.55,27.04,26.42,26.83,10721200
2024-10-21,26.78,27.10,26.18,26.97,10284200
2024-10-22,26.90,27.60,26.82,27.41,11978800
2024-10-23,27.11,27.39,26.28,26.70,10203200
2024-10-24,26.95,27.33,26.69,27.22,7687300
2024-10-25,27.51,27.75,26.92,27.06,8752200
2024-10-28,27.93,28.23,27.51,27.88,14670900
2024-10-29,28.25,28.36,27.60,28.03,13257600
2024-10-30,27.92,28.58,27.55,28.21,26660900
2024-10-31,26.02,26.48,23.15,23.49,45738900
2024-11-01,23.70,24.12,23.00,23.97,21594100
2024-11-04,23.75,24.56,23.54,24.32,15067200
2024-11-05,24.53,25.27,24.42,24.96,12947200
2024-11-06,27.73,30.06,26.74,29.86,49591600
2024-11-07,29.06,30.04,28.67,29.36,24913000
2024-11-08,29.35,30.63,29.21,30.54,22564100
2024-11-11,32.94,34.32,32.23,32.80,43967200
2024-11-12,31.74,33.76,31.46,33.00,26059500
2024-11-13,33.63,34.10,31.82,31.91,23203600
2024-11-14,32.85,33.00,31.59,32.22,13023400
2024-11-15,32.01,32.35,31.26,32.32,17537500
2024-11-18,33.11,35.62,32.90,35.00,36877100
2024-11-19,34.56,36.32,34.00,35.24,27227500
2024-11-20,37.00,38.11,35.72,36.08,36004100
2024-11-21,37.12,37.12,34.63,35.09,27042400
2024-11-22,34.98,36.83,34.17,36.65,21650100
2024-11-25,39.22,39.74,37.30,37.85,29944600
2024-11-26,37.05,37.91,36.15,36.42,16612100
