Date,Open,High,Low,Close,Volume
2024-10-07,29.95,30.15,29.16,29.51,1201400
2024-10-08,29.57,29.87,29.04,29.52,945000
2024-10-09,29.41,30.04,29.27,29.74,647800
2024-10-10,29.63,29.99,29.19,29.47,618100
2024-10-11,29.40,29.71,29.07,29.55,770100
2024-10-14,29.63,30.27,29.15,30.03,967900
2024-10-15,29.80,30.28,29.74,30.07,871000
2024-10-16,30.11,30.56,29.76,30.20,2139000
2024-10-17,31.00,35.85,30.85,33.57,3512200
2024-10-18,33.55,34.36,31.40,31.60,2030600
2024-10-21,31.60,31.70,29.69,29.73,1640500
2024-10-22,29.38,29.72,28.82,28.89,1543100
2024-10-23,28.97,29.81,28.97,29.78,1318100
2024-10-24,29.83,30.03,28.91,28.94,989300
2024-10-25,28.91,29.13,28.10,29.03,1536000
2024-10-28,29.21,30.01,29.10,29.75,1183100
2024-10-29,29.53,29.89,29.23,29.64,842700
2024-10-30,29.50,30.28,29.46,29.50,858600
2024-10-31,29.41,29.93,29.25,29.33,1018300
2024-11-01,29.61,29.86,28.92,29.31,757400
2024-11-04,29.29,30.03,29.27,29.57,677900
2024-11-05,29.64,30.17,29.60,29.68,624700
2024-11-06,30.12,30.60,29.69,30.30,1054100
2024-11-07,30.33,30.72,29.13,29.22,934800
2024-11-08,29.11,29.57,29.00,29.53,740100
2024-11-11,30.07,30.42,29.77,30.37,719100
2024-11-12,30.16,30.30,29.18,29.78,1175100
2024-11-13,30.12,30.30,28.72,28.86,1100600
2024-11-14,28.91,29.82,28.64,29.65,2024200
2024-11-15,29.58,29.93,28.25,28.31,1018600
2024-11-18,28.32,28.92,28.14,28.59,1269700
2024-11-19,28.33,28.67,27.16,27.32,959800
2024-11-20,27.15,28.28,27.15,27.91,1106000
2024-11-21,27.82,28.61,27.47,28.47,813900
2024-11-22,28.52,29.46,28.52,29.40,873900
2024-11-25,30.00,30.38,29.50,29.99,2014100
2024-11-26,29.94,29.95,28.76,29.11,1109800
2024-11-27,29.34,30.11,29.34,29.60,753800
2024-11-29,29.75,29.89,29.15,29.72,828100
2024-12-02,29.71,30.57,29.02,30.53,1390700
2024-12-03,30.59,30.71,29.62,29.92,871200
2024-12-04,29.76,30.89,29.73,30.64,628900
2024-12-05,30.82,31.34,30.02,30.21,629000
2024-12-06,30.48,31.65,30.41,31.00,1048700
2024-12-09,31.19,32.10,31.13,31.55,956300
2024-12-10,31.48,31.48,30.50,30.84,893900
2024-12-11,31.06,31.09,29.82,30.29,1476100
2024-12-12,30.26,30.70,30.16,30.43,507500
2024-12-13,30.29,30.52,29.97,30.21,883600
2024-12-16,29.87,30.41,29.59,30.20,728000
2024-12-17,30.09,30.33,29.12,29.37,855800
2024-12-18,29.50,30.26,29.19,29.23,964800
2024-12-19,29.27,29.82,29.13,29.50,1007800
2024-12-20,29.12,29.87,29.10,29.21,2788900
2024-12-23,29.10,29.36,28.59,29.22,807300
2024-12-24,29.21,29.24,28.31,28.78,290200
2024-12-26,28.71,28.95,28.24,28.88,618300
2024-12-27,28.88,29.14,28.52,29.06,702300
2024-12-30,28.94,29.04,28.28,28.97,658500
2024-12-31,29.14,29.52,28.91,29.02,750400
2025-01-02,29.23,29.96,29.16,29.57,666900
2025-01-03,29.83,30.30,29.74,30.09,570600
2025-01-06,30.22,30.94,30.14,30.15,678600
2025-01-07,30.13,30.54,29.62,29.76,726300
2025-01-08,29.51,29.64,29.00,29.05,542800
2025-01-10,28.63,28.75,28.17,28.31,610500
2025-01-13,28.11,28.53,27.33,27.52,1072200
2025-01-14,27.63,27.89,26.92,27.20,739400
2025-01-15,27.51,28.10,27.47,27.52,709200
2025-01-16,27.55,27.72,27.26,27.55,766700
2025-01-17,28.00,28.28,27.68,28.16,1060700
2025-01-21,28.34,29.34,28.24,29.33,796000
2025-01-22,29.02,30.08,28.68,29.13,1548300
2025-01-23,28.85,29.56,28.07,29.41,918900
2025-01-24,29.58,31.24,29.58,31.02,1335300
2025-01-27,30.89,31.06,29.65,29.82,1186600
2025-01-28,30.02,30.47,29.82,30.10,773800
2025-01-29,29.94,30.09,28.24,28.34,955300
2025-01-30,28.50,28.68,27.94,28.42,751800
2025-01-31,28.52,29.03,28.28,28.75,1103000
2025-02-03,28.08,28.70,27.67,28.38,1346700
2025-02-04,28.48,29.27,28.42,28.55,1557500
2025-02-05,28.90,29.37,28.40,29.06,1394200
2025-02-06,29.30,29.79,28.45,28.57,1012100
2025-02-07,28.61,28.79,28.29,28.42,903000
2025-02-10,28.94,29.11,27.86,27.97,1006900
2025-02-11,27.92,28.29,27.57,27.81,1380100
2025-02-12,27.70,27.98,27.44,27.72,1353000
2025-02-13,31.10,33.17,30.20,31.99,4361100
2025-02-14,32.31,33.18,31.52,31.63,1924100
2025-02-18,32.23,34.45,32.12,32.46,2155300
2025-02-19,32.42,33.17,32.29,32.66,1411600
2025-02-20,32.42,32.67,32.08,32.12,1356100
2025-02-21,32.07,32.23,30.87,31.08,1362800
2025-02-24,31.37,31.65,31.08,31.43,1136100
2025-02-25,31.49,31.69,31.05,31.40,1208500
2025-02-26,31.63,32.59,31.61,31.93,1465700
2025-02-27,32.20,32.63,31.86,32.13,1188200
2025-02-28,32.00,32.10,31.22,31.56,1453500
2025-03-03,31.55,32.00,30.91,30.94,1093200
2025-03-04,30.44,30.61,29.88,30.04,1301900
2025-03-05,30.02,30.65,29.96,30.59,949800
2025-03-06,30.12,30.63,29.86,30.30,1186200
2025-03-07,30.20,30.91,30.11,30.65,1404400
2025-03-10,29.95,31.03,29.69,29.75,1946900
2025-03-11,29.67,29.89,28.79,29.33,1780100
2025-03-12,29.44,29.61,27.33,27.35,1561600
2025-03-13,27.37,27.37,26.54,26.87,1441600
2025-03-14,27.00,27.70,26.92,27.59,1277500
2025-03-17,27.29,27.90,27.17,27.65,1110500
2025-03-18,27.61,27.61,26.93,27.36,1119500
2025-03-19,27.48,27.74,27.30,27.60,1246900
2025-03-20,27.31,27.70,27.18,27.55,1180400
2025-03-21,27.19,27.84,27.08,27.65,2726000
2025-03-24,27.95,28.33,27.86,28.19,1148500
2025-03-25,28.22,29.12,28.15,29.00,1613300
2025-03-26,29.04,30.04,29.04,29.54,1056800
2025-03-27,29.33,29.99,28.90,29.48,1782200
2025-03-28,29.41,29.74,27.52,27.54,1246700
2025-03-31,27.10,27.61,26.69,27.32,1374500
2025-04-01,27.21,27.59,26.60,27.32,1386500
2025-04-02,27.04,27.49,26.81,27.03,1132200
2025-04-03,26.22,26.67,25.54,25.58,1075800
2025-04-04,24.78,25.30,24.12,24.59,1550300
2025-04-07,23.27,25.05,22.90,23.28,1884300
2025-04-08,24.01,24.19,22.23,22.65,1263100
2025-04-09,22.28,24.88,22.18,24.65,1622000
2025-04-10,24.27,24.66,23.84,24.15,1256800
2025-04-11,24.22,24.57,23.33,24.27,852000
2025-04-14,24.68,25.01,24.18,24.32,931200
2025-04-15,24.50,24.72,24.06,24.20,818400
2025-04-16,23.95,24.30,23.59,23.83,731500
2025-04-17,23.89,24.56,23.53,23.77,738800
2025-04-21,23.50,23.63,22.87,23.20,2063400
2025-04-22,22.50,23.04,19.91,21.61,6427200
2025-04-23,22.64,23.13,21.38,21.57,2360700
2025-04-24,21.80,23.15,21.57,23.04,2161600
2025-04-25,22.99,23.32,22.47,23.16,1433100
2025-04-28,23.42,24.44,23.42,24.16,1951300
2025-04-29,24.20,24.55,23.77,24.12,1305500
2025-04-30,23.85,24.19,23.43,24.13,1079500
2025-05-01,24.14,24.50,23.86,24.07,1093700
2025-05-02,24.37,25.38,24.27,25.17,1117100
2025-05-05,25.14,25.92,24.88,25.77,1577200
2025-05-06,25.43,26.39,25.26,26.25,1359900
2025-05-07,26.25,26.61,26.09,26.31,1209000
2025-05-08,26.46,26.47,25.88,26.01,1013700
2025-05-09,26.00,26.81,26.00,26.45,796500
2025-05-12,27.12,27.49,26.71,26.98,891100
2025-05-13,26.90,26.97,25.63,25.66,1821700
2025-05-14,25.50,25.76,24.81,25.33,1267900
2025-05-15,25.35,25.85,25.18,25.65,1161200
2025-05-16,25.69,25.89,25.39,25.45,875500
2025-05-19,25.12,25.50,24.94,25.23,880700
2025-05-20,25.27,26.07,25.11,25.82,921100
2025-05-21,25.82,25.85,25.06,25.31,794800
2025-05-22,25.31,25.68,25.01,25.53,916900
2025-05-23,25.23,25.38,24.57,25.22,742700
2025-05-27,25.54,26.70,25.38,26.23,1167100
2025-05-28,26.23,26.25,25.61,25.68,847000
2025-05-29,25.97,25.97,25.07,25.57,795100
2025-05-30,25.42,25.69,25.22,25.40,1432400
2025-06-02,25.25,26.16,25.10,25.87,1369900
2025-06-03,25.95,26.26,25.60,26.14,921300
2025-06-04,26.05,26.59,25.88,26.34,673100
2025-06-05,26.50,26.72,26.25,26.51,890400
2025-06-06,26.80,27.86,26.55,27.76,1829300
2025-06-09,27.80,29.21,27.80,28.56,1909500
2025-06-10,29.20,29.20,28.20,28.94,912300
2025-06-11,29.18,29.26,28.57,28.77,808100
2025-06-12,28.74,29.33,28.73,29.23,766300
2025-06-13,28.69,29.14,28.47,28.64,854100
2025-06-16,28.61,29.44,28.47,29.36,954400
2025-06-17,29.09,29.34,28.10,28.60,987200
2025-06-18,28.66,29.26,28.59,28.74,867300
2025-06-20,28.89,29.15,28.40,28.43,2230200
2025-06-23,28.42,29.30,28.36,29.20,953200
2025-06-24,29.45,29.52,28.77,28.93,1265100
2025-06-25,28.94,29.08,28.73,28.81,931300
2025-06-26,29.04,29.68,28.82,29.51,1485100
2025-06-27,29.72,30.29,29.56,30.04,2400900
2025-06-30,30.18,30.49,29.67,30.17,1542100
2025-07-01,30.18,30.85,30.14,30.59,1414900
2025-07-02,30.66,31.57,30.40,31.52,1103900
2025-07-03,31.69,32.03,31.30,31.80,870500
2025-07-07,31.55,32.26,31.40,32.02,1265400
2025-07-08,32.10,32.68,31.64,31.87,1010000
2025-07-09,32.00,32.12,31.17,31.34,893200
2025-07-10,31.35,32.71,31.27,32.06,1384100
2025-07-11,31.85,31.95,31.26,31.45,1113600
2025-07-14,31.44,31.87,31.36,31.71,1258400
2025-07-15,31.81,32.15,31.43,31.44,1111600
2025-07-16,31.52,31.92,30.49,31.19,1769100
2025-07-17,31.32,32.35,31.26,32.11,1883700
2025-07-18,32.39,32.75,31.73,32.08,1403200
2025-07-21,32.56,33.34,31.83,32.07,1825300
2025-07-22,31.76,32.20,31.17,31.88,1337200
2025-07-23,31.97,32.64,31.75,32.43,1688700
2025-07-24,28.90,29.75,24.81,25.27,10299000
2025-07-25,25.83,26.02,24.84,25.70,4026500
2025-07-28,25.50,25.99,25.30,25.54,2436700
2025-07-29,25.51,25.69,24.61,24.61,1970700
2025-07-30,24.67,25.12,24.64,24.91,1489100
2025-07-31,24.67,25.07,24.22,24.46,1512500
2025-08-01,24.08,24.62,23.85,24.18,1576300
2025-08-04,24.41,24.96,24.34,24.66,2426300
2025-08-05,24.98,25.30,24.83,24.89,1518200
2025-08-06,24.82,25.06,24.05,24.09,1339900
2025-08-07,24.10,24.32,23.21,23.74,1632400
2025-08-08,23.85,24.00,23.64,23.81,1054900
2025-08-11,23.80,23.91,23.51,23.76,1095700
2025-08-12,24.09,24.95,24.09,24.89,2131500
2025-08-13,24.89,24.99,24.48,24.98,1519300
2025-08-14,24.62,24.98,24.55,24.95,1327400
2025-08-15,25.00,25.37,24.80,25.01,1528900
2025-08-18,25.09,25.35,24.52,24.65,1391400
2025-08-19,24.70,24.75,23.90,23.90,1366300
2025-08-20,23.84,24.17,23.78,24.13,1504000
2025-08-21,23.96,24.16,23.70,24.14,886600
2025-08-22,24.30,25.11,24.30,24.98,1683100
