Date,Open,High,Low,Close,Volume
2025-09-11,45.50,47.22,42.74,42.74,14059900
2025-09-12,43.56,43.85,40.25,42.92,11005300
2025-09-15,43.60,46.10,42.70,45.48,6548600
2025-09-16,46.39,47.48,44.74,45.42,4587100
2025-09-17,45.00,45.59,43.56,45.36,3515000
2025-09-18,45.58,45.98,43.80,44.99,3252700
2025-09-19,44.99,45.28,42.82,43.01,3338800
2025-09-22,43.00,44.48,42.52,43.83,3107900
2025-09-23,43.85,44.16,42.10,43.05,2048600
2025-09-24,42.75,43.73,42.57,42.86,1339900
2025-09-25,42.00,42.35,40.41,41.50,3909800
2025-09-26,41.02,41.02,38.31,39.94,5680500
2025-09-29,40.16,40.16,38.21,38.44,4511400
2025-09-30,38.00,38.19,35.60,36.65,5325700
2025-10-01,36.79,38.20,36.10,37.23,2817700
2025-10-02,37.56,41.50,37.50,40.74,6739300
2025-10-03,42.91,43.74,40.54,40.69,4851200
2025-10-06,42.60,43.43,41.15,42.26,4641200
2025-10-07,42.98,43.20,39.93,40.92,2227377
