Date,Open,High,Low,Close,Volume
2024-10-07,24.85,24.99,24.50,24.79,637400
2024-10-08,24.79,25.45,24.79,25.07,950000
2024-10-09,25.00,25.20,24.68,24.96,706200
2024-10-10,24.65,24.84,24.19,24.43,777300
2024-10-11,24.46,25.25,24.43,25.16,849300
2024-10-14,25.25,25.47,25.09,25.35,617400
2024-10-15,25.37,25.41,24.58,25.30,1147200
2024-10-16,25.40,25.82,25.38,25.74,866700
2024-10-17,25.74,25.91,25.20,25.22,556900
2024-10-18,25.16,25.27,24.83,24.85,576800
2024-10-21,24.96,25.11,24.56,24.67,469000
2024-10-22,24.60,24.67,24.21,24.30,522700
2024-10-23,24.26,24.40,23.78,24.01,697300
2024-10-24,24.00,24.41,23.89,23.93,521800
2024-10-25,24.17,24.43,23.95,23.95,524600
2024-10-28,24.20,24.42,23.83,24.20,718900
2024-10-29,24.12,24.32,23.89,24.19,415000
2024-10-30,23.81,24.25,23.32,23.59,1240500
2024-10-31,23.59,23.66,22.69,22.72,1094800
2024-11-01,22.82,23.21,22.74,22.87,697000
2024-11-04,22.80,23.18,22.77,22.99,634300
2024-11-05,23.06,23.36,23.00,23.19,891800
2024-11-06,24.72,24.92,23.89,24.27,1736500
2024-11-07,24.47,24.48,23.81,23.82,1460300
2024-11-08,24.08,26.21,24.07,25.97,2052500
2024-11-11,26.57,27.53,26.31,27.08,1985700
2024-11-12,26.97,27.70,26.75,27.26,1582100
2024-11-13,27.58,28.62,27.53,27.73,1548700
2024-11-14,27.66,27.97,25.20,25.28,1637300
2024-11-15,25.53,25.53,24.37,24.42,1394500
2024-11-18,24.49,24.81,24.34,24.38,1026600
2024-11-19,24.64,25.08,24.38,25.05,1312800
2024-11-20,25.01,25.32,24.70,25.22,1207600
2024-11-21,25.36,26.36,25.02,26.24,1114700
2024-11-22,26.48,26.85,26.17,26.63,839900
2024-11-25,27.05,27.20,26.17,26.41,1162200
2024-11-26,26.28,27.53,26.24,27.24,1117800
2024-11-27,27.50,27.66,26.43,26.95,911500
2024-11-29,27.33,27.44,26.89,27.09,593100
2024-12-02,27.18,27.21,26.41,26.91,851800
2024-12-03,27.05,27.08,26.03,26.36,905800
2024-12-04,26.42,28.04,26.28,27.95,1119800
2024-12-05,27.76,27.77,27.27,27.30,1211400
2024-12-06,27.62,28.07,27.39,27.99,840000
2024-12-09,28.30,28.37,26.84,27.23,1098000
2024-12-10,27.20,27.67,27.05,27.37,816500
2024-12-11,27.61,27.62,27.15,27.34,637000
2024-12-12,27.21,27.69,26.48,26.50,676300
2024-12-13,26.50,27.36,26.50,26.84,804700
2024-12-16,27.79,28.71,27.36,28.29,2628200
2024-12-17,28.23,28.24,27.11,27.25,1428400
2024-12-18,27.22,27.32,25.17,25.51,1738300
2024-12-19,26.02,26.37,25.26,25.60,1409100
2024-12-20,25.06,26.11,25.04,25.87,2601100
2024-12-23,26.37,26.37,25.71,25.99,957000
2024-12-24,26.06,26.72,25.83,26.66,464900
2024-12-26,26.56,26.88,26.26,26.75,763900
2024-12-27,26.92,27.27,26.35,26.52,1029000
2024-12-30,26.13,26.78,25.64,26.52,851300
2024-12-31,26.66,26.85,26.25,26.38,892200
2025-01-02,26.37,27.00,26.15,26.38,876500
2025-01-03,26.40,27.54,26.40,27.48,931500
2025-01-06,29.40,29.96,28.40,29.53,3722400
2025-01-07,29.88,30.39,28.36,28.61,2391000
2025-01-08,28.30,28.96,27.38,28.94,1791600
2025-01-10,28.23,29.69,28.08,29.37,1746800
2025-01-13,29.70,31.19,29.37,30.89,3185200
2025-01-14,31.60,33.09,31.42,32.76,2916400
2025-01-15,33.30,34.33,32.83,34.05,4039500
2025-01-16,34.13,34.83,33.25,33.61,2589500
2025-01-17,33.84,34.53,33.20,33.62,4950400
2025-01-21,34.01,35.31,33.78,35.22,3105400
2025-01-22,35.21,35.66,34.69,34.95,1830500
2025-01-23,34.83,35.22,34.33,34.57,2874700
2025-01-24,34.41,34.85,33.99,34.13,1613400
2025-01-27,33.46,33.77,32.58,33.48,1869000
2025-01-28,33.50,35.21,33.22,33.48,2078900
2025-01-29,33.44,33.66,32.39,32.75,2213500
2025-01-30,33.49,33.84,32.73,33.65,1228200
2025-01-31,33.68,34.26,33.35,33.37,1358900
2025-02-03,32.50,33.80,32.40,33.20,1436200
2025-02-04,33.30,34.48,33.30,34.38,1757700
2025-02-05,34.60,34.78,34.16,34.28,1385600
2025-02-06,34.33,34.36,31.98,32.54,2037300
2025-02-07,32.60,32.86,32.14,32.46,1475000
2025-02-10,32.92,33.29,32.29,33.09,1543600
2025-02-11,32.85,33.04,31.91,32.07,1720600
2025-02-12,31.38,31.88,30.88,31.01,1902800
2025-02-13,31.25,31.80,28.28,28.56,3897900
2025-02-14,28.26,28.26,26.89,27.16,3734400
2025-02-18,27.30,27.65,26.75,27.05,2681200
2025-02-19,27.04,27.22,26.57,26.85,1793400
