Date,Open,High,Low,Close,Volume
2024-10-07,2.86,3.07,2.78,2.94,12999800
2024-10-08,2.98,2.98,2.64,2.71,9005100
2024-10-09,2.80,2.82,2.67,2.69,6534900
2024-10-10,2.70,2.71,2.62,2.67,3544200
2024-10-11,2.67,2.94,2.67,2.90,7554800
2024-10-14,2.88,2.88,2.72,2.81,5958000
2024-10-15,2.80,2.82,2.66,2.67,4468700
2024-10-16,3.12,3.42,2.81,3.29,41821100
2024-10-17,3.58,3.66,3.08,3.24,32086700
2024-10-18,3.28,3.33,3.05,3.14,14941500
2024-10-21,3.12,3.14,2.89,3.01,13062300
2024-10-22,2.99,3.36,2.97,3.33,15675000
2024-10-23,3.29,3.32,3.10,3.18,10173900
2024-10-24,3.23,3.52,3.23,3.41,13085800
2024-10-25,3.45,3.72,3.43,3.68,14797100
2024-10-28,3.79,4.25,3.67,4.14,24171900
2024-10-29,4.54,5.20,4.25,4.51,45506500
2024-10-30,4.50,4.51,4.04,4.11,16756300
2024-10-31,4.06,4.26,3.90,4.08,9851800
2024-11-01,4.23,4.49,4.14,4.27,12087400
2024-11-04,4.18,4.41,4.01,4.20,9604600
2024-11-05,4.23,4.28,4.05,4.17,7844700
2024-11-06,4.00,4.12,3.75,3.95,13588900
2024-11-07,3.96,4.29,3.90,4.09,8397800
2024-11-08,4.06,4.06,3.76,3.92,9666400
2024-11-11,3.88,4.23,3.73,4.23,12171100
2024-11-12,4.22,4.45,4.05,4.09,10686400
2024-11-13,4.20,4.50,4.18,4.22,13585800
2024-11-14,4.24,4.29,3.84,3.87,9702100
2024-11-15,3.91,3.94,3.61,3.72,8528300
2024-11-18,3.73,3.77,3.59,3.62,5145800
2024-11-19,3.60,3.81,3.56,3.74,5279900
2024-11-20,3.73,3.75,3.58,3.65,4180900
2024-11-21,3.66,3.94,3.65,3.88,6410500
2024-11-22,3.82,4.00,3.78,3.97,4864200
2024-11-25,4.03,4.15,3.91,4.04,5852000
2024-11-26,3.99,4.00,3.83,3.90,4699500
2024-11-27,3.91,4.10,3.90,3.95,5287600
2024-11-29,3.98,4.16,3.96,3.99,4551800
2024-12-02,4.00,4.03,3.85,3.95,4455300
2024-12-03,3.95,4.01,3.87,3.88,3883100
2024-12-04,3.89,3.91,3.61,3.67,8902700
2024-12-05,3.69,3.72,3.50,3.53,6299600
2024-12-06,3.57,3.64,3.43,3.48,4662100
2024-12-09,3.59,3.76,3.56,3.62,5645200
2024-12-10,3.58,3.65,3.51,3.58,3959800
2024-12-11,3.61,3.63,3.36,3.37,4977400
2024-12-12,3.32,3.40,3.20,3.32,5131700
2024-12-13,3.30,3.32,3.16,3.25,3992500
2024-12-16,3.25,3.29,3.20,3.24,3538800
2024-12-17,3.21,3.25,3.11,3.13,4237500
2024-12-18,3.12,3.14,2.90,2.93,6793500
2024-12-19,2.99,3.06,2.90,2.94,4418400
2024-12-20,2.90,3.06,2.88,2.97,4486900
2024-12-23,3.01,3.23,2.97,3.17,8092900
2024-12-24,3.17,3.29,3.13,3.16,3331400
2024-12-26,3.16,3.19,3.08,3.16,3174100
2024-12-27,3.15,3.26,3.05,3.09,5652100
2024-12-30,3.01,3.05,2.92,3.00,4481600
2024-12-31,3.01,3.10,2.96,2.97,3978900
2025-01-02,3.00,3.17,3.00,3.06,4023200
2025-01-03,3.07,3.20,3.04,3.17,4203600
2025-01-06,3.23,3.49,3.23,3.41,7098900
2025-01-07,3.55,3.60,3.38,3.43,6323000
2025-01-08,3.35,3.39,3.21,3.29,4401100
2025-01-10,3.24,3.25,3.04,3.14,4671900
2025-01-13,3.10,3.21,3.04,3.20,4246700
2025-01-14,3.28,3.38,3.17,3.28,4200800
2025-01-15,3.33,3.43,3.27,3.39,5047600
2025-01-16,3.41,3.48,3.33,3.44,4149700
2025-01-17,3.42,3.54,3.42,3.49,4969000
2025-01-21,3.51,3.54,3.11,3.20,8958800
2025-01-22,3.22,3.26,3.08,3.11,4734500
2025-01-23,3.11,3.22,3.05,3.18,4699900
2025-01-24,3.17,3.32,3.13,3.15,6735200
2025-01-27,3.10,3.11,2.99,3.07,4972000
2025-01-28,3.05,3.08,2.98,3.05,3798300
2025-01-29,3.03,3.06,2.90,2.97,6798300
2025-01-30,3.02,3.11,2.99,3.02,3892500
2025-01-31,3.03,3.12,2.95,3.00,4413900
2025-02-03,2.88,2.94,2.82,2.87,4874400
2025-02-04,2.88,3.09,2.88,3.06,4576500
2025-02-05,3.07,3.12,3.04,3.10,3194400
2025-02-06,3.12,3.19,3.04,3.07,5000500
2025-02-07,3.06,3.10,3.00,3.03,3170800
2025-02-10,3.06,3.08,2.95,2.97,3937000
2025-02-11,2.92,2.94,2.83,2.90,4837400
2025-02-12,2.88,3.08,2.87,3.03,5709200
2025-02-13,3.07,3.15,3.04,3.13,3776700
2025-02-14,3.12,3.12,2.96,3.00,5171300
2025-02-18,3.03,3.12,3.01,3.07,5001100
2025-02-19,3.05,3.11,3.01,3.08,3902600
2025-02-20,3.05,3.10,2.99,3.05,2952400
2025-02-21,3.08,3.08,2.91,2.96,4985900
2025-02-24,2.95,2.96,2.80,2.87,4572900
2025-02-25,2.84,2.86,2.72,2.76,4200500
2025-02-26,2.84,2.92,2.80,2.81,3833500
2025-02-27,2.81,2.86,2.73,2.74,2996200
2025-02-28,2.71,2.72,2.62,2.65,4281600
2025-03-03,2.70,2.76,2.50,2.52,4177500
2025-03-04,2.50,2.64,2.38,2.56,6321100
2025-03-05,2.63,2.87,2.61,2.84,5856100
2025-03-06,2.86,3.16,2.85,3.05,10443200
2025-03-07,3.00,3.21,2.94,3.09,5897400
2025-03-10,3.04,3.07,2.82,2.87,5839900
2025-03-11,2.91,2.97,2.79,2.94,5527100
2025-03-12,2.96,3.00,2.88,2.89,4412200
2025-03-13,2.90,2.92,2.73,2.79,3093600
2025-03-14,2.83,2.92,2.81,2.90,2704400
2025-03-17,2.90,3.03,2.90,3.02,2939500
2025-03-18,3.01,3.07,2.97,3.03,3986000
2025-03-19,3.02,3.08,2.99,3.03,3953700
2025-03-20,2.98,3.07,2.95,2.96,2707400
2025-03-21,3.02,3.04,2.92,3.01,5420000
2025-03-24,3.05,3.10,2.96,2.97,3839000
2025-03-25,2.97,2.99,2.88,2.94,3040700
2025-03-26,2.94,2.96,2.82,2.85,3165700
2025-03-27,2.86,2.91,2.81,2.87,2708100
2025-03-28,2.82,2.84,2.68,2.70,4198900
2025-03-31,2.63,2.74,2.60,2.71,4115200
2025-04-01,2.71,2.79,2.65,2.76,3435600
2025-04-02,2.77,2.86,2.71,2.76,4309300
