Date,Open,High,Low,Close,Volume
2024-10-07,262.93,263.56,258.41,259.44,730500
2024-10-08,260.00,265.50,258.05,259.46,621500
2024-10-09,259.91,276.81,259.52,275.49,1303600
2024-10-10,272.97,296.29,271.99,292.69,2598400
2024-10-11,291.80,297.68,286.42,292.86,1401500
2024-10-14,295.26,295.38,287.00,289.14,697300
2024-10-15,287.82,290.14,283.60,284.66,681000
2024-10-16,284.85,285.47,275.57,278.39,684400
2024-10-17,273.00,275.00,266.13,271.87,4698300
2024-10-18,271.10,276.88,271.09,275.54,1109300
2024-10-21,273.38,276.96,268.66,271.77,825100
2024-10-22,270.16,270.90,263.22,264.44,1115200
2024-10-23,264.25,266.23,258.28,260.96,1588900
2024-10-24,263.20,266.20,262.58,263.52,815100
2024-10-25,266.34,271.00,265.64,268.74,1045100
2024-10-28,271.98,275.71,269.51,272.18,732900
2024-10-29,272.88,278.84,271.34,275.21,658700
2024-10-30,277.47,288.32,276.05,283.70,1515200
2024-10-31,280.00,280.56,268.99,270.40,1101600
2024-11-01,270.40,275.23,265.18,271.85,1035500
2024-11-04,269.57,270.59,265.45,267.39,895000
2024-11-05,268.39,274.87,264.17,274.75,724500
2024-11-06,281.00,288.09,280.61,280.98,940500
2024-11-07,280.87,295.51,280.87,294.12,1192200
2024-11-08,292.08,292.67,284.18,290.04,888100
2024-11-11,290.94,292.42,283.71,291.57,925500
2024-11-12,291.15,297.01,288.69,291.65,1284600
2024-11-13,291.13,320.68,291.13,300.89,2530800
2024-11-14,301.00,303.53,290.62,291.59,1662700
2024-11-15,286.00,289.85,272.94,279.77,1764400
2024-11-18,281.68,285.27,279.50,284.43,1006000
2024-11-19,279.00,291.29,278.03,289.15,1658200
2024-11-20,289.46,290.94,275.10,281.76,1240400
2024-11-21,306.22,331.20,305.08,315.44,4191500
2024-11-22,324.95,337.55,323.36,332.50,2755000
2024-11-25,349.17,353.55,340.65,341.36,2801100
2024-11-26,342.76,345.98,334.00,335.40,1768000
2024-11-27,335.94,336.02,319.77,324.60,1215200
2024-11-29,324.78,328.68,322.05,322.49,532100
2024-12-02,323.00,332.28,322.02,325.15,1278900
2024-12-03,321.13,328.28,319.48,324.01,922000
2024-12-04,337.99,347.40,333.00,341.31,1392900
2024-12-05,343.54,346.99,333.84,334.31,1003100
2024-12-06,343.50,348.00,340.60,343.40,1811200
2024-12-09,355.34,370.00,345.98,350.13,6513300
2024-12-10,322.43,323.57,289.46,290.90,10300500
2024-12-11,297.70,305.15,295.11,297.20,3641500
2024-12-12,291.95,294.62,284.29,288.61,2751800
2024-12-13,288.61,290.64,265.26,267.19,5096600
