Date,Open,High,Low,Close,Volume
2024-10-07,17.30,17.95,17.23,17.84,2687600
2024-10-08,17.10,17.45,16.84,17.00,3182900
2024-10-09,16.98,17.21,16.62,17.15,2572600
2024-10-10,17.05,17.50,16.92,17.37,1390600
2024-10-11,17.24,18.03,17.24,17.81,1942000
2024-10-14,17.52,17.85,17.39,17.76,1426600
2024-10-15,17.53,17.84,17.40,17.70,1440200
2024-10-16,18.19,19.08,18.17,19.00,3484200
2024-10-17,18.79,19.00,18.24,18.29,2875100
2024-10-18,18.49,18.78,18.39,18.58,2168100
2024-10-21,18.46,18.53,17.74,18.08,1788000
2024-10-22,18.24,18.43,17.90,18.30,1581900
2024-10-23,18.04,18.08,17.65,17.87,1992300
2024-10-24,17.95,18.70,17.75,18.55,2104400
2024-10-25,18.67,18.77,18.47,18.64,1541800
2024-10-28,18.69,19.43,18.55,18.88,2689400
2024-10-29,18.96,19.20,18.88,18.99,1349900
2024-10-30,18.85,19.29,18.74,18.74,2177300
2024-10-31,18.55,18.56,17.79,17.99,2150200
2024-11-01,18.20,18.42,18.01,18.23,1817600
2024-11-04,18.34,18.65,18.00,18.25,2070700
2024-11-05,18.25,18.94,18.05,18.61,2379400
2024-11-06,19.54,19.87,19.00,19.68,4788600
2024-11-07,19.70,20.05,19.38,19.98,3189400
2024-11-08,19.80,19.82,18.87,19.50,3124800
2024-11-11,19.60,20.58,19.38,20.41,2529100
2024-11-12,20.09,20.38,19.57,19.85,2040200
2024-11-13,20.00,20.10,18.75,19.12,3518600
2024-11-14,19.09,19.28,18.42,18.57,2678500
2024-11-15,18.73,18.73,18.02,18.28,2119000
2024-11-18,18.15,18.68,18.00,18.35,1827300
2024-11-19,18.31,18.33,17.65,18.02,1730100
2024-11-20,17.89,18.32,17.68,18.23,1225300
2024-11-21,18.18,19.12,18.01,18.73,1592200
2024-11-22,18.72,19.87,18.53,19.64,2339900
2024-11-25,19.88,21.04,19.88,20.84,2727300
2024-11-26,20.50,20.66,19.97,20.25,3269500
2024-11-27,20.70,21.26,20.56,20.84,2007300
2024-11-29,20.98,21.70,20.94,21.07,1079800
2024-12-02,21.11,21.11,20.28,20.81,2891000
2024-12-03,23.07,24.01,22.50,23.11,12832500
2024-12-04,23.21,23.60,20.61,21.13,6454400
2024-12-05,20.88,21.06,20.00,20.01,3536400
2024-12-06,20.34,20.47,19.54,19.72,2118900
2024-12-09,20.37,21.13,20.15,20.52,3030000
2024-12-10,20.25,20.25,19.38,19.54,4162800
2024-12-11,19.69,19.80,19.01,19.45,1980700
2024-12-12,19.25,19.73,18.90,19.60,2127100
2024-12-13,19.28,19.40,18.85,19.37,2252600
2024-12-16,19.08,19.21,18.58,18.79,2407700
2024-12-17,18.58,18.80,18.18,18.37,2567300
2024-12-18,18.20,18.36,16.54,16.73,3143100
2024-12-19,16.95,17.20,15.97,16.18,4543700
2024-12-20,16.03,16.26,15.71,15.84,4509700
2024-12-23,15.82,16.38,15.68,16.29,2650500
2024-12-24,16.42,16.56,16.25,16.54,857900
2024-12-26,16.50,16.95,16.30,16.84,2046500
2024-12-27,16.71,16.99,16.33,16.46,1529400
2024-12-30,16.27,16.27,15.78,15.98,2327800
2024-12-31,16.01,16.18,15.56,15.60,2305400
2025-01-02,15.85,16.52,15.77,16.39,3004200
2025-01-03,16.55,18.37,16.51,18.20,4892100
2025-01-06,19.25,21.14,18.80,20.46,10553800
2025-01-07,20.72,21.13,20.30,20.58,2844200
2025-01-08,20.27,20.27,18.89,19.38,2665300
2025-01-10,19.50,20.06,19.20,19.75,2089600
2025-01-13,19.43,19.70,19.20,19.53,2174100
2025-01-14,19.84,20.10,19.23,19.39,1283400
2025-01-15,20.25,21.28,19.95,20.61,3114600
2025-01-16,20.23,21.39,19.93,21.17,2535200
2025-01-17,21.44,21.52,20.90,20.94,1978400
2025-01-21,21.20,21.35,19.72,20.87,2999900
2025-01-22,21.50,21.90,21.03,21.08,2351500
2025-01-23,21.01,21.55,20.75,21.41,1461500
2025-01-24,21.81,22.12,21.45,21.57,3716800
2025-01-27,20.84,21.71,20.79,21.52,2317000
2025-01-28,21.58,21.70,20.61,20.82,1541000
2025-01-29,20.87,21.14,20.53,20.68,1501700
2025-01-30,21.13,21.93,20.93,21.74,2102200
2025-01-31,21.76,22.28,21.60,21.96,2841900
2025-02-03,22.35,23.67,21.81,22.23,5228200
2025-02-04,22.63,24.78,22.63,24.47,8831300
2025-02-05,24.47,24.53,23.12,23.56,4570300
2025-02-06,24.20,24.80,23.67,24.11,4407600
2025-02-07,24.00,24.13,23.37,23.94,3882400
2025-02-10,24.12,26.00,23.91,25.52,6625300
2025-02-11,25.00,25.14,24.42,24.69,3215600
2025-02-12,24.33,24.70,23.88,24.15,2408500
2025-02-13,24.37,24.59,23.66,24.38,2374700
2025-02-14,24.68,24.69,23.51,23.72,1741900
2025-02-18,23.82,24.26,23.44,23.45,2241500
