Date,Open,High,Low,Close,Volume
2024-10-07,102.16,104.59,100.81,102.91,21749300
2024-10-08,102.18,102.94,101.26,102.54,18858300
2024-10-09,102.25,102.29,100.32,101.70,18442700
2024-10-10,101.37,106.58,100.85,105.69,27605600
2024-10-11,105.04,107.65,104.99,106.92,19133900
2024-10-14,107.81,108.71,106.80,108.34,15021900
2024-10-15,107.86,109.49,102.71,104.32,23419100
2024-10-16,106.02,109.63,105.61,109.24,20450900
2024-10-17,111.34,114.14,111.01,112.05,26584800
2024-10-18,111.75,112.90,109.86,111.15,16700400
2024-10-21,111.10,111.14,107.69,109.08,14829400
2024-10-22,108.24,108.52,106.37,107.82,13758100
2024-10-23,106.56,107.10,103.54,105.05,15174700
2024-10-24,106.78,107.53,105.55,106.85,13206300
2024-10-25,108.34,109.88,107.72,107.91,12265000
2024-10-28,106.78,108.18,106.32,106.39,12381000
2024-10-29,106.59,108.75,105.60,108.18,15164600
2024-10-30,106.26,106.80,103.64,104.08,14321800
2024-10-31,102.20,102.49,99.07,99.65,19830300
2024-11-01,100.00,100.61,99.37,99.73,13623400
2024-11-04,101.50,103.79,101.00,101.73,15765800
2024-11-05,102.00,105.62,101.79,105.49,12071900
2024-11-06,108.38,112.32,107.00,111.83,20304500
2024-11-07,112.56,113.86,111.37,113.41,13569800
2024-11-08,112.14,114.30,110.57,111.90,13045700
2024-11-11,110.95,111.51,106.77,108.65,14479700
2024-11-12,105.00,105.09,102.07,104.10,21859700
2024-11-13,102.80,103.34,99.82,99.92,18416200
2024-11-14,101.29,102.29,98.56,99.18,18459700
2024-11-15,97.55,98.20,95.64,96.34,18518300
2024-11-18,96.55,98.07,95.53,97.51,14236400
2024-11-19,97.00,98.18,96.51,97.73,14160300
2024-11-20,97.98,98.53,96.53,98.37,10490600
2024-11-21,100.10,103.29,98.06,102.76,18915200
2024-11-22,102.36,103.71,101.65,102.64,12063700
2024-11-25,103.85,106.40,103.81,104.48,22837900
2024-11-26,104.00,104.72,100.31,101.80,19275700
2024-11-27,100.94,101.04,96.64,98.20,17046400
2024-11-29,97.24,98.20,96.10,97.95,13729400
2024-12-02,97.60,100.09,97.53,98.55,16525600
2024-12-03,101.12,103.68,99.63,99.84,23479700
2024-12-04,100.77,103.41,99.80,103.20,16306200
2024-12-05,103.88,104.25,100.61,100.87,13448900
2024-12-06,100.88,102.19,100.03,101.17,12381000
