Date,Open,High,Low,Close,Volume
2024-10-21,14.29,20.36,14.09,20.00,13616700
2024-10-22,19.79,20.00,17.76,18.73,6443900
2024-10-23,18.00,18.43,17.10,17.16,9849800
2024-10-24,16.80,17.75,16.71,17.63,7851700
2024-10-25,17.27,19.58,17.27,19.57,6748200
2024-10-28,20.00,24.27,20.00,23.75,13233100
2024-10-29,22.90,24.50,22.50,23.65,7398100
2024-10-30,23.00,23.19,20.75,22.06,22991900
2024-10-31,22.60,22.60,20.00,21.38,4580400
2024-11-01,21.70,21.70,19.57,20.14,3981500
2024-11-04,19.62,21.72,19.21,20.75,4185000
2024-11-05,20.74,21.20,18.51,19.00,12434700
2024-11-06,19.93,19.93,17.50,19.30,4143700
2024-11-07,19.08,20.90,19.08,20.68,2570100
2024-11-08,20.98,21.00,19.50,19.92,2355700
2024-11-11,19.80,21.30,19.18,20.94,2907500
2024-11-12,20.50,20.93,19.50,19.60,2125500
2024-11-13,19.43,20.00,18.42,18.57,2088900
2024-11-14,19.00,19.00,17.51,18.09,2164500
2024-11-15,18.00,18.41,17.39,17.60,2010600
2024-11-18,17.73,18.74,17.66,18.52,1782300
2024-11-19,19.10,20.82,18.65,20.65,4774000
2024-11-20,20.53,20.75,19.46,20.58,3861700
2024-11-21,20.65,22.00,19.64,22.00,3639800
2024-11-22,21.56,23.82,21.56,23.49,4336900
2024-11-25,24.00,26.00,23.25,23.49,6115800
2024-11-26,23.16,23.60,22.00,22.12,2444200
2024-11-27,22.01,22.80,21.00,21.43,2595100
2024-11-29,22.00,22.92,21.25,21.99,2856200
2024-12-02,26.12,27.90,24.76,25.75,17142200
2024-12-03,25.80,30.00,25.43,29.33,22322100
2024-12-04,30.50,33.15,30.08,32.31,24007700
2024-12-05,33.94,34.60,30.54,31.16,10374700
2024-12-06,31.98,36.84,31.75,36.77,14708300
2024-12-09,38.57,38.69,31.53,31.96,16659000
2024-12-10,32.71,35.25,31.53,33.70,9979100
2024-12-11,34.40,34.95,31.95,32.78,6029900
2024-12-12,32.36,33.00,31.12,31.33,5684700
2024-12-13,31.63,31.70,29.95,30.75,7228800
2024-12-16,30.78,34.43,30.49,33.40,7562000
2024-12-17,33.00,33.00,29.14,29.34,7593500
2024-12-18,28.94,30.00,26.99,27.09,8765100
2024-12-19,27.74,28.16,25.98,27.05,6797700
2024-12-20,26.49,28.76,26.00,26.71,5560000
2024-12-23,27.04,28.74,25.77,28.64,5599000
2024-12-24,28.77,28.96,27.37,28.25,2971700
2024-12-26,28.30,29.39,27.32,28.06,3020800
2024-12-27,27.94,28.00,25.53,27.31,5407500
2024-12-30,26.95,27.20,25.90,26.92,3108400
2024-12-31,27.39,28.68,26.79,27.70,3810400
2025-01-02,28.13,30.58,28.13,30.51,6758900
2025-01-03,30.52,31.54,29.10,31.18,4399800
2025-01-06,31.96,33.18,30.70,31.22,5761500
2025-01-07,32.37,34.10,30.58,31.54,8432300
2025-01-08,31.35,31.74,29.58,30.74,4187100
2025-01-10,29.90,33.98,29.01,33.18,7197800
2025-01-13,32.26,36.00,31.10,35.72,11185500
2025-01-14,35.27,37.33,34.73,36.89,10025500
2025-01-15,37.53,39.38,35.58,37.02,10053300
2025-01-16,37.10,38.47,35.80,37.59,5614900
2025-01-17,38.35,38.39,35.61,36.04,4959400
2025-01-21,36.14,37.80,34.60,37.60,6532200
2025-01-22,38.40,40.96,37.90,39.52,10290100
2025-01-23,38.37,40.04,37.62,38.64,7608900
2025-01-24,39.37,43.66,39.25,41.69,14055900
2025-01-27,33.50,33.59,24.41,26.08,44540500
2025-01-28,28.20,30.24,26.70,30.09,22143800
2025-01-29,29.55,31.34,28.96,29.73,12971500
2025-01-30,31.20,33.40,30.66,31.80,11796600
2025-01-31,32.41,34.59,31.92,32.66,11608100
2025-02-03,29.97,34.13,29.60,33.31,11380000
