Date,Open,High,Low,Close,Volume
2024-10-07,14.52,14.52,13.44,14.04,35742
2024-10-08,14.28,14.28,13.68,13.80,15625
2024-10-09,13.80,14.04,13.56,13.80,21458
2024-10-10,13.56,13.92,13.32,13.92,44167
2024-10-11,13.68,14.76,13.68,14.76,42933
2024-10-14,14.28,14.64,13.92,13.92,48383
2024-10-15,14.28,14.28,13.80,13.92,19158
2024-10-16,14.28,14.28,13.56,13.92,14250
2024-10-17,14.04,14.16,13.56,13.92,13208
2024-10-18,13.80,14.52,13.74,14.28,20067
2024-10-21,14.04,14.40,13.68,14.04,18825
2024-10-22,14.28,14.28,13.80,14.04,15442
2024-10-23,14.16,14.16,13.50,13.68,30758
2024-10-24,13.56,13.80,10.68,13.20,113208
2024-10-25,13.44,13.44,12.72,12.84,19200
2024-10-28,12.60,13.08,11.42,12.24,72775
2024-10-29,12.36,12.38,11.64,11.86,34158
2024-10-30,11.88,12.24,11.42,11.76,55750
2024-10-31,12.24,12.24,9.02,10.92,119108
2024-11-01,11.51,12.00,10.56,10.68,32108
2024-11-04,10.37,10.58,9.60,10.15,35608
2024-11-05,10.76,11.04,10.49,10.68,26325
2024-11-06,11.40,11.45,10.69,10.87,38008
2024-11-07,11.27,11.56,11.03,11.40,42925
2024-11-08,11.40,11.75,11.06,11.21,25142
2024-11-11,11.21,11.76,11.04,11.22,64117
2024-11-12,11.10,11.52,10.55,10.55,43542
2024-11-13,11.04,11.22,9.20,9.23,100842
2024-11-14,9.48,10.56,9.48,9.60,45958
2024-11-15,10.08,10.19,9.36,9.60,31575
2024-11-18,10.08,10.08,9.34,9.48,62833
2024-11-19,9.24,9.58,9.24,9.36,41275
2024-11-20,9.19,9.60,9.19,9.47,64533
2024-11-21,9.48,10.80,9.36,10.42,44617
2024-11-22,10.67,11.21,10.51,11.16,44767
2024-11-25,11.27,12.24,11.04,11.12,63767
2024-11-26,11.04,11.22,10.01,10.15,27325
2024-11-27,10.27,10.97,10.20,10.74,21692
2024-11-29,11.16,11.16,10.44,10.50,22433
2024-12-02,11.98,13.20,10.80,12.60,196375
2024-12-03,11.88,12.48,11.22,11.29,86375
2024-12-04,11.46,11.90,10.86,11.52,76550
2024-12-05,11.28,11.29,9.72,10.32,83033
2024-12-06,10.50,11.32,10.45,10.68,63250
2024-12-09,10.72,11.39,9.86,10.02,166283
2024-12-10,10.20,10.26,9.66,9.94,64500
2024-12-11,9.84,10.20,9.60,9.72,52067
2024-12-12,9.60,11.52,9.60,10.80,154100
2024-12-13,10.99,13.20,10.58,12.96,230675
2024-12-16,13.44,14.04,12.00,13.80,257858
2024-12-17,13.80,14.04,12.48,12.60,143133
2024-12-18,13.56,18.48,13.26,14.28,729633
2024-12-19,16.26,16.44,12.00,12.60,371975
2024-12-20,13.08,14.04,12.60,13.32,255650
2024-12-23,14.64,14.76,13.44,14.40,200333
2024-12-24,14.16,14.52,13.32,14.04,81450
2024-12-26,14.04,14.52,13.56,14.40,174517
2024-12-27,15.00,15.36,13.20,13.68,313183
2024-12-30,14.40,14.52,13.80,13.80,353475
2024-12-31,13.92,14.04,12.60,12.84,260567
2025-01-02,12.84,13.44,11.76,12.48,208600
2025-01-03,12.36,15.84,12.12,15.00,765533
2025-01-06,15.36,17.52,14.76,16.44,644817
2025-01-07,17.40,18.24,15.60,15.96,519517
2025-01-08,15.36,15.60,13.80,14.04,400075
2025-01-10,13.92,15.72,13.80,15.72,253708
2025-01-13,14.76,15.00,13.80,14.40,175858
2025-01-14,15.00,15.12,13.92,15.12,159558
2025-01-15,15.00,16.44,14.34,16.20,395658
2025-01-16,16.20,16.20,14.52,14.88,193292
2025-01-17,15.48,15.90,15.00,15.24,209108
2025-01-21,16.32,18.48,14.94,16.44,837933
2025-01-22,16.56,19.20,16.50,18.96,670325
2025-01-23,19.08,19.08,16.80,17.40,339650
2025-01-24,17.40,18.00,16.08,16.44,244767
2025-01-27,15.84,18.01,15.00,16.80,620108
2025-01-28,16.56,18.06,16.08,16.92,574767
2025-01-29,16.56,17.16,15.12,15.72,247217
2025-01-30,16.08,16.32,14.64,15.12,264125
2025-01-31,15.24,15.78,14.64,15.00,144917
2025-02-03,14.40,14.76,13.56,14.16,214567
2025-02-04,14.52,15.60,14.16,15.36,156042
2025-02-05,15.36,16.20,14.76,16.08,196908
2025-02-06,16.20,16.92,15.48,16.08,152508
2025-02-07,15.36,16.20,15.06,15.36,126817
2025-02-10,15.60,20.22,15.48,19.92,867450
2025-02-11,20.40,23.76,19.08,22.44,1423217
2025-02-12,21.12,24.12,20.52,22.32,693408
2025-02-13,24.00,24.36,21.60,23.16,562142
2025-02-14,23.88,23.88,18.96,20.04,561700
2025-02-18,21.24,22.44,20.64,21.12,396400
2025-02-19,21.00,21.00,18.96,19.08,337417
2025-02-20,18.60,18.72,17.16,18.00,281167
2025-02-21,17.28,18.96,16.32,16.80,265642
2025-02-24,17.88,19.20,15.84,16.08,714192
2025-02-25,15.60,15.94,14.40,14.88,331000
2025-02-26,15.60,16.20,15.00,15.12,160033
2025-02-27,15.48,15.60,14.40,14.52,199692
2025-02-28,14.40,15.00,13.86,14.76,147875
2025-03-03,14.88,14.99,13.44,13.56,232775
2025-03-04,12.96,14.40,12.96,13.68,198908
2025-03-05,13.80,13.80,13.20,13.68,81533
2025-03-06,13.44,13.56,12.48,12.96,176883
2025-03-07,12.60,13.37,12.12,13.32,202425
2025-03-10,12.96,13.08,11.82,12.36,185267
2025-03-11,12.00,12.60,11.76,12.00,126700
2025-03-12,12.36,12.84,12.00,12.48,93267
2025-03-13,12.12,12.60,11.40,11.58,170292
2025-03-14,11.38,11.76,9.64,11.08,388650
2025-03-17,11.40,13.32,11.20,12.60,156233
2025-03-18,12.48,12.96,11.76,11.92,189292
2025-03-19,11.99,12.36,11.80,12.12,77308
2025-03-20,12.00,12.36,11.64,11.84,85425
2025-03-21,11.76,12.00,11.17,11.76,186117
2025-03-24,12.12,12.96,12.12,12.36,160692
2025-03-25,12.36,12.60,11.58,11.66,151742
2025-03-26,11.64,11.74,10.80,10.97,111317
2025-03-27,10.88,11.04,10.54,10.67,80833
2025-03-28,10.50,10.88,9.96,10.70,115083
2025-03-31,10.20,10.32,9.65,9.70,158392
2025-04-01,9.60,10.02,9.36,9.36,109033
2025-04-02,9.36,9.98,9.24,9.52,85758
2025-04-03,9.00,9.22,8.69,8.69,143742
2025-04-04,8.16,8.88,7.92,8.51,208342
2025-04-07,7.56,9.08,7.34,8.70,112892
2025-04-08,9.24,9.24,8.70,8.70,78375
2025-04-09,8.36,9.26,7.84,8.86,146467
2025-04-10,8.86,9.00,7.94,7.94,73483
2025-04-11,8.22,8.39,7.80,8.04,71842
2025-04-14,8.16,8.39,7.22,7.46,164142
2025-04-15,7.72,7.80,7.44,7.44,75425
2025-04-16,7.80,7.86,7.22,7.58,166375
2025-04-17,7.39,7.76,7.30,7.44,66475
2025-04-21,7.46,7.52,6.76,6.97,138308
