Date,Open,High,Low,Close,Volume
2024-10-07,0.76,0.83,0.74,0.82,711200
2024-10-08,0.85,0.98,0.80,0.92,975200
2024-10-09,0.93,0.97,0.87,0.90,488300
2024-10-10,0.89,0.93,0.85,0.93,238400
2024-10-11,0.99,1.02,0.89,0.90,251800
2024-10-14,0.92,1.02,0.91,0.98,1010600
2024-10-15,1.00,1.00,0.88,0.90,427600
2024-10-16,0.90,0.95,0.88,0.92,445300
2024-10-17,0.92,0.94,0.90,0.94,173600
2024-10-18,0.94,0.98,0.91,0.92,157200
2024-10-21,0.93,0.96,0.87,0.92,134000
2024-10-22,0.92,0.94,0.86,0.90,123500
2024-10-23,0.91,0.91,0.81,0.86,333600
2024-10-24,0.85,0.93,0.82,0.91,228600
2024-10-25,0.90,0.91,0.83,0.86,214000
2024-10-28,0.89,0.91,0.83,0.87,213900
2024-10-29,0.87,0.87,0.80,0.82,195600
2024-10-30,0.81,0.82,0.77,0.78,271200
2024-10-31,0.77,0.77,0.72,0.77,292000
2024-11-01,0.78,0.79,0.74,0.74,156900
2024-11-04,0.72,0.75,0.72,0.74,82100
2024-11-05,0.76,0.78,0.73,0.74,230800
2024-11-06,0.74,0.79,0.74,0.78,223800
2024-11-07,0.80,0.83,0.74,0.75,472100
2024-11-08,0.75,0.80,0.72,0.75,176300
2024-11-11,0.76,0.82,0.73,0.80,258400
2024-11-12,0.76,0.86,0.76,0.79,427700
2024-11-13,0.75,0.80,0.74,0.76,297100
2024-11-14,0.78,0.80,0.73,0.74,204800
2024-11-15,0.73,0.80,0.68,0.71,497400
2024-11-18,0.74,0.74,0.66,0.68,346200
2024-11-19,0.68,0.72,0.65,0.67,376300
2024-11-20,0.68,0.72,0.67,0.71,231700
2024-11-21,0.72,0.86,0.72,0.81,1043500
2024-11-22,0.87,1.02,0.85,0.89,1709900
2024-11-25,0.94,0.95,0.80,0.86,1997700
2024-11-26,0.89,0.92,0.82,0.83,782300
2024-11-27,0.84,0.89,0.79,0.87,652700
2024-11-29,1.12,1.20,0.94,0.98,16927200
2024-12-02,1.21,1.25,0.77,0.82,19789200
2024-12-03,0.85,0.86,0.70,0.80,4262100
2024-12-04,0.78,0.81,0.75,0.80,1565000
2024-12-05,0.80,0.80,0.75,0.76,2165500
2024-12-06,0.75,0.82,0.68,0.80,2617300
2024-12-09,0.80,0.82,0.75,0.81,984200
2024-12-10,0.81,1.07,0.79,0.87,3730600
2024-12-11,0.90,1.08,0.87,1.05,8070400
2024-12-12,1.04,1.07,0.96,1.02,2802400
2024-12-13,1.03,1.43,0.91,1.40,9390300
2024-12-16,1.57,1.75,1.36,1.66,14489300
2024-12-17,1.80,1.88,1.46,1.67,13607400
2024-12-18,1.71,1.76,1.06,1.29,8246500
2024-12-19,1.56,1.56,1.25,1.36,5618700
2024-12-20,1.27,1.53,1.20,1.47,5409100
2024-12-23,1.60,1.95,1.52,1.95,9984200
2024-12-24,2.06,2.20,1.80,2.02,8457300
2024-12-26,2.17,2.67,2.13,2.51,11832200
2024-12-27,2.89,3.10,2.34,2.59,15700200
2024-12-30,2.74,3.14,2.55,2.79,21302300
2024-12-31,2.71,2.73,2.28,2.56,9096700
2025-01-02,2.50,2.79,2.45,2.63,10396100
2025-01-03,3.23,3.40,2.76,2.80,37322500
2025-01-06,3.05,3.13,2.63,2.69,15491300
2025-01-07,2.69,2.76,2.40,2.65,8343400
2025-01-08,2.72,2.73,2.09,2.54,20144700
2025-01-10,2.39,2.46,2.20,2.24,6276300
2025-01-13,2.05,2.19,1.82,1.88,8172000
2025-01-14,1.90,2.13,1.90,1.99,4833800
2025-01-15,2.06,2.26,2.00,2.21,5071700
2025-01-16,2.27,2.27,2.01,2.20,3917800
2025-01-17,2.20,2.20,2.02,2.07,3928200
2025-01-21,2.10,2.14,1.94,2.01,4724600
2025-01-22,2.07,2.46,1.99,2.37,7804200
2025-01-23,2.17,2.30,2.10,2.11,4018200
2025-01-24,2.06,2.21,1.98,2.04,4373100
2025-01-27,1.89,2.00,1.83,1.94,3832400
2025-01-28,1.93,1.99,1.81,1.81,2620000
2025-01-29,1.74,1.81,1.64,1.71,3883500
2025-01-30,1.74,1.77,1.68,1.69,2346000
2025-01-31,1.69,1.84,1.66,1.75,3078000
2025-02-03,1.61,1.68,1.50,1.60,2885700
2025-02-04,1.62,1.70,1.62,1.69,1712900
2025-02-05,1.72,1.72,1.61,1.64,2152600
2025-02-06,1.68,1.85,1.68,1.76,2754300
2025-02-07,1.78,1.92,1.76,1.91,3689900
2025-02-10,2.00,2.12,1.82,2.10,5051700
2025-02-11,2.05,2.23,2.00,2.10,5501000
2025-02-12,2.03,2.14,1.93,1.94,4053600
2025-02-13,1.94,1.95,1.84,1.92,1972800
2025-02-14,1.90,1.97,1.80,1.83,1961800
2025-02-18,1.84,1.94,1.61,1.65,3484500
2025-02-19,1.64,1.68,1.40,1.43,5038100
2025-02-20,1.39,1.46,1.33,1.39,2375800
2025-02-21,1.40,1.45,1.24,1.25,2586600
2025-02-24,1.25,1.26,1.10,1.10,3109900
2025-02-25,1.17,1.21,1.00,1.04,4790100
2025-02-26,1.06,1.14,1.03,1.08,2300400
2025-02-27,1.08,1.13,0.97,0.97,1932800
2025-02-28,0.95,1.02,0.92,0.98,1851900
2025-03-03,0.99,1.00,0.84,0.85,2791800
2025-03-04,0.80,0.94,0.79,0.87,2542000
2025-03-05,0.87,0.90,0.83,0.89,1323900
2025-03-06,0.87,0.90,0.80,0.81,1486900
2025-03-07,0.83,0.83,0.75,0.81,2417500
2025-03-10,0.80,0.81,0.69,0.73,3059200
2025-03-11,1.18,1.18,0.68,0.72,104014700
2025-03-12,0.69,0.71,0.57,0.70,22566300
2025-03-13,0.67,0.72,0.65,0.68,8211700
2025-03-14,0.66,0.74,0.65,0.74,6426900
2025-03-17,0.72,0.79,0.72,0.77,5713300
2025-03-18,0.78,0.80,0.72,0.75,2430600
2025-03-19,0.73,0.77,0.72,0.76,2230500
2025-03-20,0.75,0.76,0.68,0.69,2517600
2025-03-21,0.68,0.72,0.68,0.70,1467300
2025-03-24,0.71,0.82,0.69,0.81,9963900
2025-03-25,0.86,0.90,0.80,0.89,8523500
2025-03-26,0.90,0.97,0.81,0.85,7788300
2025-03-27,0.84,1.01,0.83,1.00,10619500
2025-03-28,1.00,1.14,0.89,1.12,16871500
2025-03-31,1.05,1.25,0.89,1.07,28188300
2025-04-01,1.15,1.15,1.01,1.10,14836300
2025-04-02,1.04,1.13,0.99,1.11,7917600
2025-04-03,1.02,1.07,0.86,0.90,12366900
2025-04-04,0.88,0.97,0.83,0.92,8010000
2025-04-07,0.86,0.99,0.82,0.86,5534800
2025-04-08,0.88,0.90,0.72,0.75,7639800
2025-04-09,0.73,0.84,0.66,0.83,13336700
2025-04-10,0.81,0.82,0.71,0.77,4690800
2025-04-11,0.79,0.83,0.75,0.81,4343800
2025-04-14,0.92,0.96,0.86,0.91,13336700
2025-04-15,0.93,0.94,0.85,0.87,7549200
2025-04-16,0.84,0.88,0.81,0.86,4399600
2025-04-17,0.88,0.92,0.85,0.89,4492500
2025-04-21,0.85,0.87,0.77,0.80,4411800
2025-04-22,0.82,0.83,0.77,0.82,5087800
2025-04-23,0.87,0.90,0.83,0.84,4594300
2025-04-24,0.86,0.88,0.78,0.80,6499100
2025-04-25,0.79,0.82,0.69,0.71,10753600
2025-04-28,0.75,0.78,0.73,0.75,5364800
2025-04-29,0.76,0.83,0.73,0.81,5670400
2025-04-30,0.76,0.79,0.74,0.78,3395600
2025-05-01,0.78,0.83,0.77,0.79,4499400
2025-05-02,0.81,0.85,0.79,0.82,5630300
2025-05-05,0.79,0.80,0.76,0.76,3695200
2025-05-06,0.78,0.78,0.74,0.76,3145000
