Date,Open,High,Low,Close,Volume
2024-10-07,19.92,20.24,18.17,18.48,3397900
2024-10-08,18.57,19.00,17.98,18.28,2046200
2024-10-09,17.87,18.56,17.71,18.18,2878700
2024-10-10,18.02,18.17,17.28,17.34,3611400
2024-10-11,17.32,18.12,17.21,18.00,2580200
2024-10-14,18.01,18.20,17.45,17.58,2177800
2024-10-15,17.31,17.84,16.97,17.37,2609900
2024-10-16,17.55,17.91,17.12,17.80,2085800
2024-10-17,17.79,17.91,16.75,16.80,2683200
2024-10-18,16.99,17.11,16.16,16.35,4291300
2024-10-21,16.41,16.83,15.74,15.97,3600500
2024-10-22,15.79,16.17,15.79,16.03,1880400
2024-10-23,16.05,16.37,15.68,15.94,2185400
2024-10-24,16.02,17.36,16.02,17.20,3894900
2024-10-25,17.51,17.84,16.03,16.19,3674400
2024-10-28,16.31,16.59,15.33,15.35,3259100
2024-10-29,15.20,15.95,15.18,15.93,2472000
2024-10-30,15.77,17.20,15.65,17.04,3543300
2024-10-31,16.93,17.42,16.45,16.80,3293800
2024-11-01,16.99,17.66,16.77,17.65,3847600
2024-11-04,17.69,18.92,17.67,18.09,5825000
2024-11-05,17.93,18.39,16.19,18.34,5202300
2024-11-06,15.79,17.56,15.24,15.55,12676400
2024-11-07,14.26,14.75,13.45,13.64,11773500
2024-11-08,13.61,14.19,13.40,13.54,4328400
2024-11-11,13.73,13.92,13.15,13.80,4894600
2024-11-12,13.56,14.29,13.45,13.56,4422800
2024-11-13,13.57,14.22,13.43,13.48,4696000
2024-11-14,14.96,16.80,14.81,15.44,9946000
2024-11-15,15.53,15.70,14.23,14.87,6190100
2024-11-18,15.36,16.22,14.97,15.98,5473600
2024-11-19,16.41,18.25,16.37,18.01,6931500
2024-11-20,18.21,18.41,16.76,17.00,4768500
2024-11-21,17.09,17.21,15.99,16.31,4721900
2024-11-22,16.29,16.87,15.92,15.98,5131300
2024-11-25,16.85,17.14,15.91,16.85,4037400
2024-11-26,16.82,17.09,16.03,16.28,2810700
2024-11-27,16.45,17.16,16.44,16.83,1923900
2024-11-29,16.92,17.38,16.78,17.33,1167100
2024-12-02,17.54,18.82,17.33,18.43,6371900
2024-12-03,18.31,18.85,17.58,17.99,6150800
2024-12-04,18.04,18.38,16.78,16.96,4566500
2024-12-05,17.13,17.53,16.30,16.40,3041000
2024-12-06,16.54,16.78,15.19,15.61,5744800
2024-12-09,15.85,17.00,15.83,16.55,3650500
2024-12-10,15.69,16.16,14.94,15.03,4940900
2024-12-11,15.15,15.35,14.05,14.36,4975000
2024-12-12,14.50,15.00,13.63,13.64,4233600
2024-12-13,13.64,14.13,13.52,13.66,4261100
2024-12-16,13.51,14.10,13.30,13.90,5462100
2024-12-17,13.80,14.25,13.34,13.50,3171200
2024-12-18,13.80,14.19,13.23,13.38,4821900
2024-12-19,13.33,13.85,13.07,13.50,3693300
2024-12-20,13.25,14.64,13.10,14.09,8128400
2024-12-23,14.09,14.09,13.16,13.60,2492400
2024-12-24,13.54,13.65,13.05,13.40,1407400
2024-12-26,13.48,14.46,13.16,14.19,2952400
2024-12-27,14.30,14.40,13.56,13.80,2032300
2024-12-30,13.62,13.74,13.25,13.58,2533600
2024-12-31,13.73,14.00,13.17,13.44,2632100
2025-01-02,13.70,13.90,13.43,13.55,2327200
2025-01-03,13.68,14.41,13.60,14.35,2248800
2025-01-06,15.23,15.23,14.66,14.72,3315500
2025-01-07,14.75,14.83,13.89,14.39,3069100
2025-01-08,14.33,15.77,14.23,15.29,4419000
2025-01-10,14.99,15.25,13.79,14.18,5485300
2025-01-13,14.19,14.40,13.79,14.17,3170200
2025-01-14,14.36,15.02,14.15,14.93,2723900
2025-01-15,15.36,15.53,14.51,15.38,2697100
2025-01-16,15.34,15.48,14.74,14.95,2031400
2025-01-17,15.21,16.10,15.09,15.90,3143500
2025-01-21,16.09,16.15,15.30,15.65,3265000
2025-01-22,15.75,16.66,15.66,16.26,3085300
2025-01-23,16.18,16.52,15.82,16.47,2585400
