Date,Open,High,Low,Close,Volume
2024-10-07,33.25,33.34,32.56,32.58,6581400
2024-10-08,32.66,33.00,32.30,32.92,4845000
2024-10-09,33.38,34.15,33.03,33.84,7785800
2024-10-10,33.58,33.84,33.33,33.74,6629200
2024-10-11,33.65,34.31,33.61,34.15,6900300
2024-10-14,34.25,34.45,33.80,33.98,3870100
2024-10-15,33.94,33.95,33.29,33.67,5743300
2024-10-16,33.57,33.62,33.02,33.37,5585000
2024-10-17,33.21,33.76,32.83,32.94,7943700
2024-10-18,33.12,33.38,32.92,33.18,4633900
2024-10-21,33.04,33.24,32.63,33.03,3088800
2024-10-22,31.53,32.04,31.25,31.94,11667600
2024-10-23,32.02,32.24,31.50,31.54,6544900
2024-10-24,31.62,31.99,31.31,31.83,7289300
2024-10-25,31.90,32.67,31.77,32.35,5353600
2024-10-28,32.50,32.54,31.94,32.26,5248900
2024-10-29,32.52,32.60,31.86,32.43,6955100
2024-10-30,32.96,33.23,32.41,32.59,8244400
2024-10-31,32.40,32.91,31.76,31.79,5773900
2024-11-01,31.93,32.37,31.58,32.02,5602000
2024-11-04,31.93,32.49,31.63,32.28,5831100
2024-11-05,32.36,32.97,32.27,32.72,4942600
2024-11-06,33.30,33.84,32.85,33.76,10213300
2024-11-07,34.16,34.65,33.91,33.93,23202800
2024-11-08,29.14,30.00,27.93,29.18,55970300
2024-11-11,29.73,30.93,29.73,30.39,23236700
2024-11-12,30.30,31.21,30.20,30.67,11427300
2024-11-13,30.68,30.91,29.64,29.98,12621000
2024-11-14,29.95,30.20,29.24,29.37,12736500
2024-11-15,29.10,29.11,28.04,28.24,16830700
2024-11-18,28.50,29.00,28.24,28.99,9654900
2024-11-19,28.69,29.80,28.49,29.69,7884900
2024-11-20,29.73,29.88,28.93,29.23,6707100
2024-11-21,29.30,29.34,28.42,29.31,12172900
2024-11-22,29.14,30.03,28.85,30.02,14762200
2024-11-25,30.10,30.54,30.05,30.51,12246400
2024-11-26,30.66,31.27,30.37,31.00,9664300
2024-11-27,30.88,31.17,30.17,30.32,6281100
2024-11-29,30.36,30.75,30.28,30.32,3510800
2024-12-02,30.26,30.81,29.72,30.43,9062800
2024-12-03,30.40,31.73,30.10,31.34,12121800
2024-12-04,31.57,32.63,31.50,32.30,12589300
2024-12-05,32.35,32.78,31.54,31.58,7504100
2024-12-06,31.79,32.29,31.48,32.28,9242600
2024-12-09,32.13,33.35,32.04,33.06,11963400
2024-12-10,32.38,32.58,31.30,31.83,13798400
2024-12-11,31.96,32.60,31.88,31.93,9137400
2024-12-12,31.95,31.95,30.65,30.84,10683300
2024-12-13,30.86,30.89,30.44,30.65,9688100
2024-12-16,30.56,31.16,30.10,30.30,13441500
2024-12-17,30.02,31.05,29.71,31.00,13015500
2024-12-18,30.98,31.31,29.68,29.87,10429100
2024-12-19,30.15,30.33,29.45,29.61,10273400
2024-12-20,29.38,29.98,28.92,29.49,16961200
2024-12-23,29.59,29.89,29.36,29.47,7090300
2024-12-24,29.58,30.13,29.50,29.90,4253500
2024-12-26,29.83,30.18,29.76,29.92,3810900
2024-12-27,29.77,29.82,29.20,29.56,4978700
2024-12-30,29.17,29.36,28.94,29.15,6831400
2024-12-31,29.11,29.52,28.93,29.00,7459900
2025-01-02,29.33,30.61,29.30,30.58,9960100
2025-01-03,30.93,31.74,30.74,30.94,8238600
2025-01-06,31.73,32.88,31.69,32.41,10430500
2025-01-07,32.37,32.49,31.77,31.81,6603800
2025-01-08,31.50,31.98,30.71,30.87,12380900
2025-01-10,30.74,31.80,30.65,30.66,11901100
2025-01-13,29.69,30.44,29.00,30.41,11022400
2025-01-14,30.48,30.50,29.53,29.79,9955600
2025-01-15,30.43,31.51,30.34,30.63,8998800
2025-01-16,30.50,31.19,30.36,30.39,6913500
2025-01-17,30.78,30.98,30.36,30.53,7840900
2025-01-21,30.90,32.13,30.81,32.07,14342500
2025-01-22,32.20,32.39,31.52,31.64,11376900
2025-01-23,31.49,32.87,31.23,32.83,12714000
2025-01-24,32.95,33.08,32.35,32.90,12531300
2025-01-27,32.28,33.78,32.28,33.48,10495600
2025-01-28,32.80,33.52,32.37,32.90,12634700
2025-01-29,33.05,33.88,32.87,33.22,10972200
2025-01-30,33.89,33.91,32.91,32.93,8548900
2025-01-31,33.17,33.71,32.90,32.96,8996200
2025-02-03,32.35,33.18,32.31,33.08,8966000
2025-02-04,33.12,33.72,33.08,33.39,10836300
2025-02-05,33.33,33.71,32.93,33.30,9429900
2025-02-06,33.08,33.90,33.08,33.59,21575700
2025-02-07,40.89,40.90,38.85,40.00,50875900
2025-02-10,40.12,40.38,39.37,39.64,27429000
2025-02-11,39.59,39.96,38.66,39.57,14902900
2025-02-12,39.26,39.69,38.89,39.10,9946500
2025-02-13,39.10,39.13,38.59,39.09,9016700
2025-02-14,39.10,39.24,38.57,38.87,7741400
2025-02-18,39.00,39.60,38.72,39.32,10980300
2025-02-19,39.19,39.21,38.57,38.69,6440400
2025-02-20,38.80,39.70,38.24,39.56,11991400
2025-02-21,39.76,39.85,37.46,37.73,9083100
2025-02-24,37.70,37.74,36.86,36.95,10496800
2025-02-25,36.69,37.03,36.01,36.61,11331600
2025-02-26,37.18,37.40,36.58,36.88,10435200
2025-02-27,37.02,37.34,36.17,36.17,6473200
