Date,Open,High,Low,Close,Volume
2024-10-07,79.29,80.49,78.61,80.26,9206600
2024-10-08,79.99,81.40,79.57,81.16,8618500
2024-10-09,80.88,82.00,80.85,81.65,6926000
2024-10-10,79.94,80.07,78.53,78.98,11326100
2024-10-11,79.54,80.73,79.16,80.51,7744800
2024-10-14,80.34,80.98,79.82,80.67,5865400
2024-10-15,80.15,81.06,78.65,79.55,7291600
2024-10-16,79.81,80.85,79.45,80.82,5434800
2024-10-17,80.75,80.90,79.22,79.82,8654000
2024-10-18,79.50,80.97,78.94,80.94,8844300
2024-10-21,80.32,81.36,80.04,80.56,7450300
2024-10-22,80.05,81.42,80.04,80.91,7571300
2024-10-23,81.24,82.24,80.09,80.83,7632100
2024-10-24,81.24,82.48,80.92,81.39,7398800
2024-10-25,82.01,82.80,81.40,81.70,7201000
2024-10-28,82.03,83.70,81.88,83.59,15243500
2024-10-29,78.04,81.25,76.81,80.28,35206400
2024-10-30,79.03,79.71,77.99,78.22,14910500
2024-10-31,78.49,79.82,78.30,79.30,13919300
2024-11-01,77.86,78.31,76.46,77.25,16473600
2024-11-04,77.26,78.44,77.00,78.13,10257000
2024-11-05,77.74,79.41,77.74,79.25,6573900
2024-11-06,81.35,81.69,80.00,81.41,11546500
2024-11-07,81.69,82.74,81.13,81.35,7994300
2024-11-08,81.46,83.07,81.35,83.01,8144200
2024-11-11,84.07,87.47,83.38,86.94,15459400
2024-11-12,86.88,87.92,85.68,86.40,10036900
2024-11-13,86.80,87.90,86.08,87.31,9256600
2024-11-14,87.06,87.47,85.47,85.79,8468300
2024-11-15,85.35,86.20,85.10,85.83,8083200
2024-11-18,86.06,86.84,84.57,84.67,10148100
2024-11-19,82.99,84.24,82.50,84.09,12442700
2024-11-20,84.51,85.60,84.24,84.74,6076300
2024-11-21,85.16,85.49,84.21,84.82,7250100
2024-11-22,84.68,86.80,84.57,86.77,6786000
2024-11-25,87.99,88.74,86.97,87.77,12998300
2024-11-26,87.40,88.18,86.90,86.94,5610400
2024-11-27,87.55,87.66,86.27,86.57,5477900
2024-11-29,86.39,87.08,85.82,86.77,4469700
2024-12-02,86.55,87.47,85.84,86.53,7273500
2024-12-03,86.40,86.40,84.61,85.14,8189800
2024-12-04,85.68,90.14,85.24,89.33,15536000
2024-12-05,89.59,90.27,88.27,89.04,9025600
2024-12-06,89.49,90.04,88.54,89.88,6955500
2024-12-09,92.25,93.66,89.73,90.00,10714200
2024-12-10,89.94,90.00,88.38,88.76,6697500
2024-12-11,88.62,91.03,87.84,90.75,6657200
2024-12-12,90.43,91.17,89.33,89.40,4711100
2024-12-13,90.42,91.18,89.82,91.02,8358100
2024-12-16,90.79,91.46,89.52,91.30,7402500
2024-12-17,90.90,92.00,90.23,90.86,8395600
2024-12-18,90.69,91.09,85.18,85.45,12583700
2024-12-19,86.28,88.42,86.16,86.78,9522400
2024-12-20,84.91,88.23,84.50,87.13,22052700
2024-12-23,86.47,87.24,85.97,86.90,5633100
2024-12-24,86.90,88.33,86.59,88.25,3276300
2024-12-26,87.60,88.73,87.26,88.14,4800600
2024-12-27,87.36,87.65,86.20,86.86,5125000
2024-12-30,85.69,86.07,84.66,85.43,5855000
2024-12-31,85.74,85.90,85.05,85.35,4533200
2025-01-02,85.83,86.94,84.82,86.18,6224500
2025-01-03,86.73,87.70,86.31,87.60,6132500
2025-01-06,88.02,90.09,87.72,89.53,7869200
2025-01-07,89.53,89.97,87.60,87.97,6080800
2025-01-08,88.06,88.23,86.79,87.94,7400000
2025-01-10,86.79,87.09,82.24,83.36,11341200
2025-01-13,82.19,84.12,81.79,83.99,7402400
2025-01-14,85.29,87.40,84.75,87.18,8958400
2025-01-15,88.72,90.19,88.47,89.64,10024100
2025-01-16,89.96,90.37,88.85,88.92,5816400
2025-01-17,90.76,93.25,90.00,91.81,16499700
2025-01-21,92.21,92.21,89.39,89.77,12629300
2025-01-22,90.00,90.37,89.14,89.85,7345700
2025-01-23,89.76,89.78,88.24,89.73,7540600
2025-01-24,89.59,90.02,88.84,89.11,6004700
2025-01-27,87.54,90.29,87.39,90.24,6923800
2025-01-28,89.76,89.83,86.88,88.19,8666000
2025-01-29,88.17,89.42,88.17,88.76,5234500
2025-01-30,89.51,90.93,88.84,89.57,7708500
2025-01-31,89.57,90.40,88.54,88.58,8331400
2025-02-03,86.50,89.71,86.00,89.51,11215000
2025-02-04,82.26,82.69,77.38,77.72,58801900
2025-02-05,78.21,79.50,77.67,79.20,23631900
2025-02-06,79.68,79.74,78.11,78.57,14440500
2025-02-07,79.00,79.49,77.23,77.31,13597300
2025-02-10,78.16,78.92,77.61,78.24,11815600
2025-02-11,77.82,77.85,76.04,76.21,15769400
2025-02-12,75.42,76.85,75.30,76.27,11782500
2025-02-13,76.37,76.93,75.73,76.59,9958600
2025-02-14,76.90,78.33,76.63,77.97,10504600
2025-02-18,78.20,78.76,77.50,78.62,11281200
2025-02-19,78.50,79.00,77.54,78.36,9082300
2025-02-20,78.12,78.17,76.85,77.63,9319300
2025-02-21,77.44,77.48,74.75,74.95,15171700
2025-02-24,75.25,75.88,73.97,75.25,12873300
2025-02-25,77.14,77.57,72.70,74.07,20647200
2025-02-26,74.33,74.48,71.77,72.05,15277600
2025-02-27,72.15,72.55,70.58,70.73,11661200
2025-02-28,70.50,71.12,69.68,71.05,13601300
2025-03-03,71.10,71.57,69.50,69.75,15753700
2025-03-04,69.00,69.08,66.34,67.48,20180000
2025-03-05,67.98,69.69,67.70,69.50,14464300
2025-03-06,68.82,69.86,67.66,68.08,11226900
2025-03-07,67.97,70.98,67.82,70.48,16388300
2025-03-10,69.02,69.97,66.99,68.16,15035200
2025-03-11,68.41,68.95,67.17,67.98,12133100
2025-03-12,68.87,69.38,67.90,68.62,11545800
2025-03-13,68.33,68.91,66.70,66.91,9778300
2025-03-14,67.81,69.14,67.52,68.95,9828700
2025-03-17,68.67,70.22,67.98,69.65,7971200
2025-03-18,69.07,69.46,68.29,68.88,7520800
2025-03-19,69.10,70.48,68.82,70.00,6876400
2025-03-20,69.43,70.81,69.25,69.67,7453600
2025-03-21,68.62,70.41,68.55,70.19,14603800
2025-03-24,71.55,71.66,70.50,70.97,9911000
2025-03-25,71.00,71.71,70.55,70.86,6690600
2025-03-26,70.93,71.62,69.54,69.97,7449600
2025-03-27,69.06,69.96,68.70,68.86,7883100
2025-03-28,68.06,68.24,64.95,65.15,16536300
2025-03-31,64.28,65.43,63.40,65.25,11562000
2025-04-01,64.62,66.36,64.60,66.10,8000600
2025-04-02,65.25,67.57,65.10,67.15,8123000
2025-04-03,63.10,63.94,60.95,61.71,18479900
2025-04-04,60.00,60.19,57.32,58.37,22125000
2025-04-07,56.74,61.48,55.85,58.53,20263200
2025-04-08,59.76,61.26,56.46,57.41,16533600
2025-04-09,56.67,64.17,56.51,63.95,22502000
2025-04-10,62.30,62.45,58.94,60.56,14398100
2025-04-11,60.53,62.81,60.45,62.59,12919400
2025-04-14,63.70,63.90,61.69,62.27,8997500
2025-04-15,62.36,62.79,61.65,62.00,9140800
2025-04-16,61.38,61.46,59.72,60.24,9833600
2025-04-17,60.35,61.47,60.13,61.00,9023700
2025-04-21,60.24,60.96,59.46,60.28,7354100
2025-04-22,60.73,61.91,59.95,61.42,9390100
2025-04-23,62.72,64.57,62.17,62.46,9838900
2025-04-24,62.90,64.83,62.76,64.77,10877000
2025-04-25,64.49,65.42,64.49,65.34,8693400
2025-04-28,65.31,65.82,64.13,64.93,14251500
2025-04-29,66.37,67.43,64.36,66.32,19706800
2025-04-30,65.15,65.99,63.54,65.84,10293800
2025-05-01,65.62,66.12,64.85,65.41,10073000
2025-05-02,66.14,67.76,65.98,67.24,10081500
2025-05-05,66.96,69.36,66.91,68.54,12000300
2025-05-06,67.95,68.93,67.80,68.05,7659400
2025-05-07,68.33,68.94,67.72,68.69,8103700
2025-05-08,69.30,70.95,69.30,70.48,11791500
2025-05-09,70.87,71.32,70.01,70.26,7470500
2025-05-12,72.97,74.15,71.85,72.31,12513000
2025-05-13,72.41,72.65,71.89,72.29,8076200
2025-05-14,72.66,73.34,72.24,72.68,7724000
2025-05-15,72.34,72.67,71.44,71.57,8116500
2025-05-16,71.47,72.22,71.08,72.18,8717900
2025-05-19,71.16,72.54,71.11,72.32,7434900
2025-05-20,71.89,72.78,71.74,72.61,8403200
2025-05-21,72.20,73.20,71.50,71.65,8094300
2025-05-22,71.47,71.99,71.28,71.45,6451000
2025-05-23,69.46,70.14,69.41,69.85,7683600
2025-05-27,70.75,72.00,70.67,71.48,8770900
2025-05-28,71.58,72.04,71.10,71.44,6292100
2025-05-29,72.16,72.45,70.25,70.93,7058300
2025-05-30,70.96,71.08,69.52,70.28,14937200
2025-06-02,69.28,70.96,69.05,70.93,7518200
2025-06-03,71.00,71.43,69.86,71.33,7316400
2025-06-04,71.49,73.07,71.33,72.80,7712300
2025-06-05,72.79,73.55,72.08,72.47,6323600
