Date,Open,High,Low,Close,Volume
2024-10-07,1.00,1.00,0.93,0.96,2095300
2024-10-08,0.95,0.99,0.91,0.92,2886300
2024-10-09,0.91,0.93,0.90,0.91,1904600
2024-10-10,0.90,0.91,0.87,0.89,2033600
2024-10-11,0.88,0.99,0.88,0.97,4384900
2024-10-14,0.98,1.03,0.98,1.01,4287800
2024-10-15,1.00,1.01,0.98,1.00,1781900
2024-10-16,0.99,1.11,0.98,1.04,10529700
2024-10-17,1.07,1.08,1.01,1.04,4699000
2024-10-18,1.05,1.21,1.03,1.17,13411400
2024-10-21,1.21,1.29,1.15,1.21,14490400
2024-10-22,1.23,1.28,1.12,1.20,6530700
2024-10-23,1.19,1.39,1.15,1.19,13359600
2024-10-24,1.25,1.35,1.10,1.14,13575800
2024-10-25,1.16,1.19,1.04,1.04,11457900
2024-10-28,1.07,1.20,1.04,1.20,10079500
2024-10-29,1.24,1.25,1.12,1.14,8068100
2024-10-30,1.11,1.19,1.09,1.13,5299600
2024-10-31,1.16,1.17,1.03,1.06,7978800
2024-11-01,1.08,1.11,1.03,1.04,4375600
2024-11-04,1.05,1.05,0.98,1.00,6180900
2024-11-05,1.00,1.09,0.99,1.09,3740500
2024-11-06,1.15,1.16,1.09,1.13,4729300
2024-11-07,1.13,1.47,1.13,1.46,21157400
2024-11-08,1.44,1.60,1.39,1.60,16819400
2024-11-11,1.74,1.79,1.47,1.63,13489500
2024-11-12,1.59,1.68,1.49,1.54,7801400
2024-11-13,1.57,1.95,1.55,1.78,21722400
2024-11-14,1.76,2.15,1.60,1.87,34690000
2024-11-15,1.84,1.86,1.57,1.64,13244500
2024-11-18,1.66,1.67,1.41,1.44,12495700
2024-11-19,1.45,1.63,1.43,1.49,11297700
2024-11-20,1.54,1.76,1.53,1.67,21536500
2024-11-21,1.81,2.04,1.71,1.97,33057500
2024-11-22,2.24,3.00,1.97,2.93,84835600
2024-11-25,3.42,3.77,2.70,2.89,103614200
2024-11-26,2.70,2.93,2.52,2.70,32246000
2024-11-27,2.89,2.93,2.60,2.74,22772500
2024-11-29,2.82,3.20,2.74,3.02,32853500
2024-12-02,3.24,3.29,2.71,2.76,31240300
2024-12-03,2.68,3.01,2.50,2.99,24919200
2024-12-04,3.10,3.32,2.90,2.97,28456700
2024-12-05,3.02,4.17,2.88,3.77,62069800
2024-12-06,4.04,5.22,3.86,5.06,85840800
2024-12-09,5.26,5.33,4.43,4.65,72783700
2024-12-10,4.61,5.38,4.59,4.68,88653500
2024-12-11,4.95,4.98,3.75,4.12,86306300
2024-12-12,4.30,4.63,3.82,3.91,59150500
2024-12-13,3.97,5.09,3.71,5.00,81275200
2024-12-16,5.10,7.70,4.84,7.23,163895300
2024-12-17,8.09,9.42,7.23,8.40,174215700
2024-12-18,8.15,10.50,8.00,8.96,214157600
2024-12-19,9.29,9.38,5.91,6.37,121957200
