Date,Open,High,Low,Close,Volume
2024-10-07,3.30,3.31,2.97,3.10,1227700
2024-10-08,3.12,3.65,3.11,3.46,3296800
2024-10-09,3.44,3.44,3.27,3.37,1324500
2024-10-10,3.35,3.35,3.11,3.19,1155200
2024-10-11,3.25,3.60,3.20,3.38,1725400
2024-10-14,3.50,3.94,3.44,3.65,3363500
2024-10-15,3.90,3.90,3.45,3.50,1725900
2024-10-16,3.45,3.55,3.15,3.20,2756100
2024-10-17,3.24,3.24,3.00,3.04,1539100
2024-10-18,3.12,3.20,3.06,3.15,845800
2024-10-21,3.16,3.17,2.89,2.97,1175000
2024-10-22,2.98,2.98,2.78,2.85,1246400
2024-10-23,2.83,2.86,2.66,2.73,1051400
2024-10-24,2.75,2.84,2.68,2.72,574400
2024-10-25,2.75,2.79,2.69,2.69,739300
2024-10-28,2.80,3.06,2.75,3.06,1646500
2024-10-29,3.12,3.30,2.98,3.28,1576800
2024-10-30,3.28,3.29,3.09,3.17,835200
2024-10-31,3.14,3.23,2.96,3.06,991400
2024-11-01,3.15,3.22,2.97,3.06,850500
2024-11-04,3.08,3.28,2.97,3.27,1214600
2024-11-05,3.26,3.45,3.17,3.42,1140600
2024-11-06,3.44,3.50,3.27,3.33,763200
2024-11-07,3.31,3.60,3.21,3.57,1128800
2024-11-08,3.55,3.66,3.41,3.64,962600
2024-11-11,3.73,3.83,3.48,3.75,1446600
2024-11-12,3.72,3.99,3.55,3.97,1565800
2024-11-13,4.04,4.22,3.81,3.82,1652100
2024-11-14,3.85,4.10,3.79,4.02,1686900
2024-11-15,4.60,5.01,4.43,4.70,7470700
2024-11-18,5.00,5.62,4.83,4.90,5946700
2024-11-19,4.97,5.15,4.43,4.74,8085000
2024-11-20,5.64,6.90,5.62,6.37,19483000
2024-11-21,7.06,7.86,6.56,7.30,14742000
2024-11-22,7.82,9.60,7.60,8.97,17754000
2024-11-25,9.90,10.25,8.55,9.61,13623400
2024-11-26,8.97,9.45,7.87,8.36,10491900
2024-11-27,8.56,9.65,8.55,9.27,7388100
2024-11-29,9.90,11.88,9.78,11.77,13276300
2024-12-02,12.40,12.57,10.11,10.56,11411900
2024-12-03,9.70,10.33,8.88,9.18,8230600
2024-12-04,9.50,10.03,8.11,8.39,9226900
2024-12-05,8.42,9.92,8.40,8.66,7168300
2024-12-06,8.64,8.75,8.09,8.17,4943300
2024-12-09,8.23,8.27,7.59,7.68,5627400
2024-12-10,7.53,7.88,7.07,7.70,4451000
2024-12-11,7.91,8.13,7.14,7.29,4078900
2024-12-12,7.01,7.44,6.71,7.19,4119000
