Date,Open,High,Low,Close,Volume
2024-10-07,0.78,0.81,0.77,0.79,1600400
2024-10-08,0.79,0.80,0.77,0.78,1798900
2024-10-09,0.79,0.79,0.75,0.77,2675200
2024-10-10,0.76,0.76,0.73,0.76,2077900
2024-10-11,0.74,0.83,0.74,0.82,3076400
2024-10-14,0.82,0.85,0.80,0.84,2723800
2024-10-15,0.84,0.84,0.79,0.81,1576900
2024-10-16,0.82,0.96,0.80,0.92,8326200
2024-10-17,0.94,0.99,0.91,0.95,4990700
2024-10-18,0.98,1.18,0.98,1.11,11659800
2024-10-21,1.17,1.30,1.09,1.28,13311300
2024-10-22,1.27,1.33,1.15,1.23,7908100
2024-10-23,1.19,1.38,1.15,1.21,10591500
2024-10-24,1.30,1.33,1.18,1.20,6136400
2024-10-25,1.23,1.31,1.20,1.22,7768800
2024-10-28,1.27,1.54,1.25,1.50,15633300
2024-10-29,1.60,1.73,1.40,1.46,18426200
2024-10-30,1.37,1.50,1.32,1.41,9146500
2024-10-31,1.41,1.43,1.24,1.32,5494600
2024-11-01,1.30,1.35,1.22,1.23,4703500
2024-11-04,1.21,1.22,1.12,1.13,5250100
2024-11-05,1.11,1.16,1.06,1.12,4917400
2024-11-06,1.18,1.25,1.13,1.20,6098200
2024-11-07,1.22,1.47,1.21,1.43,12541000
2024-11-08,1.40,1.62,1.40,1.51,16527400
2024-11-11,1.66,1.69,1.40,1.52,17031300
2024-11-12,1.31,1.50,1.25,1.49,11405600
2024-11-13,1.51,1.89,1.48,1.70,23091500
2024-11-14,1.84,1.85,1.53,1.55,32824300
2024-11-15,1.60,1.61,1.38,1.41,15605200
2024-11-18,1.49,1.49,1.28,1.30,12727100
2024-11-19,1.33,1.38,1.29,1.31,11740300
2024-11-20,1.38,1.49,1.32,1.35,15851400
2024-11-21,1.48,1.55,1.37,1.48,34339100
2024-11-22,1.69,1.85,1.54,1.74,96688100
2024-11-25,2.63,3.37,2.37,2.75,274215800
2024-11-26,2.38,2.68,2.10,2.20,126719200
2024-11-27,2.45,2.52,2.30,2.40,62233600
2024-11-29,2.52,3.11,2.42,3.05,116979800
2024-12-02,3.52,3.66,2.84,3.02,134814900
2024-12-03,2.93,3.25,2.76,3.14,78645700
2024-12-04,3.03,3.29,2.95,3.11,52146000
2024-12-05,3.08,3.55,2.88,3.18,91533000
2024-12-06,3.33,4.39,3.31,4.38,133405400
2024-12-09,5.06,5.09,4.28,4.47,132073300
2024-12-10,4.33,6.89,4.28,6.49,248708800
2024-12-11,7.95,7.96,5.78,7.38,313253200
2024-12-12,6.65,7.89,5.85,5.97,158723700
2024-12-13,6.34,7.20,6.05,7.16,124453900
2024-12-16,7.17,9.85,6.71,8.43,229180900
2024-12-17,9.25,11.20,8.40,11.13,222464200
2024-12-18,11.13,12.75,9.91,10.69,280366600
2024-12-19,10.10,10.18,6.75,7.47,176118500
2024-12-20,7.26,10.08,6.93,9.37,216130100
2024-12-23,12.14,12.30,10.44,10.96,229354200
2024-12-24,11.05,12.28,10.34,11.35,108378100
2024-12-26,11.20,15.50,10.76,15.44,202734100
2024-12-27,16.86,19.35,15.44,17.08,305773000
2024-12-30,15.69,18.24,14.40,17.00,161110600
2024-12-31,17.47,18.00,15.02,15.26,141937400
2025-01-02,16.14,20.00,15.30,20.00,187558200
2025-01-03,18.95,20.37,17.70,19.02,162779200
2025-01-06,18.54,21.42,18.53,19.51,132015700
2025-01-07,19.80,20.10,17.55,18.39,98000800
2025-01-08,12.65,12.92,9.00,10.04,305157000
2025-01-10,9.88,10.74,8.43,8.93,178876100
2025-01-13,7.33,8.37,5.95,6.05,192206700
2025-01-14,6.57,8.97,6.56,8.95,354957200
2025-01-15,10.36,11.56,9.73,10.94,390256100
2025-01-16,10.35,11.74,10.01,11.24,256646600
2025-01-17,10.53,11.16,9.77,9.83,155069700
2025-01-21,10.38,14.07,10.38,13.98,228136700
2025-01-22,14.07,14.46,12.76,13.91,168713500
2025-01-23,13.11,14.63,12.99,13.47,133393900
2025-01-24,13.94,16.20,13.15,13.20,213843700
2025-01-27,12.03,13.57,11.80,12.45,125456200
2025-01-28,13.44,13.50,12.10,13.08,103472600
2025-01-29,12.82,13.94,12.37,12.66,107512500
2025-01-30,13.13,13.37,12.12,12.30,95255300
2025-01-31,12.30,14.58,12.27,13.17,200497800
2025-02-03,12.44,13.83,11.87,13.47,133071300
2025-02-04,14.10,15.15,13.28,13.72,159643000
2025-02-05,14.01,14.39,13.33,13.83,117981500
2025-02-06,13.97,14.49,13.07,13.29,78500900
2025-02-07,13.68,13.85,12.44,12.85,96825300
2025-02-10,12.71,12.99,12.22,12.35,64329300
2025-02-11,12.49,12.50,11.00,11.02,71972000
2025-02-12,10.94,12.23,10.85,11.75,77186700
2025-02-13,12.05,12.25,11.37,12.25,64527500
2025-02-14,12.19,12.23,11.43,11.81,48241800
2025-02-18,11.37,11.43,10.35,10.52,60244200
2025-02-19,10.69,11.56,10.24,11.03,102200400
2025-02-20,12.08,12.15,10.95,11.47,97801500
2025-02-21,11.59,12.34,10.47,10.75,84942100
2025-02-24,10.60,10.71,9.99,10.12,63186700
2025-02-25,9.91,10.08,8.91,9.03,58449100
2025-02-26,9.44,9.87,9.13,9.28,51139800
2025-02-27,9.20,9.42,8.03,8.03,44607900
2025-02-28,7.97,8.75,7.77,8.46,59214800
2025-03-03,8.54,8.74,7.52,7.70,45174200
2025-03-04,7.07,8.24,7.03,7.86,50542800
2025-03-05,7.83,8.24,7.61,8.18,45733100
2025-03-06,7.32,9.12,7.20,8.51,88578200
2025-03-07,8.55,9.50,8.26,9.35,74601800
2025-03-10,9.03,9.12,7.53,7.91,62320100
2025-03-11,7.84,8.27,7.57,8.05,46694200
2025-03-12,8.37,9.10,8.04,8.95,71054000
2025-03-13,8.88,9.40,8.36,8.75,67308400
2025-03-14,9.04,11.30,9.02,11.22,125741600
2025-03-17,11.29,11.40,10.65,11.16,92212100
2025-03-18,10.37,11.18,9.90,10.26,67931000
2025-03-19,10.62,10.82,9.65,9.90,49112000
2025-03-20,9.72,9.84,8.68,8.99,65312200
2025-03-21,8.50,9.14,8.45,9.07,58440000
2025-03-24,9.43,9.83,9.28,9.78,46779800
2025-03-25,9.56,10.02,9.47,9.82,36323100
2025-03-26,9.89,10.31,9.09,9.18,41834000
2025-03-27,9.02,9.19,8.41,8.47,28869400
2025-03-28,8.40,8.42,7.78,8.15,28049000
2025-03-31,7.77,8.30,7.68,7.92,34826600
2025-04-01,8.10,8.13,7.51,7.81,31044000
2025-04-02,7.59,8.92,7.55,8.49,44091200
2025-04-03,7.98,8.31,7.91,8.15,29717500
2025-04-04,7.77,7.78,6.98,7.50,36000000
2025-04-07,6.92,8.78,6.86,8.33,49612500
2025-04-08,8.94,8.96,7.52,7.72,42356600
2025-04-09,7.98,9.46,7.70,9.39,56004100
2025-04-10,9.06,9.74,8.85,9.42,41070600
2025-04-11,9.45,9.54,8.69,9.10,27496000
2025-04-14,9.40,9.70,8.78,8.86,23235600
2025-04-15,8.87,8.96,8.45,8.62,15826800
2025-04-16,8.28,8.42,7.98,8.25,15132500
2025-04-17,8.29,8.48,8.07,8.32,11981100
2025-04-21,8.17,8.20,7.81,8.11,12028800
2025-04-22,8.23,8.58,8.12,8.57,14606400
2025-04-23,9.06,9.35,8.87,9.11,25910600
2025-04-24,9.23,9.73,9.14,9.30,27748000
2025-04-25,9.23,9.80,8.97,9.37,36524400
2025-04-28,9.49,10.05,9.01,9.22,31008400
2025-04-29,9.33,9.44,8.83,8.86,19429100
2025-04-30,8.59,8.89,8.35,8.87,13712600
2025-05-01,9.11,9.27,8.94,9.14,16256400
2025-05-02,9.22,10.92,9.22,10.63,69215600
2025-05-05,10.38,10.38,9.51,9.69,34754600
2025-05-06,9.47,9.84,9.20,9.78,16962500
2025-05-07,9.69,9.80,9.14,9.25,21805900
2025-05-08,9.94,10.43,9.30,10.31,71091600
2025-05-09,10.31,10.64,10.04,10.58,58545500
2025-05-12,11.78,11.98,11.08,11.55,87924800
2025-05-13,10.25,10.80,9.85,9.86,74248700
2025-05-14,10.22,12.39,10.18,11.64,132878300
2025-05-15,11.40,11.93,11.18,11.54,52940100
2025-05-16,12.05,12.52,11.52,11.85,67589800
2025-05-19,11.49,12.23,11.15,12.05,60550800
2025-05-20,12.53,12.69,11.51,11.92,92681100
2025-05-21,11.85,12.07,10.77,10.96,66748600
2025-05-22,11.03,14.44,10.94,13.86,165197100
2025-05-23,13.04,14.69,12.77,14.02,107968800
2025-05-27,14.97,15.30,13.75,14.19,77321600
2025-05-28,13.85,14.49,13.80,14.16,52811600
2025-05-29,14.41,14.75,13.05,13.15,47543200
2025-05-30,12.50,12.75,11.75,12.11,53928500
2025-06-02,12.27,12.50,11.82,12.26,29878800
2025-06-03,12.57,12.83,11.82,12.04,42259500
2025-06-04,12.12,12.18,11.65,11.82,29530600
2025-06-05,11.81,11.82,10.71,10.89,35304700
2025-06-06,11.22,11.76,10.98,11.28,38279600
2025-06-09,11.83,11.83,11.10,11.32,43412700
2025-06-10,11.53,12.12,11.08,11.24,61400200
2025-06-11,12.19,13.56,11.86,12.52,178367000
2025-06-12,12.61,13.39,12.10,12.10,93622200
2025-06-13,11.65,11.92,11.31,11.40,45368100
2025-06-16,11.64,12.28,11.50,12.16,47085400
2025-06-17,12.01,12.22,11.38,11.48,33958800
2025-06-18,11.62,11.77,11.14,11.35,30230000
2025-06-20,11.51,11.58,11.01,11.06,27759500
2025-06-23,10.80,11.00,10.30,10.79,33264900
2025-06-24,11.30,11.62,11.16,11.50,30463000
2025-06-25,11.79,12.03,11.03,11.09,29108700
2025-06-26,11.24,11.52,11.07,11.11,27523000
2025-06-27,11.32,11.41,10.80,11.07,52444700
2025-06-30,11.19,12.09,11.14,11.86,48094800
2025-07-01,11.64,11.75,11.23,11.33,28156600
2025-07-02,11.51,13.10,11.43,13.08,65581800
2025-07-03,12.91,13.47,12.86,13.45,35342500
2025-07-07,13.22,13.85,12.42,13.75,50496100
2025-07-08,13.84,14.24,13.25,13.38,37275400
2025-07-09,13.64,13.89,12.83,13.51,31627700
2025-07-10,13.49,13.69,13.03,13.03,25768100
2025-07-11,12.95,13.07,12.08,12.18,30496900
2025-07-14,12.30,12.90,12.16,12.77,26361100
2025-07-15,12.99,13.02,12.48,12.72,22620300
