Date,Open,High,Low,Close,Volume
2024-10-07,81.85,82.10,80.30,80.86,5495800
2024-10-08,81.00,83.14,80.60,82.58,5723800
2024-10-09,82.63,84.12,82.63,83.41,4741400
2024-10-10,82.36,83.65,82.30,82.71,3937200
2024-10-11,81.97,84.20,81.89,83.24,3775000
2024-10-14,83.84,84.37,82.66,83.68,3759800
2024-10-15,83.60,83.77,80.46,81.93,6484700
2024-10-16,81.95,82.27,80.34,81.85,4929300
2024-10-17,82.89,83.18,81.14,81.63,3519800
2024-10-18,82.25,82.95,82.03,82.68,3862200
2024-10-21,82.03,83.25,81.29,82.66,5437900
2024-10-22,81.50,82.54,81.16,81.61,4624800
2024-10-23,81.23,81.91,79.12,79.66,4832300
2024-10-24,80.00,80.39,78.84,79.82,3981400
2024-10-25,80.10,80.97,78.78,79.05,3834500
2024-10-28,79.61,80.18,79.32,79.87,3327700
2024-10-29,79.39,80.80,79.21,80.39,5131300
2024-10-30,80.03,80.51,79.28,80.01,3712300
2024-10-31,79.75,80.39,77.12,78.21,4637000
2024-11-01,79.05,79.89,77.94,78.99,6189900
2024-11-04,78.71,79.06,77.70,78.44,3584500
2024-11-05,78.55,80.04,78.23,79.57,4652300
2024-11-06,81.55,82.12,80.13,81.92,5169800
2024-11-07,82.16,85.84,82.10,85.55,6623700
2024-11-08,85.60,87.26,85.25,87.12,7439000
2024-11-11,88.95,92.16,88.71,89.99,20014100
2024-11-12,107.52,114.51,106.00,108.92,63946200
2024-11-13,107.50,115.62,106.18,115.09,20642000
2024-11-14,115.29,115.29,109.00,109.08,13147900
2024-11-15,107.10,108.79,105.25,108.49,10764200
2024-11-18,108.90,109.11,105.76,105.88,6685600
2024-11-19,104.31,105.38,103.27,104.59,9038100
2024-11-20,104.83,105.07,102.58,103.94,7632600
2024-11-21,103.74,108.21,103.26,106.48,10624700
2024-11-22,107.01,107.50,105.33,106.96,7059900
2024-11-25,109.30,112.45,108.63,111.00,10139300
2024-11-26,109.70,113.90,109.08,112.08,8029000
2024-11-27,111.44,112.59,110.94,112.54,4665600
2024-11-29,113.16,116.35,112.53,115.60,6178300
2024-12-02,115.22,115.99,111.12,112.98,9839600
2024-12-03,112.75,113.79,111.04,111.86,8263400
2024-12-04,112.33,115.79,112.30,113.43,7736700
2024-12-05,113.43,115.46,112.94,114.09,5291000
2024-12-06,116.72,120.72,116.40,118.37,10136400
2024-12-09,118.59,118.94,114.08,115.29,6325700
2024-12-10,114.78,116.65,112.68,113.45,5139800
2024-12-11,115.36,117.86,114.16,117.37,6459000
2024-12-12,116.22,118.32,115.15,115.31,6059300
2024-12-13,115.52,116.50,113.44,114.63,4667200
2024-12-16,115.72,117.00,114.69,115.94,5178900
2024-12-17,115.14,119.85,114.95,119.49,8038100
2024-12-18,118.81,120.10,109.51,109.70,8810400
2024-12-19,111.30,111.44,105.71,107.07,10550200
2024-12-20,105.30,109.96,104.50,108.95,6709500
2024-12-23,108.53,110.08,107.47,109.25,4097200
2024-12-24,109.62,110.36,108.51,110.18,1848500
2024-12-26,109.78,110.62,108.89,109.96,2222300
2024-12-27,109.44,109.80,106.52,108.18,3966400
2024-12-30,105.07,107.19,104.54,106.69,4096800
2024-12-31,106.75,107.31,105.46,106.33,3768700
2025-01-02,107.50,108.32,104.91,107.53,4433700
2025-01-03,108.87,109.69,107.54,109.25,2957900
2025-01-06,112.24,114.29,111.50,114.24,7073800
