Date,Open,High,Low,Close,Volume
2024-10-07,41.53,48.50,41.51,47.74,104771200
2024-10-08,50.09,50.10,44.06,45.35,106186100
2024-10-09,45.85,49.35,45.53,47.29,65379000
2024-10-10,45.80,47.00,44.40,46.47,40610900
2024-10-11,45.83,48.15,45.75,47.80,40748100
2024-10-14,48.18,49.46,46.44,47.39,45227800
2024-10-15,47.35,48.61,45.73,47.76,38228200
2024-10-16,48.30,50.35,47.26,48.75,50139200
2024-10-17,50.40,50.61,47.15,47.59,47789300
2024-10-18,48.08,48.98,47.01,47.26,31933200
2024-10-21,47.39,48.88,46.93,47.80,36216800
2024-10-22,47.79,48.18,44.81,45.97,41248100
2024-10-23,45.44,46.14,44.61,45.36,24301000
2024-10-24,45.67,47.24,45.63,46.23,23717700
2024-10-25,46.68,48.40,46.46,47.27,32279200
2024-10-28,47.80,48.72,47.28,47.72,27230200
2024-10-29,47.67,49.70,46.75,49.12,35234800
2024-10-30,34.85,38.00,32.20,33.07,236424500
2024-10-31,30.06,30.89,27.22,29.11,129887200
2024-11-01,27.60,28.75,25.71,26.05,102739000
2024-11-04,24.89,27.97,23.90,26.03,92052000
2024-11-05,25.98,28.00,25.10,27.70,106628300
2024-11-06,20.87,23.00,20.20,22.70,122890800
2024-11-07,22.48,25.78,22.11,25.48,88234700
2024-11-08,25.69,26.25,23.76,24.52,60549600
2024-11-11,22.35,23.66,21.30,23.23,71258400
2024-11-12,22.11,23.06,21.58,21.70,44022500
2024-11-13,21.01,21.80,20.27,20.33,55525500
2024-11-14,17.99,19.24,17.36,18.01,95152100
2024-11-15,17.80,18.79,17.25,18.58,74025400
2024-11-18,20.03,23.88,20.00,21.54,178890800
2024-11-19,27.11,29.50,25.61,28.27,235282900
2024-11-20,27.29,27.71,24.82,25.80,105366500
2024-11-21,27.68,30.50,26.51,29.70,118032600
2024-11-22,30.84,34.37,30.50,33.15,159607100
2024-11-25,36.03,39.23,35.55,38.41,170113700
2024-11-26,37.59,37.67,34.03,34.43,95313000
2024-11-27,35.26,37.14,34.43,35.07,63261300
2024-11-29,32.97,33.49,31.11,32.64,60119900
2024-12-02,37.78,44.15,35.32,42.00,263221600
2024-12-03,44.42,45.99,38.82,40.21,204353000
2024-12-04,40.15,42.50,39.52,41.81,96994400
