Date,Open,High,Low,Close,Volume
2024-10-07,10.79,10.89,10.42,10.48,18028200
2024-10-08,10.46,10.71,10.39,10.67,14134400
2024-10-09,10.69,10.79,10.61,10.68,11064600
2024-10-10,10.54,10.82,10.52,10.66,14692200
2024-10-11,10.55,11.19,10.55,11.13,17306000
2024-10-14,11.02,11.20,10.86,11.05,21296700
2024-10-15,11.05,11.20,10.85,11.04,16307500
2024-10-16,11.05,11.10,10.67,10.76,24720700
2024-10-17,10.60,10.69,10.26,10.46,28907700
2024-10-18,10.56,10.65,10.42,10.49,15179600
2024-10-21,10.45,10.56,10.28,10.33,17264900
2024-10-22,10.16,10.26,9.94,9.98,28940000
2024-10-23,10.21,10.48,10.06,10.15,32444300
2024-10-24,10.20,10.33,10.12,10.27,17213100
2024-10-25,10.33,10.54,10.29,10.45,18672500
2024-10-28,10.63,10.84,10.54,10.71,25316300
2024-10-29,10.75,10.93,10.54,10.89,59701100
2024-10-30,11.53,12.83,11.41,12.62,102519300
2024-10-31,12.57,12.73,12.08,12.16,76348300
2024-11-01,12.25,12.93,11.97,12.53,49753800
2024-11-04,12.36,12.47,12.06,12.12,29713400
2024-11-05,12.21,12.33,11.97,12.19,21861000
2024-11-06,12.16,12.36,11.40,11.81,36562900
2024-11-07,11.89,12.59,11.87,12.48,30530300
2024-11-08,12.41,12.45,11.87,12.01,39240000
2024-11-11,12.10,12.26,11.93,11.96,31883100
2024-11-12,11.80,11.90,11.23,11.26,38973900
2024-11-13,11.28,11.39,11.07,11.11,20588900
2024-11-14,11.11,11.18,10.70,10.76,32509000
2024-11-15,10.71,10.71,10.49,10.60,20919200
2024-11-18,10.60,10.69,10.46,10.55,34574800
2024-11-19,10.43,10.62,10.42,10.51,21393000
2024-11-20,10.54,11.00,10.46,10.59,17642000
2024-11-21,10.56,10.69,10.40,10.63,21430700
2024-11-22,10.52,11.47,10.50,11.42,39166000
2024-11-25,11.55,12.14,11.53,11.60,29295400
2024-11-26,11.55,11.63,11.30,11.60,27809600
2024-11-27,11.68,11.79,11.35,11.61,14146000
2024-11-29,11.70,12.02,11.67,11.81,8966700
2024-12-02,11.78,12.18,11.59,12.11,28007700
2024-12-03,12.09,13.05,11.96,12.86,37632900
2024-12-04,12.93,12.93,12.58,12.62,15865300
2024-12-05,12.58,12.59,11.72,12.17,49109600
2024-12-06,12.37,13.02,12.22,12.44,58197700
2024-12-09,12.50,12.62,12.20,12.50,32176100
2024-12-10,12.50,12.57,11.98,12.41,33103200
2024-12-11,12.42,12.74,11.99,12.00,21680000
2024-12-12,11.94,11.96,11.37,11.38,23124400
2024-12-13,11.41,11.55,11.08,11.31,17823800
2024-12-16,11.36,11.57,11.21,11.34,22364200
2024-12-17,11.34,11.43,11.11,11.18,19717400
2024-12-18,11.15,12.15,10.85,11.22,49598200
2024-12-19,11.34,11.57,11.14,11.30,26885300
2024-12-20,11.01,11.63,10.95,11.40,38555400
2024-12-23,11.52,11.59,11.00,11.26,37248300
2024-12-24,11.27,11.28,11.12,11.18,7892400
2024-12-26,11.11,11.38,11.07,11.20,12813800
2024-12-27,11.16,11.18,10.77,10.99,22670500
2024-12-30,10.72,10.99,10.56,10.86,28393800
2024-12-31,10.86,11.00,10.75,10.77,14617100
2025-01-02,11.00,11.38,10.78,11.24,16400500
2025-01-03,11.46,12.08,11.45,11.97,25565600
2025-01-06,12.10,12.59,11.98,12.57,26193600
2025-01-07,12.65,12.87,12.31,12.55,27577600
2025-01-08,12.30,12.59,11.93,12.04,25644800
2025-01-10,11.99,13.28,11.88,12.47,54521200
2025-01-13,12.24,12.45,11.94,12.15,21092900
2025-01-14,11.78,11.81,11.28,11.34,38181500
2025-01-15,11.68,12.35,11.62,11.84,35534700
2025-01-16,11.38,11.65,11.17,11.22,37764000
2025-01-17,11.36,11.60,10.80,10.86,48260600
2025-01-21,10.92,10.98,10.54,10.56,34096700
2025-01-22,10.68,10.76,10.45,10.46,24284100
2025-01-23,10.41,10.67,10.40,10.58,19161800
2025-01-24,10.65,10.90,10.65,10.89,19712200
2025-01-27,10.59,11.19,10.59,10.85,23584400
2025-01-28,10.88,11.20,10.77,11.19,21291500
2025-01-29,11.25,11.77,11.19,11.63,27625300
2025-01-30,11.64,11.66,11.14,11.35,19930600
2025-01-31,11.43,11.73,11.26,11.29,23111400
2025-02-03,11.00,11.30,10.95,11.17,56262600
2025-02-04,11.19,11.71,11.19,11.60,65699100
2025-02-05,11.53,11.57,10.59,10.63,91226400
2025-02-06,10.49,10.79,10.35,10.69,40553400
2025-02-07,10.72,11.05,10.60,10.92,31624300
2025-02-10,10.81,11.09,10.68,10.71,30217300
2025-02-11,10.44,10.92,10.35,10.87,24893000
2025-02-12,10.67,10.92,10.67,10.73,20670700
2025-02-13,10.76,11.26,10.76,11.25,29099000
