Date,Open,High,Low,Close,Volume
2024-10-07,8.36,8.52,8.16,8.27,40480600
2024-10-08,8.32,8.60,8.26,8.41,40451800
2024-10-09,8.41,8.66,8.30,8.59,32950100
2024-10-10,8.51,8.76,8.46,8.63,46015000
2024-10-11,8.65,9.07,8.63,9.01,42833300
2024-10-14,9.62,10.07,9.38,10.04,116449900
2024-10-15,10.16,10.49,10.03,10.18,87195400
2024-10-16,10.23,10.32,9.91,10.04,48045000
2024-10-17,10.01,10.03,9.62,9.87,50293900
2024-10-18,9.91,10.18,9.88,10.18,31400300
2024-10-21,10.26,10.54,10.19,10.40,50814300
2024-10-22,10.32,10.62,10.32,10.58,36501700
2024-10-23,10.55,10.65,10.18,10.42,38130400
2024-10-24,10.91,11.30,10.78,10.93,72141300
2024-10-25,11.21,11.34,10.89,10.99,58331300
2024-10-28,11.21,11.31,11.02,11.19,69753400
2024-10-29,10.75,10.80,9.77,10.47,164917900
2024-10-30,10.47,11.50,10.46,11.22,95149900
2024-10-31,11.16,11.32,10.88,11.17,59129200
2024-11-01,11.21,11.22,10.81,11.04,41742300
2024-11-04,10.88,11.13,10.63,10.91,41321700
2024-11-05,10.96,11.55,10.95,11.42,53857800
2024-11-06,12.07,12.19,11.63,11.81,63197700
2024-11-07,11.91,12.14,11.85,11.90,55627600
2024-11-08,12.00,13.01,11.94,13.01,83464200
2024-11-11,13.61,14.44,13.57,14.11,106393400
2024-11-12,13.49,14.01,13.37,13.82,61125000
2024-11-13,13.95,14.28,13.39,13.50,55166000
2024-11-14,13.61,13.73,13.01,13.40,46251400
2024-11-15,13.22,13.69,13.08,13.63,48186500
2024-11-18,13.80,14.30,13.70,13.93,47566500
2024-11-19,13.76,14.43,13.67,14.42,38330700
2024-11-20,14.65,14.89,14.29,14.67,45618800
2024-11-21,14.86,15.55,14.67,15.01,60802800
2024-11-22,15.27,15.75,15.08,15.60,50055400
2024-11-25,16.09,16.09,15.52,15.70,49778700
2024-11-26,15.50,15.84,15.24,15.49,38184400
2024-11-27,15.67,16.16,15.57,16.12,48218600
2024-11-29,16.36,16.61,16.17,16.41,31524900
2024-12-02,16.49,16.61,15.74,15.91,52367900
2024-12-03,15.89,16.15,15.62,15.88,43795800
2024-12-04,16.13,16.43,15.89,16.32,40638300
2024-12-05,16.01,16.20,15.62,15.65,50857000
2024-12-06,15.77,16.05,14.85,16.02,57220500
2024-12-09,15.68,15.96,15.23,15.57,59642800
2024-12-10,15.49,16.12,15.14,15.29,49585500
2024-12-11,15.50,16.00,15.16,15.94,47600800
2024-12-12,15.92,16.48,15.73,15.90,48071000
2024-12-13,16.04,16.36,15.79,16.25,41622300
2024-12-16,16.53,17.04,16.20,16.88,55457600
2024-12-17,17.15,17.17,16.17,16.66,53985200
2024-12-18,16.89,17.19,14.93,15.24,76625700
2024-12-19,15.72,15.99,14.92,15.03,44149600
2024-12-20,14.72,15.53,14.58,15.35,52746600
2024-12-23,15.50,15.79,15.16,15.63,34576400
2024-12-24,15.73,16.03,15.57,16.02,15731500
2024-12-26,15.98,16.68,15.88,16.60,36815400
2024-12-27,16.39,16.47,15.78,15.98,31003000
2024-12-30,15.57,15.88,15.42,15.63,31036000
2024-12-31,15.79,15.90,15.35,15.40,29262500
2025-01-02,15.00,15.11,13.75,14.13,76412600
2025-01-03,14.30,14.85,14.12,14.84,40925300
2025-01-06,15.20,15.48,14.89,15.29,32859000
2025-01-07,15.31,15.62,14.71,14.91,38956300
2025-01-08,14.64,14.84,14.32,14.55,28712100
2025-01-10,14.20,14.28,13.81,14.15,33470100
2025-01-13,13.64,14.09,13.60,14.07,32197100
