Date,Open,High,Low,Close,Volume
2024-10-07,229.60,232.26,228.78,230.45,2006800
2024-10-08,230.45,233.54,228.94,232.72,2508500
2024-10-09,232.49,235.48,230.88,235.15,2019100
2024-10-10,231.99,234.79,230.65,233.50,1886400
2024-10-11,231.79,236.19,231.67,235.46,4572900
2024-10-14,236.96,240.29,236.81,239.80,2142500
2024-10-15,239.24,240.47,225.72,227.36,6421200
2024-10-16,230.12,230.12,226.41,227.36,3776600
2024-10-17,233.30,233.87,229.15,229.15,2407800
2024-10-18,231.30,231.31,228.42,229.36,1643700
2024-10-21,228.44,229.54,225.98,228.93,2034300
2024-10-22,227.68,228.81,226.28,228.08,2476400
2024-10-23,227.65,228.51,222.87,226.04,2260000
2024-10-24,228.07,228.21,225.58,227.30,2247900
2024-10-25,229.45,233.07,229.37,229.58,2209600
2024-10-28,229.50,231.31,228.37,229.72,1508500
2024-10-29,229.92,236.46,228.86,235.37,3135000
2024-10-30,229.29,230.74,226.98,227.07,4324400
2024-10-31,224.90,224.99,216.56,218.26,6120800
2024-11-01,220.02,222.76,219.31,220.58,2130100
2024-11-04,219.93,222.46,218.50,219.31,1727700
2024-11-05,219.41,222.07,219.14,221.87,2273700
2024-11-06,226.36,229.17,224.31,228.34,3644000
2024-11-07,231.83,233.41,231.32,233.10,3154600
2024-11-08,231.83,233.19,230.14,231.36,1769200
2024-11-11,229.18,229.18,222.78,225.57,4250400
2024-11-12,224.78,225.15,220.15,223.11,3259700
2024-11-13,221.50,222.13,217.97,218.37,3057500
2024-11-14,220.50,221.37,217.84,218.24,2523600
2024-11-15,214.57,215.67,210.59,211.21,4748200
2024-11-18,211.15,214.33,210.24,213.94,2422300
2024-11-19,213.33,214.81,212.47,214.35,2363400
2024-11-20,213.07,213.68,209.65,212.71,3995000
2024-11-21,215.05,217.26,210.90,216.08,4245400
2024-11-22,215.62,216.70,214.56,216.17,2672600
2024-11-25,218.97,220.30,216.88,218.28,2787700
2024-11-26,220.00,220.59,213.77,215.45,2783900
2024-11-27,214.25,214.41,208.89,212.56,3122300
2024-11-29,214.12,218.02,214.08,215.40,2505300
2024-12-02,216.70,222.47,216.52,221.06,3707000
2024-12-03,219.65,221.06,219.02,219.81,1914900
2024-12-04,224.15,224.32,221.14,222.72,2681200
2024-12-05,222.33,222.66,217.89,218.51,2422000
2024-12-06,218.60,220.38,218.00,219.83,1822900
2024-12-09,218.50,221.54,217.38,218.77,1574800
2024-12-10,219.43,219.58,212.19,213.57,2566600
2024-12-11,216.73,220.23,215.40,218.94,3233900
2024-12-12,217.39,218.18,215.46,217.24,2680200
2024-12-13,222.30,224.66,220.01,223.30,3720600
2024-12-16,224.01,228.58,222.39,227.44,4774000
2024-12-17,224.84,226.18,222.56,223.87,2397300
2024-12-18,225.35,227.16,213.95,215.59,4426000
2024-12-19,216.09,216.56,211.45,211.97,3255700
2024-12-20,210.81,217.78,210.30,214.82,4681100
2024-12-23,216.47,221.60,216.47,221.32,3044300
2024-12-24,222.78,223.68,221.35,223.60,1252300
2024-12-26,221.98,224.95,221.69,223.53,1303500
2024-12-27,222.19,222.72,218.85,221.64,1933000
2024-12-30,217.84,219.31,215.67,217.28,2566900
2024-12-31,217.93,218.82,214.64,215.49,1354500
2025-01-02,217.68,220.22,214.96,216.82,2409100
2025-01-03,218.25,223.04,217.96,222.47,2623200
2025-01-06,227.26,231.80,227.26,228.91,4176500
2025-01-07,231.70,231.89,224.56,225.79,3694800
2025-01-08,225.05,225.46,221.11,223.54,3141400
2025-01-10,220.74,220.88,216.78,218.20,4038000
2025-01-13,213.85,217.84,213.66,217.53,2310000
2025-01-14,219.35,220.75,216.12,218.96,1492800
2025-01-15,222.48,224.65,221.67,223.21,2900200
2025-01-16,227.25,227.79,223.53,223.54,3029500
2025-01-17,228.58,230.32,227.36,229.74,3785500
2025-01-21,231.81,234.58,229.80,232.45,3201500
2025-01-22,234.83,238.34,234.32,235.81,3461100
2025-01-23,232.03,235.38,231.18,235.37,2567100
2025-01-24,235.48,235.48,229.71,230.64,2229900
2025-01-27,219.00,219.61,209.74,212.55,16943600
2025-01-28,213.62,214.77,208.98,213.50,9118300
2025-01-29,215.56,216.18,212.15,214.38,2430800
2025-01-30,217.01,219.99,215.76,218.74,4653800
2025-01-31,219.99,224.29,217.47,218.13,3867800
2025-02-03,212.39,216.85,210.96,214.20,3646800
2025-02-04,213.72,217.27,213.43,216.40,3742300
2025-02-05,215.83,221.04,214.48,220.59,2200500
2025-02-06,219.05,220.70,217.88,220.30,3111700
2025-02-07,220.81,222.08,215.39,216.87,3297400
2025-02-10,218.45,220.25,218.42,219.70,2698600
2025-02-11,217.89,221.17,217.89,219.90,1549700
2025-02-12,216.44,220.22,215.95,220.14,2017500
2025-02-13,219.95,222.99,219.89,222.84,2546800
2025-02-14,222.82,223.77,221.92,223.07,1566200
2025-02-18,224.70,227.47,223.47,226.76,3605000
2025-02-19,227.15,231.62,226.26,230.53,2635700
2025-02-20,232.00,233.44,228.75,231.07,2642300
2025-02-21,231.76,231.85,223.13,223.98,2947000
2025-02-24,224.97,225.34,218.54,218.72,3372800
2025-02-25,218.45,219.22,213.58,214.21,3514200
2025-02-26,216.95,219.80,215.58,217.94,2562600
2025-02-27,219.18,219.50,204.92,205.25,4349100
2025-02-28,205.37,210.05,203.12,208.52,3722100
2025-03-03,211.51,211.65,199.32,201.15,5067800
2025-03-04,200.80,207.62,196.70,202.27,5487900
2025-03-05,204.54,207.29,200.57,206.63,3312100
2025-03-06,199.58,203.72,197.33,198.04,5088700
2025-03-07,198.80,204.54,196.48,203.85,3713300
2025-03-10,198.82,200.28,191.56,194.42,5410800
2025-03-11,194.52,196.31,189.11,192.12,3776600
2025-03-12,196.70,198.69,194.32,196.08,3143000
2025-03-13,196.07,199.24,193.18,195.10,2504200
2025-03-14,198.50,201.71,198.32,201.12,3696800
2025-03-17,200.31,206.26,200.21,204.44,2743100
2025-03-18,202.11,203.05,200.18,201.47,2470800
2025-03-19,201.50,206.43,200.00,203.11,2330800
2025-03-20,200.52,203.72,200.36,201.49,2265900
2025-03-21,197.94,200.14,196.37,199.38,2873400
2025-03-24,203.57,206.66,203.33,205.30,3947000
2025-03-25,205.05,205.71,203.56,204.19,1419100
2025-03-26,203.22,204.06,196.44,198.47,3595300
2025-03-27,195.87,197.04,193.38,194.56,3545900
2025-03-28,193.29,194.24,187.44,188.68,4122300
2025-03-31,184.70,188.30,182.12,188.17,3843000
2025-04-01,187.45,188.34,183.80,188.27,3108800
2025-04-02,185.39,192.02,184.73,189.48,2784800
2025-04-03,179.75,181.14,169.99,170.36,9982600
2025-04-04,163.92,165.77,154.61,157.63,13988400
2025-04-07,152.03,170.42,148.31,161.27,18686500
2025-04-08,167.64,169.85,151.11,154.86,11023300
2025-04-09,156.10,185.56,154.94,183.62,23539500
2025-04-10,174.56,175.65,162.39,168.61,14499000
2025-04-11,166.98,173.11,164.42,172.26,9890900
2025-04-14,177.55,177.55,170.79,173.40,5657400
2025-04-15,174.32,176.63,173.25,174.11,3201100
2025-04-16,166.33,169.58,161.83,167.39,10205000
2025-04-17,168.57,168.75,164.81,166.55,4921000
2025-04-21,163.14,163.90,160.26,163.64,4769700
2025-04-22,165.23,168.02,164.62,166.82,4996000
2025-04-23,175.25,177.14,172.35,173.07,7323800
2025-04-24,177.80,183.56,176.54,183.03,6873400
2025-04-25,181.20,186.12,180.66,184.81,4224900
2025-04-28,183.89,185.76,180.44,184.48,2875400
2025-04-29,182.24,184.54,181.25,182.51,3527000
2025-04-30,178.00,184.38,176.77,183.84,3580500
2025-05-01,186.00,187.35,183.47,183.59,3997600
2025-05-02,187.95,191.87,187.83,190.03,4581400
2025-05-05,188.19,190.46,187.93,188.57,3323200
2025-05-06,185.26,188.25,184.27,186.77,2844600
