Date,Open,High,Low,Close,Volume
2024-10-07,53.00,53.01,50.04,50.55,634200
2024-10-08,50.92,50.94,47.34,48.08,1146900
2024-10-09,48.08,49.54,47.40,48.33,839200
2024-10-10,48.90,48.90,45.76,45.98,732600
2024-10-11,45.42,49.54,45.30,48.82,885000
2024-10-14,49.01,51.40,48.66,50.72,503900
2024-10-15,50.72,50.72,45.79,46.63,1406100
2024-10-16,47.10,49.30,46.70,49.05,622400
2024-10-17,49.20,49.33,47.78,48.01,435200
2024-10-18,49.30,51.57,48.71,49.34,960000
2024-10-21,49.70,50.13,47.80,48.68,411900
2024-10-22,48.00,48.21,46.00,46.53,1060100
2024-10-23,46.05,46.64,44.43,45.41,670300
2024-10-24,46.50,47.25,45.60,46.21,428900
2024-10-25,46.07,46.33,43.50,43.51,832000
2024-10-28,43.68,44.77,42.24,43.34,846900
2024-10-29,43.07,46.22,42.46,45.22,740500
2024-10-30,45.32,46.44,44.56,45.51,578200
2024-10-31,45.50,45.65,44.07,44.62,605100
2024-11-01,45.60,46.36,44.68,46.06,478900
2024-11-04,45.89,49.64,45.42,49.50,824700
2024-11-05,48.80,48.81,39.34,44.50,3058300
2024-11-06,45.96,59.16,45.51,56.97,3135600
2024-11-07,55.03,59.99,54.03,56.79,2432100
2024-11-08,56.79,75.00,56.06,73.77,3016000
2024-11-11,69.78,78.00,66.50,77.62,1693900
2024-11-12,76.20,79.49,65.90,68.04,1726900
2024-11-13,70.00,74.46,66.11,68.08,1073600
2024-11-14,68.00,68.57,55.56,56.63,1922800
2024-11-15,56.51,56.72,50.98,52.40,1600800
2024-11-18,52.60,54.31,48.26,54.06,1211600
2024-11-19,52.50,55.18,50.60,53.97,1472800
2024-11-20,55.95,60.40,55.30,58.15,1417300
2024-11-21,58.04,58.86,52.09,52.48,1739100
2024-11-22,53.20,59.98,52.21,58.60,1188900
2024-11-25,63.43,67.46,61.00,63.89,1606600
2024-11-26,63.50,64.96,58.42,58.87,891100
2024-11-27,61.00,65.34,61.00,62.98,682500
2024-11-29,66.13,67.22,62.30,62.59,445100
2024-12-02,65.62,68.95,62.64,62.94,852500
2024-12-03,62.47,62.47,53.81,56.29,1975100
2024-12-04,58.00,60.20,55.90,57.99,1495700
2024-12-05,56.84,58.31,52.88,53.16,1848100
