Date,Open,High,Low,Close,Volume
2024-10-07,0.49,0.50,0.48,0.49,71800
2024-10-08,0.48,0.50,0.47,0.49,37800
2024-10-09,0.49,0.51,0.49,0.50,62900
2024-10-10,0.50,0.50,0.49,0.50,19000
2024-10-11,0.49,0.51,0.49,0.50,100900
2024-10-14,0.51,0.52,0.50,0.52,30300
2024-10-15,0.52,0.52,0.49,0.51,90500
2024-10-16,0.52,0.54,0.52,0.53,217200
2024-10-17,0.53,0.61,0.52,0.57,625600
2024-10-18,0.62,0.65,0.60,0.60,371400
2024-10-21,0.64,0.66,0.61,0.62,308200
2024-10-22,0.61,0.65,0.61,0.62,187600
2024-10-23,0.64,0.64,0.61,0.63,194500
2024-10-24,0.63,0.63,0.59,0.60,204800
2024-10-25,0.60,0.67,0.58,0.65,385200
2024-10-28,0.68,0.70,0.65,0.68,267700
2024-10-29,0.68,0.69,0.64,0.66,218200
2024-10-30,0.67,0.68,0.65,0.66,187200
2024-10-31,0.67,0.68,0.60,0.63,148000
2024-11-01,0.65,0.65,0.61,0.64,122800
2024-11-04,0.60,0.62,0.56,0.57,387900
2024-11-05,0.59,0.62,0.55,0.57,171200
2024-11-06,0.80,1.29,0.78,1.02,83395300
2024-11-07,1.05,1.10,0.92,1.02,3487600
2024-11-08,1.04,1.09,0.99,1.01,1656800
2024-11-11,1.02,1.07,0.91,1.04,739900
2024-11-12,0.98,1.05,0.96,1.02,569600
2024-11-13,1.04,1.05,0.99,1.01,381300
2024-11-14,1.03,1.03,0.91,0.94,555700
2024-11-15,0.95,1.33,0.95,1.28,4505100
2024-11-18,1.28,1.29,1.11,1.21,872400
2024-11-19,1.19,1.30,1.17,1.27,972000
2024-11-20,1.27,1.27,1.14,1.14,337700
2024-11-21,1.15,1.39,1.12,1.35,601700
2024-11-22,1.37,1.40,1.29,1.33,579300
2024-11-25,1.33,1.39,1.30,1.32,248300
2024-11-26,1.30,1.31,1.25,1.25,314000
2024-11-27,1.29,1.29,1.21,1.21,180500
2024-11-29,1.20,1.25,1.19,1.23,102300
2024-12-02,1.21,1.22,1.11,1.11,565200
2024-12-03,1.10,1.14,1.06,1.07,534100
2024-12-04,1.07,1.19,1.07,1.14,308200
2024-12-05,1.11,1.16,1.02,1.02,493000
2024-12-06,1.04,1.11,1.04,1.08,453100
2024-12-09,1.12,1.15,1.03,1.03,347000
2024-12-10,1.03,1.05,0.99,1.04,634800
2024-12-11,1.09,1.20,1.07,1.20,1373900
2024-12-12,1.18,1.19,1.11,1.13,436300
2024-12-13,1.13,1.15,1.10,1.13,141400
2024-12-16,1.15,1.15,1.11,1.14,151600
2024-12-17,1.12,1.15,1.08,1.08,290700
2024-12-18,1.12,1.13,1.06,1.10,264800
2024-12-19,1.12,1.12,1.06,1.08,197200
2024-12-20,1.08,1.12,1.06,1.10,200500
2024-12-23,1.11,1.12,1.08,1.10,113900
2024-12-24,1.09,1.12,1.08,1.11,47000
2024-12-26,1.15,1.26,1.13,1.19,558000
2024-12-27,1.15,1.16,1.09,1.12,316500
2024-12-30,1.13,1.15,1.09,1.14,207300
2024-12-31,1.15,1.16,1.12,1.16,110100
2025-01-02,1.16,1.24,1.14,1.19,297000
2025-01-03,1.23,1.23,1.15,1.17,250600
2025-01-06,1.20,1.21,1.15,1.16,184700
2025-01-07,1.17,1.17,1.13,1.13,84200
2025-01-08,1.13,1.14,1.10,1.14,112500
2025-01-10,1.13,1.13,1.06,1.11,309000
2025-01-13,1.07,1.11,1.06,1.08,175900
2025-01-14,1.11,1.11,1.07,1.09,125600
2025-01-15,1.12,1.16,1.08,1.15,292400
2025-01-16,1.16,1.17,1.10,1.10,200600
2025-01-17,1.12,1.21,1.11,1.20,412300
2025-01-21,1.32,1.38,1.24,1.32,899300
2025-01-22,1.37,1.42,1.29,1.42,782400
2025-01-23,1.44,1.48,1.38,1.44,767100
2025-01-24,1.46,1.47,1.34,1.40,442900
2025-01-27,1.37,1.37,1.20,1.22,499400
2025-01-28,1.20,1.26,1.16,1.26,241500
2025-01-29,1.27,1.31,1.22,1.23,222500
2025-01-30,1.22,1.29,1.22,1.24,129300
2025-01-31,1.27,1.31,1.25,1.25,181500
2025-02-03,1.23,1.33,1.22,1.32,222000
2025-02-04,1.35,1.38,1.32,1.35,316600
2025-02-05,1.37,1.37,1.29,1.31,297700
2025-02-06,1.34,1.34,1.28,1.31,137500
2025-02-07,1.30,1.32,1.26,1.28,140400
2025-02-10,1.32,1.32,1.27,1.28,173300
2025-02-11,1.31,1.31,1.24,1.26,188700
2025-02-12,1.25,1.27,1.24,1.24,134200
2025-02-13,1.26,1.28,1.24,1.25,198300
2025-02-14,1.28,1.35,1.25,1.35,714500
2025-02-18,1.35,1.46,1.32,1.32,703200
2025-02-19,1.34,1.45,1.34,1.40,931000
2025-02-20,1.40,1.58,1.40,1.49,1736700
2025-02-21,1.49,1.76,1.42,1.68,6615600
2025-02-24,1.70,1.70,1.45,1.48,764400
2025-02-25,1.45,1.48,1.30,1.30,581600
2025-02-26,1.40,1.50,1.36,1.48,419600
2025-02-27,1.50,1.57,1.42,1.42,561800
2025-02-28,1.42,1.45,1.39,1.43,173100
2025-03-03,1.41,1.43,1.31,1.34,193400
2025-03-04,1.31,1.33,1.25,1.31,296800
2025-03-05,1.32,1.35,1.32,1.35,179800
2025-03-06,1.35,1.38,1.31,1.34,84800
2025-03-07,1.35,1.35,1.26,1.28,125600
2025-03-10,1.29,1.30,1.23,1.25,251200
2025-03-11,1.25,1.35,1.19,1.34,280600
2025-03-12,1.36,1.50,1.35,1.50,401700
2025-03-13,1.49,1.53,1.41,1.50,352500
2025-03-14,1.52,1.60,1.47,1.59,467500
2025-03-17,1.56,1.62,1.54,1.59,247100
2025-03-18,1.60,1.60,1.54,1.58,261500
2025-03-19,1.58,1.63,1.55,1.61,196600
2025-03-20,1.61,1.63,1.56,1.62,341100
2025-03-21,1.69,1.85,1.63,1.79,2459800
2025-03-24,1.82,2.09,1.82,1.99,1933000
2025-03-25,2.00,2.04,1.83,1.83,764400
2025-03-26,1.84,1.89,1.72,1.79,357900
2025-03-27,1.77,1.82,1.65,1.68,369900
2025-03-28,1.70,1.73,1.58,1.62,416800
2025-03-31,1.59,1.61,1.51,1.55,592500
2025-04-01,1.54,1.62,1.54,1.59,438200
2025-04-02,1.54,1.57,1.54,1.56,231100
2025-04-03,1.45,1.61,1.43,1.58,642300
2025-04-04,1.56,1.56,1.32,1.42,1139100
2025-04-07,1.30,1.53,1.30,1.35,694300
2025-04-08,1.45,1.49,1.19,1.19,574200
2025-04-09,1.15,1.34,1.15,1.29,595500
2025-04-10,1.29,1.36,1.27,1.32,272700
2025-04-11,1.36,1.50,1.35,1.46,429100
2025-04-14,1.56,1.60,1.46,1.49,355200
2025-04-15,1.49,1.49,1.43,1.43,173100
2025-04-16,1.44,1.58,1.42,1.58,579200
2025-04-17,1.55,1.55,1.39,1.41,473400
2025-04-21,1.40,1.41,1.30,1.33,233300
2025-04-22,1.35,1.35,1.24,1.32,190400
2025-04-23,1.34,1.46,1.34,1.34,1629300
2025-04-24,1.44,1.73,1.43,1.67,1720900
2025-04-25,1.70,1.72,1.63,1.69,1070300
2025-04-28,1.70,1.74,1.68,1.71,592000
2025-04-29,1.73,1.74,1.65,1.68,470500
2025-04-30,1.65,1.73,1.60,1.70,407900
2025-05-01,1.71,1.73,1.59,1.61,301500
2025-05-02,1.64,1.68,1.62,1.66,249900
2025-05-05,1.68,1.70,1.61,1.65,209800
2025-05-06,1.63,1.67,1.60,1.66,519600
2025-05-07,1.67,1.67,1.60,1.60,122100
2025-05-08,1.63,1.66,1.60,1.63,188000
2025-05-09,1.65,1.65,1.57,1.60,184000
2025-05-12,1.60,1.60,1.41,1.43,604000
2025-05-13,1.44,1.45,1.36,1.37,437200
2025-05-14,1.35,1.38,1.28,1.35,888500
2025-05-15,1.33,1.34,1.21,1.24,1290000
2025-05-16,1.26,1.28,1.13,1.17,7053300
2025-05-19,1.16,1.39,1.15,1.33,727400
2025-05-20,1.33,1.38,1.22,1.30,397600
2025-05-21,1.30,1.33,1.26,1.28,152100
2025-05-22,1.25,1.27,1.23,1.27,174400
2025-05-23,1.26,1.29,1.24,1.26,243900
2025-05-27,1.25,1.35,1.24,1.34,571100
2025-05-28,1.33,1.37,1.26,1.26,203000
2025-05-29,1.27,1.30,1.21,1.24,287700
2025-05-30,1.21,1.26,1.17,1.19,302700
2025-06-02,1.20,1.29,1.19,1.23,864700
2025-06-03,1.27,1.30,1.20,1.29,423700
2025-06-04,1.27,1.32,1.27,1.30,269800
2025-06-05,1.35,1.37,1.30,1.32,247300
2025-06-06,1.33,1.36,1.30,1.33,342400
2025-06-09,1.35,1.36,1.31,1.33,218000
2025-06-10,1.33,1.33,1.27,1.29,265300
2025-06-11,1.29,1.31,1.28,1.28,147000
2025-06-12,1.28,1.30,1.25,1.28,152500
2025-06-13,1.29,1.29,1.23,1.25,204400
2025-06-16,1.26,1.31,1.22,1.28,380600
2025-06-17,1.28,1.36,1.28,1.35,466500
2025-06-18,1.33,1.44,1.32,1.40,753200
2025-06-20,1.43,1.43,1.36,1.36,357200
2025-06-23,1.39,1.41,1.36,1.40,391600
2025-06-24,1.40,1.42,1.36,1.40,368700
2025-06-25,1.41,1.42,1.38,1.40,327000
2025-06-26,1.40,1.53,1.39,1.44,531000
2025-06-27,1.45,1.49,1.43,1.44,351800
2025-06-30,1.43,1.48,1.35,1.35,495300
2025-07-01,1.36,1.39,1.34,1.39,273600
2025-07-02,1.39,1.40,1.33,1.38,309200
2025-07-03,1.36,1.38,1.31,1.35,166600
2025-07-07,1.32,1.34,1.30,1.34,237900
2025-07-08,1.35,1.60,1.33,1.56,1840600
2025-07-09,1.59,1.59,1.49,1.54,429900
2025-07-10,1.52,1.74,1.52,1.67,998600
2025-07-11,1.67,1.74,1.66,1.70,564500
2025-07-14,1.73,2.02,1.72,1.82,2459000
2025-07-15,1.86,1.90,1.76,1.90,712500
2025-07-16,1.94,1.97,1.82,1.94,775700
2025-07-17,2.02,2.05,1.86,1.90,853200
2025-07-18,1.91,2.00,1.87,1.89,461200
2025-07-21,1.90,1.94,1.87,1.93,382000
2025-07-22,1.92,1.98,1.81,1.96,776000
2025-07-23,1.97,2.06,1.95,2.00,796800
2025-07-24,1.97,2.00,1.88,1.90,252200
2025-07-25,1.89,1.93,1.88,1.93,201700
2025-07-28,1.94,1.94,1.82,1.86,406100
2025-07-29,1.83,1.83,1.68,1.80,488000
2025-07-30,1.80,1.80,1.62,1.68,665100
2025-07-31,1.62,1.66,1.57,1.57,500900
2025-08-01,1.57,1.61,1.51,1.59,414900
2025-08-04,1.58,1.64,1.55,1.59,128500
2025-08-05,1.58,1.60,1.53,1.58,159800
2025-08-06,1.56,1.61,1.56,1.57,165900
