Date,Open,High,Low,Close,Volume
2024-10-07,181.60,185.00,180.93,184.51,12054200
2024-10-08,184.96,186.54,182.03,186.05,10394200
2024-10-09,187.80,188.00,182.26,187.14,11925000
2024-10-10,185.86,187.08,184.40,185.78,6443800
2024-10-11,188.17,191.49,188.01,190.81,12163900
2024-10-14,190.61,194.25,190.50,192.21,11714400
2024-10-15,192.96,193.62,184.25,187.13,21812700
2024-10-16,189.78,190.01,186.66,187.48,18689200
2024-10-17,203.35,212.60,201.97,205.84,62274700
2024-10-18,205.95,205.95,200.76,200.78,21030800
2024-10-21,200.81,203.44,199.66,201.95,14820000
2024-10-22,199.07,200.17,197.11,198.48,11165100
2024-10-23,196.68,203.13,196.23,200.86,16535700
2024-10-24,198.96,200.50,197.41,197.93,9935800
2024-10-25,200.25,205.20,200.00,203.44,13434900
2024-10-28,199.26,199.74,194.52,194.68,20135300
2024-10-29,194.39,198.79,193.60,196.94,13779100
2024-10-30,194.38,195.45,192.61,194.48,10007800
2024-10-31,192.86,192.86,187.66,190.54,13062700
2024-11-01,194.20,198.17,192.55,192.95,12691200
2024-11-04,193.70,194.36,190.60,191.56,10917300
2024-11-05,193.58,198.34,193.49,195.76,10339200
2024-11-06,192.04,194.26,188.50,193.22,19834900
2024-11-07,196.31,202.01,196.25,201.19,14865200
2024-11-08,203.89,206.61,200.02,201.20,13112100
2024-11-11,197.96,198.20,191.49,194.05,16610000
2024-11-12,193.83,194.00,189.72,191.77,11819000
2024-11-13,192.44,192.48,186.50,186.66,13882200
2024-11-14,188.40,192.66,187.54,188.50,11453900
2024-11-15,188.18,188.80,184.81,186.01,9834800
2024-11-18,184.35,188.00,183.49,187.48,10681500
2024-11-19,189.13,190.02,188.02,189.67,9390100
2024-11-20,188.85,188.85,184.06,188.36,10624500
2024-11-21,189.41,192.30,186.74,191.24,18137300
2024-11-22,192.95,193.00,189.43,190.08,8838900
2024-11-25,188.09,188.25,183.71,185.08,14380000
2024-11-26,185.40,185.90,182.33,183.84,10186600
2024-11-27,182.00,182.45,178.05,181.19,9895200
2024-11-29,181.51,186.95,181.18,184.66,8045300
2024-12-02,189.34,195.29,188.94,194.40,16646900
2024-12-03,193.50,199.00,192.60,198.89,11217700
2024-12-04,199.85,202.60,198.27,200.69,12761100
2024-12-05,201.25,205.63,200.75,204.30,12483700
2024-12-06,202.00,203.19,199.93,203.02,9672900
2024-12-09,200.93,203.13,198.98,199.17,9699700
2024-12-10,199.10,199.91,190.37,191.94,15307900
2024-12-11,194.67,196.00,193.26,194.60,9027600
2024-12-12,194.63,195.42,191.29,191.46,7944900
2024-12-13,198.51,202.54,197.27,200.99,19477000
2024-12-16,203.20,205.50,200.87,202.22,15139300
2024-12-17,201.00,202.40,197.47,200.66,11169400
2024-12-18,203.00,205.24,193.96,195.56,14721100
2024-12-19,198.40,198.57,193.95,194.64,10553400
2024-12-20,192.60,198.08,191.98,197.21,16170100
2024-12-23,201.00,208.05,200.91,207.36,17847000
2024-12-24,205.92,207.20,204.55,206.33,7634500
2024-12-26,205.50,208.16,202.89,203.06,8044900
2024-12-27,204.50,204.50,199.05,201.63,10664400
2024-12-30,199.84,201.97,198.48,200.39,11235200
2024-12-31,200.79,201.78,197.36,197.49,6427900
2025-01-02,197.00,203.77,196.69,201.58,10951400
2025-01-03,204.10,208.80,203.70,208.61,10261900
2025-01-06,218.77,222.20,215.69,220.01,24339900
2025-01-07,221.24,221.48,211.32,211.42,17010000
2025-01-08,209.97,210.30,205.92,207.12,13262700
