Date,Open,High,Low,Close,Volume
2024-10-07,112.78,113.68,111.16,111.80,2112800
2024-10-08,111.80,114.58,111.25,114.53,2411100
2024-10-09,114.40,116.31,114.26,115.57,2544400
2024-10-10,114.76,116.59,114.76,115.71,2025300
2024-10-11,115.31,118.34,114.41,117.90,2712800
2024-10-14,118.82,118.82,117.10,117.97,2641200
2024-10-15,118.48,118.54,115.92,117.68,2352800
2024-10-16,118.00,118.60,116.74,117.94,1288800
2024-10-17,118.74,118.90,117.02,117.63,1635500
2024-10-18,117.43,119.43,115.30,118.76,2627600
2024-10-21,117.89,119.50,116.85,118.21,1916400
2024-10-22,116.88,120.78,116.61,118.94,2859200
2024-10-23,117.81,119.35,115.86,117.17,2177600
2024-10-24,117.53,118.46,116.59,118.21,1372900
2024-10-25,119.79,121.44,118.19,119.47,2881100
2024-10-28,120.18,120.24,118.48,118.98,3063600
2024-10-29,119.35,121.89,118.82,121.62,3042100
2024-10-30,121.62,123.85,121.13,121.98,2602100
2024-10-31,121.00,121.56,117.79,120.21,3454800
2024-11-01,119.86,120.81,118.88,119.19,3333900
2024-11-04,119.18,120.36,117.89,118.27,3396800
2024-11-05,119.03,120.42,118.49,119.94,2243800
2024-11-06,122.55,124.98,122.50,124.81,3891100
2024-11-07,127.55,132.65,127.49,132.53,8526500
2024-11-08,116.11,126.95,116.00,125.13,13646200
2024-11-11,125.37,131.80,125.13,129.34,6755600
2024-11-12,128.36,131.33,128.36,131.20,3241100
2024-11-13,130.90,132.56,127.13,127.25,4263500
2024-11-14,127.47,127.47,123.30,125.88,2680500
2024-11-15,124.25,124.50,117.74,118.15,5125100
2024-11-18,117.97,119.06,116.59,117.26,4680900
2024-11-19,116.23,119.61,116.04,119.42,3757800
2024-11-20,121.85,125.40,120.76,123.90,5988400
2024-11-21,125.34,128.55,122.31,127.35,4378100
2024-11-22,127.03,129.81,126.38,129.70,3683400
2024-11-25,131.49,131.85,128.38,129.35,5323200
2024-11-26,129.24,131.95,128.59,128.98,3505400
2024-11-27,128.68,128.68,125.60,128.15,2944700
2024-11-29,128.13,129.18,127.51,128.55,2214200
2024-12-02,128.59,136.14,127.50,135.16,5673500
2024-12-03,135.00,139.23,134.00,139.16,3908300
2024-12-04,140.54,141.53,138.86,139.51,2940600
