Date,Open,High,Low,Close,Volume
2024-10-07,588.79,592.44,583.33,583.56,2591100
2024-10-08,588.06,589.21,579.56,581.58,2231400
2024-10-09,582.16,592.80,580.61,591.22,2207700
2024-10-10,595.18,598.95,592.76,597.70,2143200
2024-10-11,596.49,601.52,596.20,598.05,1909700
2024-10-14,599.11,608.63,597.38,605.40,2447100
2024-10-15,552.02,569.70,543.00,556.29,11939400
2024-10-16,557.01,576.18,555.12,571.34,5103900
2024-10-17,560.58,569.47,558.72,566.03,5588700
2024-10-18,566.85,570.95,563.04,569.61,3687000
2024-10-21,569.64,579.28,568.70,571.47,3018000
2024-10-22,567.85,573.04,565.49,569.86,2593800
2024-10-23,572.13,574.14,560.00,564.64,2911900
2024-10-24,564.99,571.70,560.31,560.81,2590200
2024-10-25,566.16,571.50,563.61,564.56,2513700
2024-10-28,566.25,568.33,562.81,565.24,1826500
2024-10-29,562.82,567.68,560.66,562.13,2600300
2024-10-30,561.25,570.31,560.95,562.96,2323600
2024-10-31,560.88,568.45,560.88,564.50,2490000
2024-11-01,565.12,570.33,563.90,567.56,2548300
2024-11-04,566.74,568.59,555.42,557.77,2656600
2024-11-05,558.28,568.74,554.40,567.03,2608100
2024-11-06,603.90,605.50,590.85,596.69,6591300
2024-11-07,598.69,607.64,596.15,605.45,5254300
2024-11-08,609.00,619.80,605.20,615.81,3875800
2024-11-11,616.90,630.73,613.92,625.25,3003200
2024-11-12,619.58,624.48,613.78,614.67,2809400
2024-11-13,613.00,613.01,603.06,605.87,3409400
2024-11-14,603.48,606.00,588.99,593.15,3079200
2024-11-15,591.92,598.93,589.95,592.23,3423900
2024-11-18,589.44,594.14,585.32,589.65,2577100
2024-11-19,582.72,586.84,576.77,577.00,3198300
2024-11-20,582.71,602.64,581.55,600.50,3928600
2024-11-21,600.00,604.00,596.73,597.49,2722900
2024-11-22,598.56,601.26,588.67,590.87,3197900
2024-11-25,597.58,609.84,595.01,605.83,5146200
2024-11-26,608.24,608.47,598.88,606.79,2693600
2024-11-27,611.03,617.45,606.70,608.38,2269800
2024-11-29,608.80,615.78,606.62,610.20,2010800
2024-12-02,614.00,614.00,600.77,608.52,3364900
2024-12-03,610.85,615.75,604.82,605.23,2329900
2024-12-04,611.02,622.83,606.97,610.79,4147600
2024-12-05,605.64,608.99,573.89,578.97,5943700
2024-12-06,582.11,582.11,544.14,549.62,13003600
