Date,Open,High,Low,Close,Volume
2024-10-07,41.28,42.42,40.27,41.02,6121000
2024-10-08,40.69,43.19,40.58,42.89,6913300
2024-10-09,42.97,43.64,42.03,43.03,5151100
2024-10-10,42.46,44.51,41.71,43.18,5360700
2024-10-11,42.91,47.35,42.70,47.02,8278300
2024-10-14,48.69,56.08,48.54,54.07,20097200
2024-10-15,54.00,57.40,52.89,52.91,12481400
2024-10-16,52.89,54.97,50.47,54.38,7322500
2024-10-17,54.10,54.36,49.69,52.05,6905000
2024-10-18,52.71,54.30,51.66,53.13,6312000
2024-10-21,53.81,54.43,51.60,52.54,5419700
2024-10-22,52.24,53.92,51.47,51.96,4576200
2024-10-23,51.50,52.80,49.01,49.75,5246700
2024-10-24,51.40,54.47,50.31,51.09,7154200
2024-10-25,51.26,52.50,50.54,50.58,4281500
2024-10-28,51.70,53.60,50.80,51.98,5378900
2024-10-29,51.19,51.64,48.08,50.42,6514600
2024-10-30,49.99,53.15,49.90,51.13,4680500
2024-10-31,50.69,51.06,48.65,48.68,3463900
2024-11-01,49.10,50.00,47.62,48.48,3719200
2024-11-04,48.66,49.60,47.08,47.24,3009200
2024-11-05,48.26,52.00,48.03,50.60,6668200
2024-11-06,53.69,54.48,51.91,53.98,7246200
2024-11-07,54.25,57.27,53.41,55.47,12705500
2024-11-08,65.27,82.25,64.59,81.00,39961500
2024-11-11,79.39,86.07,76.63,77.48,16474200
2024-11-12,71.10,72.35,65.15,69.43,19378400
2024-11-13,70.21,72.78,67.38,67.80,11270200
2024-11-14,68.23,68.43,65.71,67.39,5727600
2024-11-15,67.68,69.65,64.60,68.36,6473200
2024-11-18,68.56,73.94,67.50,68.27,7773300
2024-11-19,67.52,71.50,67.18,71.11,5299900
2024-11-20,71.39,73.94,68.60,70.40,5278500
2024-11-21,71.33,75.19,69.88,71.43,6850400
2024-11-22,71.92,74.84,70.90,74.06,5652500
2024-11-25,77.19,80.87,73.94,79.52,9615000
2024-11-26,78.15,80.77,76.36,78.51,5729400
2024-11-27,80.00,81.97,76.41,78.43,5326900
2024-11-29,78.77,79.39,76.86,78.79,2318400
2024-12-02,74.66,75.50,66.88,67.39,12619000
2024-12-03,68.50,74.23,67.63,72.78,9166600
2024-12-04,72.90,75.25,72.11,74.63,5898900
2024-12-05,74.52,75.05,72.44,73.41,3572000
2024-12-06,74.50,77.95,74.00,77.16,4714900
2024-12-09,77.65,79.20,74.35,76.39,5170600
2024-12-10,76.72,80.97,73.44,74.02,6343600
2024-12-11,76.04,78.69,75.03,78.40,4514700
2024-12-12,78.88,85.29,76.67,77.08,9145100
2024-12-13,80.21,88.95,80.17,84.46,13372800
2024-12-16,85.33,85.48,81.22,83.91,5700900
2024-12-17,83.91,84.75,81.11,82.99,3718300
2024-12-18,83.69,86.99,72.20,73.32,8769600
2024-12-19,75.54,76.75,66.95,67.23,7778200
2024-12-20,66.00,71.37,65.55,68.40,6642100
2024-12-23,68.82,69.45,66.70,68.00,3568400
2024-12-24,68.31,69.48,67.49,68.51,2111700
2024-12-26,67.91,72.85,67.31,72.03,4009400
2024-12-27,71.09,71.62,66.95,67.98,3995400
2024-12-30,66.14,66.71,63.00,63.32,5127200
2024-12-31,64.21,64.82,61.21,61.57,3642700
2025-01-02,62.48,63.45,60.58,60.80,3745300
2025-01-03,61.10,64.90,60.62,64.08,4215600
2025-01-06,65.09,65.77,63.10,63.52,4788900
2025-01-07,63.35,63.88,58.92,60.25,5195600
2025-01-08,58.65,59.94,57.55,59.22,4119500
2025-01-10,57.89,58.03,55.78,57.74,5175200
2025-01-13,55.39,57.80,55.20,57.07,5210300
2025-01-14,58.68,59.30,56.66,57.00,3730400
2025-01-15,62.08,64.19,60.89,62.67,6298000
2025-01-16,62.17,64.54,61.83,64.50,3853500
2025-01-17,65.80,66.76,62.88,62.96,4407800
2025-01-21,64.00,65.10,62.03,64.01,3152300
2025-01-22,64.45,65.83,63.45,65.55,4025000
2025-01-23,64.22,70.45,64.07,69.31,4517600
2025-01-24,69.31,69.94,66.76,67.44,3176800
2025-01-27,64.67,67.97,62.91,65.01,3609800
2025-01-28,65.29,66.80,63.28,66.52,2066700
2025-01-29,65.13,66.56,62.81,66.07,3815100
2025-01-30,67.44,69.10,66.61,67.32,2974700
2025-01-31,68.15,68.70,63.89,64.75,2986800
2025-02-03,61.30,63.47,59.94,63.17,3951800
2025-02-04,63.17,65.99,63.12,63.30,2457300
2025-02-05,63.59,65.27,63.00,64.98,2933200
2025-02-06,65.47,66.12,63.45,65.14,2854000
2025-02-07,67.74,72.40,67.38,68.85,6127300
2025-02-10,71.13,73.80,69.83,70.94,7438800
2025-02-11,69.50,70.50,66.76,67.34,13487900
2025-02-12,83.44,90.44,80.00,88.77,35335900
2025-02-13,87.79,96.43,83.59,84.16,19781600
2025-02-14,80.19,86.10,80.02,82.42,9115200
2025-02-18,83.30,89.64,83.05,86.89,9107100
2025-02-19,86.50,88.69,81.82,83.11,7380300
2025-02-20,82.95,83.32,78.42,79.21,6467900
2025-02-21,80.23,80.35,71.12,71.77,5986800
2025-02-24,72.25,72.75,67.60,70.50,6236100
2025-02-25,69.23,69.89,63.69,66.91,7560500
2025-02-26,68.35,70.74,67.65,68.78,4872900
2025-02-27,70.89,71.78,66.32,66.73,4512600
2025-02-28,64.65,67.35,64.01,66.67,3675000
2025-03-03,68.09,69.19,61.06,61.69,4423700
2025-03-04,59.15,62.24,56.30,59.26,6987200
2025-03-05,59.67,60.99,57.55,59.93,3400400
2025-03-06,57.82,58.71,53.81,55.48,4814500
2025-03-07,54.81,55.00,49.90,53.69,6393000
2025-03-10,50.70,50.85,45.37,47.40,7430400
2025-03-11,46.97,48.56,45.01,46.65,5796800
2025-03-12,50.50,51.47,47.05,49.66,7147700
2025-03-13,48.98,49.73,46.01,46.31,4585200
2025-03-14,47.85,49.24,47.23,48.54,4468900
2025-03-17,48.25,51.04,47.86,50.04,5953700
2025-03-18,49.00,49.50,46.46,47.79,4068400
2025-03-19,48.35,51.69,48.06,51.00,4822200
2025-03-20,50.00,52.57,49.64,49.70,3400500
2025-03-21,47.89,52.17,47.82,51.96,4447800
2025-03-24,54.22,55.44,53.38,55.14,5446100
2025-03-25,54.85,55.37,53.25,55.00,3011200
