Date,Open,High,Low,Close,Volume
2024-10-07,5.70,5.74,5.29,5.40,3124500
2024-10-08,5.27,5.62,5.26,5.59,2219800
2024-10-09,5.49,5.54,5.33,5.39,2284300
2024-10-10,5.34,5.45,5.30,5.40,2173200
2024-10-11,5.45,5.54,5.34,5.53,1909500
2024-10-14,5.60,5.74,5.53,5.74,2126200
2024-10-15,5.74,5.74,5.45,5.72,2844300
2024-10-16,5.90,6.73,5.86,6.60,11187700
2024-10-17,6.72,6.97,6.54,6.64,9225500
2024-10-18,6.79,7.04,6.54,6.84,5644800
2024-10-21,7.05,7.09,6.71,6.94,5479800
2024-10-22,6.82,6.92,6.49,6.67,3418700
2024-10-23,6.60,6.70,6.27,6.36,3718800
2024-10-24,6.39,6.45,6.07,6.17,3654600
2024-10-25,6.24,6.33,6.11,6.17,2722400
2024-10-28,6.21,6.54,6.20,6.49,3670100
2024-10-29,6.54,6.56,6.36,6.42,2345300
2024-10-30,6.36,6.50,6.30,6.33,3552600
2024-10-31,6.30,6.38,5.93,6.02,3740300
2024-11-01,5.88,5.97,5.56,5.60,6035100
2024-11-04,5.49,5.67,5.33,5.63,4851400
2024-11-05,5.64,5.87,5.58,5.85,3098400
2024-11-06,6.10,6.17,5.72,6.05,4814900
2024-11-07,6.09,6.44,6.09,6.35,3348700
2024-11-08,6.40,6.53,6.12,6.31,2905500
2024-11-11,6.34,6.46,6.00,6.42,3849100
2024-11-12,6.45,6.78,6.33,6.71,3962000
2024-11-13,6.80,6.87,6.34,6.38,3636300
2024-11-14,6.40,6.70,6.36,6.70,3782900
2024-11-15,6.75,7.15,6.55,6.64,6695600
2024-11-18,7.05,7.34,6.88,7.29,7987100
2024-11-19,7.30,7.32,7.14,7.23,3706300
2024-11-20,7.17,7.19,6.78,6.94,4652400
2024-11-21,7.02,7.13,6.88,7.06,4071700
2024-11-22,7.06,7.13,6.82,6.98,4583800
2024-11-25,7.06,7.10,6.76,6.96,4892800
2024-11-26,6.99,7.25,6.87,6.94,4028200
2024-11-27,6.98,7.10,6.80,6.80,4619600
2024-11-29,7.09,7.47,7.03,7.26,4329800
2024-12-02,7.36,7.38,6.97,7.03,7356100
2024-12-03,7.10,7.12,6.77,6.98,3910400
2024-12-04,7.06,7.20,6.84,6.88,3465500
2024-12-05,6.80,6.89,6.58,6.75,6184800
2024-12-06,6.73,6.85,6.63,6.69,3526700
2024-12-09,6.83,6.84,6.37,6.37,4140500
2024-12-10,6.41,6.49,6.30,6.41,3302000
2024-12-11,6.45,6.48,6.26,6.40,3978900
2024-12-12,6.35,6.43,6.14,6.16,4975000
2024-12-13,6.15,6.22,5.95,5.97,3468600
2024-12-16,5.97,5.99,5.80,5.83,4970800
2024-12-17,5.74,5.80,5.53,5.55,4952800
2024-12-18,5.58,5.78,5.33,5.35,5773300
2024-12-19,5.41,5.52,5.38,5.41,3363000
2024-12-20,5.33,5.45,5.28,5.30,5606700
2024-12-23,5.35,5.45,5.30,5.40,4329400
2024-12-24,5.52,5.55,5.23,5.35,2134800
2024-12-26,5.30,5.37,5.26,5.33,2660500
2024-12-27,5.30,5.35,5.07,5.20,5560900
