Date,Open,High,Low,Close,Volume
2024-10-07,525.14,525.72,520.81,521.91,3970500
2024-10-08,524.32,527.38,523.50,526.85,2626700
2024-10-09,526.87,531.03,526.31,530.45,2941800
2024-10-10,529.27,530.90,528.09,529.56,3637600
2024-10-11,529.50,533.43,529.39,532.71,5429200
2024-10-14,534.25,537.98,533.97,537.07,2638900
2024-10-15,537.38,537.61,531.82,532.98,4811300
2024-10-16,532.93,535.73,532.22,535.22,3237200
2024-10-17,538.62,538.76,535.15,535.30,3225300
2024-10-18,536.90,538.10,535.56,537.36,5070400
2024-10-21,536.72,537.61,533.71,536.53,3671400
2024-10-22,534.11,537.28,533.47,536.16,3366600
2024-10-23,534.28,534.72,528.02,531.27,5227800
2024-10-24,533.17,533.18,530.04,532.47,4477800
2024-10-25,534.65,537.26,531.41,532.26,4327200
2024-10-28,535.53,535.57,533.67,533.92,3408000
2024-10-29,533.12,535.82,531.75,534.77,3027600
2024-10-30,534.35,536.20,532.59,533.16,3067000
2024-10-31,529.09,529.23,522.51,522.67,7972800
2024-11-01,525.16,529.08,524.54,524.94,6106900
2024-11-04,525.06,526.28,522.03,523.80,3681500
2024-11-05,524.72,530.17,524.48,530.10,3300300
2024-11-06,541.65,544.14,538.17,543.30,7483300
2024-11-07,545.22,548.48,545.15,547.53,6051300
2024-11-08,548.07,551.24,548.06,549.95,6798000
2024-11-11,551.43,551.73,548.85,550.40,4893100
2024-11-12,550.39,550.94,546.43,548.75,4818600
2024-11-13,549.16,550.88,546.97,549.03,3701600
2024-11-14,549.10,549.57,544.88,545.54,3940300
2024-11-15,542.13,542.57,536.75,538.50,7360100
2024-11-18,538.92,541.93,538.15,540.73,4494500
2024-11-19,537.50,543.37,536.90,542.70,6978400
2024-11-20,542.78,543.07,537.44,542.90,3949100
2024-11-21,545.58,547.07,540.04,545.64,4530600
2024-11-22,545.82,548.05,545.37,547.47,5574600
2024-11-25,551.20,552.38,547.20,549.23,4305000
2024-11-26,550.50,552.82,549.85,552.31,4438600
2024-11-27,552.04,552.38,549.11,550.55,3312200
2024-11-29,551.29,554.70,551.07,553.45,3988700
2024-12-02,554.36,555.57,553.89,555.01,5441000
2024-12-03,554.80,555.43,553.79,555.14,4202900
2024-12-04,556.83,558.88,556.17,558.64,5490300
2024-12-05,558.63,559.41,557.46,557.71,3021600
2024-12-06,558.47,559.96,558.08,558.82,5134900
2024-12-09,558.71,558.87,555.38,555.91,4412300
2024-12-10,556.58,556.88,553.57,554.33,4110100
2024-12-11,556.92,559.39,556.66,558.53,3514400
2024-12-12,557.67,558.20,555.62,555.65,4048600
2024-12-13,557.51,558.16,554.20,555.61,4666900
2024-12-16,557.13,558.80,556.42,557.79,22846800
2024-12-17,555.47,556.39,554.29,555.45,6110900
2024-12-18,555.30,557.53,538.53,539.14,24584900
2024-12-19,543.69,545.10,538.65,538.94,16792100
2024-12-20,536.61,549.54,535.85,545.04,9389400
2024-12-23,543.31,547.36,540.32,547.19,7063400
2024-12-24,548.06,552.90,547.54,552.82,3439300
2024-12-26,551.20,553.97,549.92,552.81,4492000
2024-12-27,549.37,549.62,543.20,547.08,7077100
2024-12-30,540.56,544.09,537.40,540.99,6505100
2024-12-31,542.45,543.07,537.40,538.81,6040800
2025-01-02,542.02,543.54,533.79,537.46,7142700
2025-01-03,540.19,544.88,539.20,544.40,6416300
2025-01-06,548.28,551.43,545.82,547.57,5983400
2025-01-07,549.32,549.60,539.56,541.41,5383200
2025-01-08,541.32,543.00,538.08,542.14,4317000
2025-01-10,538.71,538.75,532.00,533.89,7935200
2025-01-13,529.40,534.91,529.02,534.58,5621000
2025-01-14,537.32,537.91,531.81,535.26,8820000
2025-01-15,542.84,546.13,541.76,545.05,5307300
2025-01-16,546.35,546.51,543.39,544.24,3632800
2025-01-17,548.92,551.12,547.68,549.46,6558700
2025-01-21,552.32,554.46,550.50,554.46,5301700
2025-01-22,557.19,558.93,556.73,557.61,4780000
2025-01-23,557.04,560.70,556.80,560.70,6217900
2025-01-24,560.76,561.66,558.02,559.01,3612100
2025-01-27,546.93,551.39,546.83,551.23,7617400
2025-01-28,552.30,556.65,549.22,555.85,4164700
2025-01-29,555.17,555.50,550.97,553.41,4174500
2025-01-30,555.37,557.78,552.38,556.30,4296500
2025-01-31,558.62,560.89,552.71,553.33,6233900
2025-02-03,544.99,551.96,542.98,549.70,7824000
2025-02-04,549.70,553.83,549.23,553.35,4181400
2025-02-05,552.34,555.73,550.41,555.62,3424200
2025-02-06,557.29,557.65,554.19,557.62,3606300
2025-02-07,558.10,559.20,551.79,552.20,10161600
2025-02-10,555.44,556.78,554.24,556.15,3517600
2025-02-11,554.10,557.12,553.99,556.65,2752900
2025-02-12,551.00,555.92,550.39,554.81,3579500
2025-02-13,555.87,560.88,554.70,560.67,3388500
2025-02-14,560.90,561.86,560.07,560.69,3380600
2025-02-18,561.80,562.31,559.49,562.31,3844900
2025-02-19,561.02,563.92,560.53,563.67,3857600
2025-02-20,562.39,562.48,558.22,561.30,4446800
2025-02-21,561.10,561.20,551.27,551.75,6148700
2025-02-24,553.61,554.51,548.51,549.14,4772300
2025-02-25,549.18,549.77,542.17,546.41,5491500
2025-02-26,548.01,551.35,544.25,546.75,4180800
2025-02-27,548.83,549.88,537.60,537.97,5521400
2025-02-28,538.42,546.89,535.58,546.33,7328100
2025-03-03,548.20,549.29,533.25,536.92,7290000
2025-03-04,533.06,538.28,526.16,530.45,10477400
2025-03-05,530.25,537.79,526.93,536.40,6221700
2025-03-06,529.19,533.43,524.22,526.67,7228900
2025-03-07,524.90,530.88,520.13,529.51,7308300
2025-03-10,521.90,523.70,510.83,515.51,11176900
2025-03-11,514.33,517.53,507.53,511.28,11208900
2025-03-12,516.89,517.74,509.10,513.76,8590600
2025-03-13,513.51,514.06,505.42,507.05,21650000
2025-03-14,511.28,518.42,510.84,517.46,7412300
2025-03-17,517.45,523.84,517.08,521.41,6269800
2025-03-18,519.32,519.52,514.07,515.91,6010600
2025-03-19,517.54,524.96,516.42,521.33,5373900
2025-03-20,517.96,524.62,517.32,520.13,6029700
2025-03-21,515.79,520.95,514.66,520.26,5059000
2025-03-24,526.48,530.39,525.88,529.39,22376300
2025-03-25,530.59,531.60,529.11,530.65,6260200
2025-03-26,530.56,531.41,523.10,524.46,4410200
2025-03-27,521.29,524.68,519.23,521.21,5534900
2025-03-28,519.76,520.46,510.16,510.80,5831800
2025-03-31,505.31,515.33,502.64,513.91,8196700
2025-04-01,512.36,517.35,508.88,515.80,7697000
2025-04-02,510.14,521.49,509.93,518.91,6308600
2025-04-03,501.00,503.66,493.50,494.16,16226000
2025-04-04,481.28,483.30,464.24,465.52,30966500
2025-04-07,449.54,480.76,442.80,463.56,31285300
2025-04-08,479.68,482.49,449.60,456.74,19002700
2025-04-09,453.49,502.06,453.16,499.10,29286600
2025-04-10,489.15,490.30,468.33,482.06,16651300
2025-04-11,480.69,493.00,478.00,490.55,11541200
2025-04-14,500.05,500.26,490.69,495.48,7701500
2025-04-15,496.03,499.27,493.42,494.09,8200600
2025-04-16,488.65,491.77,478.23,483.23,6374900
2025-04-17,484.79,488.16,481.50,483.90,5638900
2025-04-21,479.02,479.49,467.33,472.37,7762500
2025-04-22,478.07,486.48,477.19,484.29,6236300
2025-04-23,496.69,501.18,490.70,492.07,8047600
2025-04-24,493.26,503.00,492.22,502.41,6184300
2025-04-25,502.44,506.52,499.75,506.11,6933400
2025-04-28,506.81,508.74,500.96,506.42,4210000
2025-04-29,504.54,510.55,504.26,509.49,6525500
2025-04-30,503.26,511.50,497.76,509.74,7873700
2025-05-01,515.13,518.44,512.77,513.35,5784500
2025-05-02,519.12,522.41,516.89,520.71,6285400
2025-05-05,517.08,520.85,516.27,517.99,4793500
2025-05-06,512.89,517.83,511.94,513.58,4694300
2025-05-07,514.92,518.18,511.10,515.90,5460000
2025-05-08,519.54,524.23,516.35,519.34,5088200
2025-05-09,520.69,521.63,517.36,518.65,4739500
2025-05-12,534.50,535.92,530.39,535.92,7793600
2025-05-13,536.33,541.48,535.78,539.44,7356800
2025-05-14,540.37,541.42,538.24,540.11,5031300
2025-05-15,538.26,543.25,537.84,542.76,7362200
2025-05-16,543.47,546.47,541.70,546.26,7255300
2025-05-19,540.63,547.45,540.58,546.82,7766100
2025-05-20,545.22,546.06,541.99,544.88,7158200
2025-05-21,540.91,544.69,534.82,535.77,6339500
2025-05-22,535.60,539.23,534.44,536.02,5816600
2025-05-23,529.43,534.81,529.11,532.40,6455900
2025-05-27,538.72,543.52,537.18,543.34,6118100
2025-05-28,543.79,544.90,539.61,540.24,4910500
2025-05-29,545.15,545.28,538.74,542.32,4659500
2025-05-30,541.35,543.39,536.16,541.76,6171500
2025-06-02,540.25,544.91,537.80,544.91,5933500
2025-06-03,544.53,548.87,544.09,548.00,4993600
2025-06-04,548.75,549.65,547.44,547.65,4543400
2025-06-05,549.48,550.63,543.34,545.09,6372100
2025-06-06,550.30,552.32,548.70,550.66,4736000
2025-06-09,551.30,552.70,550.20,551.25,4516400
2025-06-10,551.78,554.74,550.74,554.39,5984100
2025-06-11,555.41,556.23,550.91,552.86,20800600
2025-06-12,551.60,555.00,551.13,554.95,8422900
2025-06-13,550.24,553.25,547.41,548.77,7100600
2025-06-16,551.94,555.69,551.87,554.07,7421300
2025-06-17,551.79,553.16,548.64,549.35,4753300
2025-06-18,550.16,552.71,548.39,549.24,4602300
2025-06-20,551.72,552.72,546.62,547.72,9978500
2025-06-23,548.66,553.70,545.75,553.36,9820200
2025-06-24,557.18,560.43,556.37,559.44,6770000
2025-06-25,560.52,561.02,558.34,559.72,16472300
2025-06-26,561.52,564.55,560.96,564.15,6081400
2025-06-27,565.11,568.33,563.21,566.95,6056500
2025-06-30,567.50,569.15,565.38,568.03,5750600
2025-07-01,566.56,568.80,565.80,567.77,7412700
2025-07-02,567.37,570.34,566.81,570.29,6164000
2025-07-03,572.18,575.67,572.13,575.22,4837000
2025-07-07,573.00,573.59,567.98,570.61,6417800
2025-07-08,571.15,571.83,569.48,570.23,6944600
2025-07-09,572.46,574.26,570.76,573.61,7156500
2025-07-10,573.78,576.26,572.70,575.29,4961700
2025-07-11,572.45,574.38,571.37,573.22,4428900
2025-07-14,572.85,574.68,571.58,574.35,4747000
2025-07-15,576.85,577.16,571.85,571.86,5399000
2025-07-16,573.40,574.26,568.17,573.74,6141200
2025-07-17,574.02,577.65,573.80,577.18,6495300
2025-07-18,578.47,578.50,575.84,576.92,4262400
2025-07-21,577.98,580.53,577.59,577.95,5913800
2025-07-22,578.28,578.84,575.64,577.95,4767700
2025-07-23,580.57,582.96,578.87,582.86,4257300
2025-07-24,583.34,584.75,582.72,583.26,3840900
2025-07-25,583.81,586.04,583.59,585.58,4210100
2025-07-28,586.04,586.50,584.24,585.44,4193100
2025-07-29,586.82,587.08,583.12,583.92,5053400
2025-07-30,584.66,586.15,580.55,583.21,6974700
2025-07-31,587.83,588.16,579.84,581.02,7046800
2025-08-01,575.73,575.74,569.29,571.45,8781300
2025-08-04,575.17,580.21,575.08,580.14,6640100
2025-08-05,580.79,581.50,576.40,577.35,4647400
2025-08-06,578.25,582.27,577.41,581.64,4545000
2025-08-07,584.87,585.52,578.31,581.29,4594300
2025-08-08,582.93,586.17,582.60,585.74,4342300
2025-08-11,586.03,587.36,583.44,584.54,5373900
2025-08-12,586.75,590.96,585.43,590.78,5851900
2025-08-13,592.86,594.03,590.81,592.84,5393000
2025-08-14,590.92,593.51,590.50,592.85,6236700
2025-08-15,593.86,593.95,590.66,591.57,7196300
2025-08-18,590.98,592.02,590.35,591.36,5311700
2025-08-19,591.25,592.12,586.94,588.13,6739300
2025-08-20,587.81,588.00,581.85,586.58,7113600
2025-08-21,584.93,586.46,582.65,584.27,4807300
2025-08-22,586.27,594.32,585.84,593.21,6389300
2025-08-25,592.05,593.23,590.55,590.70,6483000
2025-08-26,590.38,593.43,589.79,593.06,4776600
2025-08-27,592.52,595.14,592.44,594.42,6171400
2025-08-28,595.07,597.07,593.27,596.52,5058700
2025-08-29,595.24,595.55,591.25,593.08,7512000
2025-09-02,586.06,588.80,583.67,588.71,11116700
2025-09-03,590.81,592.23,588.78,591.72,8205900
2025-09-04,592.47,596.77,591.60,596.59,8045600
2025-09-05,598.91,599.60,591.45,594.96,6641500
2025-09-08,596.31,597.41,595.03,596.50,9472200
2025-09-09,596.61,598.37,595.01,597.95,7844800
2025-09-10,600.92,601.75,598.16,599.68,21641100
2025-09-11,601.43,605.23,600.89,604.57,9109700
2025-09-12,604.59,605.98,603.95,604.44,8130500
2025-09-15,606.47,607.77,606.20,607.59,7710700
2025-09-16,608.16,608.42,606.06,606.79,6393200
2025-09-17,606.84,608.33,601.55,606.09,11613600
2025-09-18,608.55,611.31,607.07,608.94,11057500
2025-09-19,610.62,612.67,608.85,611.78,6065700
2025-09-22,610.52,615.22,610.51,614.76,11583800
2025-09-23,614.71,615.26,610.34,611.54,10753000
2025-09-24,612.63,612.74,608.19,609.50,23787300
2025-09-25,606.62,607.93,603.35,606.59,6965700
2025-09-26,608.03,610.70,606.57,610.16,6438600
2025-09-29,610.79,611.68,608.48,610.13,5658800
2025-09-30,609.43,612.86,608.27,612.38,6515700
