Date,Open,High,Low,Close,Volume
2024-10-07,105.20,107.67,104.40,106.73,6403600
2024-10-08,105.84,108.08,105.13,106.82,4942600
2024-10-09,107.31,109.38,107.06,108.12,5512600
2024-10-10,106.50,109.09,104.62,107.47,4653900
2024-10-11,107.54,112.07,107.31,111.84,6545000
2024-10-14,112.34,113.43,111.53,112.41,5474300
2024-10-15,111.80,111.96,106.29,107.47,9795900
2024-10-16,109.52,112.78,109.24,111.69,6210100
2024-10-17,113.87,116.19,113.04,114.28,7672800
2024-10-18,114.10,114.28,112.12,112.25,4167800
2024-10-21,111.48,113.18,110.46,112.11,5974800
2024-10-22,110.50,114.11,110.25,112.47,9649700
2024-10-23,107.00,116.41,104.52,108.36,18855300
2024-10-24,109.51,111.94,108.09,110.03,8149800
2024-10-25,110.89,114.87,110.57,112.17,6257400
2024-10-28,113.09,115.19,112.67,113.61,4765800
2024-10-29,113.00,114.15,112.40,113.83,4019800
2024-10-30,113.31,114.13,110.61,112.45,3529500
2024-10-31,109.67,110.47,107.18,109.29,5806500
2024-11-01,109.91,110.00,106.65,106.90,5008300
2024-11-04,106.36,107.41,104.58,106.21,4637700
2024-11-05,107.49,112.57,107.05,112.44,4133600
2024-11-06,116.99,120.44,115.08,120.43,7598500
2024-11-07,122.89,124.86,120.94,122.17,7696700
2024-11-08,121.61,125.81,120.60,125.75,4621500
2024-11-11,130.15,130.30,123.85,126.80,6556500
2024-11-12,125.11,126.67,121.25,123.81,6110700
2024-11-13,125.99,128.71,124.29,124.53,4591000
2024-11-14,124.80,124.87,119.61,121.03,5020200
2024-11-15,119.02,123.25,118.64,120.87,6155000
2024-11-18,124.64,127.34,119.72,123.02,7583700
2024-11-19,123.63,141.12,123.63,140.94,14850300
2024-11-20,140.60,141.76,134.41,137.54,10605600
2024-11-21,138.98,145.67,137.28,141.49,10137200
2024-11-22,142.26,142.90,139.14,140.15,4944000
2024-11-25,141.03,141.70,130.65,132.03,10649700
2024-11-26,133.56,135.46,130.24,131.74,7680900
2024-11-27,130.04,130.67,124.52,126.94,7384600
2024-11-29,129.94,130.98,127.30,127.60,3018300
2024-12-02,129.00,131.99,124.05,127.05,5331900
2024-12-03,127.84,131.68,126.33,128.16,7607800
2024-12-04,130.21,132.90,129.22,130.88,5222800
2024-12-05,133.00,137.06,130.55,134.58,11214600
2024-12-06,135.00,135.52,130.70,133.85,4552300
2024-12-09,133.55,133.55,121.84,126.17,8959200
2024-12-10,126.50,127.83,120.63,121.70,6682900
2024-12-11,124.10,127.00,122.33,125.84,4269500
2024-12-12,123.97,126.17,123.30,125.04,3265000
2024-12-13,127.00,129.00,121.80,125.78,11623200
2024-12-16,126.22,127.21,123.59,125.97,4849100
2024-12-17,123.50,124.38,119.20,120.69,5869200
2024-12-18,121.88,122.50,112.79,114.12,6554000
2024-12-19,117.21,117.69,112.91,115.44,6615500
2024-12-20,114.20,121.00,112.58,120.04,8720800
2024-12-23,120.50,120.87,115.60,117.74,4161500
2024-12-24,118.53,119.57,117.96,118.74,1725800
2024-12-26,118.00,120.10,117.77,118.88,2188900
2024-12-27,117.07,118.00,113.48,115.11,3813100
2024-12-30,112.33,118.20,112.23,116.16,3663200
2024-12-31,116.39,116.50,113.39,113.61,3431600
2025-01-02,115.02,120.21,114.88,118.30,4808000
2025-01-03,119.25,126.11,119.09,125.67,7696700
2025-01-06,131.30,135.09,131.10,134.08,9688500
2025-01-07,135.00,135.33,126.01,130.64,7258000
2025-01-08,130.20,130.61,125.20,129.27,4115800
2025-01-10,128.08,129.23,122.14,128.93,5205600
2025-01-13,123.25,124.69,118.70,124.01,6856600
2025-01-14,126.13,130.88,125.71,128.95,6231600
2025-01-15,132.46,133.49,128.87,132.00,4268100
2025-01-16,133.86,136.22,131.62,132.59,4427700
2025-01-17,134.49,137.30,132.60,135.88,4915100
2025-01-21,141.14,143.48,135.55,143.13,7427400
2025-01-22,150.08,154.79,147.68,148.59,9963900
2025-01-23,147.46,155.26,146.55,153.49,7579300
2025-01-24,154.26,155.84,145.41,146.32,8530300
2025-01-27,117.05,121.48,99.11,102.60,47118800
2025-01-28,104.18,107.00,97.50,106.55,24199200
2025-01-29,108.94,112.67,106.04,110.46,17317300
2025-01-30,115.95,119.74,111.44,114.60,13358600
2025-01-31,118.05,121.19,113.70,117.02,11188000
2025-02-03,105.75,114.35,105.00,112.60,10950400
2025-02-04,113.00,113.74,109.55,111.25,7636300
2025-02-05,114.27,119.40,113.54,119.04,8100300
2025-02-06,119.66,121.34,117.55,119.56,5610600
2025-02-07,121.00,124.03,119.47,121.38,6041100
2025-02-10,120.78,126.53,120.78,125.76,7773300
2025-02-11,123.58,124.86,120.21,123.25,9012300
2025-02-12,111.08,116.00,110.75,111.24,21298100
2025-02-13,113.00,114.50,105.82,109.28,14407500
2025-02-14,109.30,109.30,105.86,108.05,7157300
2025-02-18,111.01,113.37,108.98,109.96,6717700
2025-02-19,109.86,110.38,106.67,107.84,5945000
2025-02-20,109.00,110.61,102.67,104.83,9035800
2025-02-21,105.00,105.00,94.57,95.99,15635300
2025-02-24,97.00,97.00,88.74,91.02,17153500
2025-02-25,89.00,94.25,84.69,91.90,20420600
2025-02-26,100.66,101.80,97.03,98.61,15843700
2025-02-27,103.70,104.21,91.94,92.41,12551000
2025-02-28,91.51,96.08,91.00,95.17,9527600
2025-03-03,93.66,94.90,84.10,85.41,15779700
2025-03-04,82.11,88.96,79.00,86.39,17251800
2025-03-05,86.21,89.26,83.79,87.89,8103200
2025-03-06,82.65,85.48,80.60,82.04,10284400
2025-03-07,82.04,85.50,79.79,85.04,9677300
2025-03-10,81.25,82.47,76.10,78.02,14742900
2025-03-11,78.95,85.35,78.12,83.12,10287600
2025-03-12,88.90,89.52,82.85,85.38,9870900
2025-03-13,84.25,85.13,79.91,83.09,8079800
2025-03-14,86.82,87.86,83.60,87.45,7348500
2025-03-17,86.82,90.72,86.58,89.08,7248000
2025-03-18,87.86,88.17,84.06,84.66,6148800
2025-03-19,85.79,91.19,84.66,89.17,7165400
2025-03-20,86.88,90.81,86.52,89.08,5474100
2025-03-21,87.06,89.11,85.75,88.63,5240900
2025-03-24,92.00,94.20,90.56,93.69,6225200
2025-03-25,92.95,94.02,89.51,91.58,6850800
2025-03-26,85.70,86.58,80.10,81.62,18957000
2025-03-27,78.57,79.46,75.93,76.32,17175000
2025-03-28,75.65,76.50,72.49,74.25,13147200
2025-03-31,70.00,72.49,68.25,72.20,13779500
2025-04-01,71.91,75.67,70.37,75.27,10133200
2025-04-02,72.50,77.68,72.43,77.11,8254100
2025-04-03,69.60,71.52,66.62,67.47,14045300
2025-04-04,60.04,61.79,55.32,59.41,27351300
2025-04-07,53.61,67.85,53.60,63.82,20280000
2025-04-08,70.20,70.35,60.67,62.90,17171900
2025-04-09,61.85,76.49,61.28,72.82,18896600
2025-04-10,69.19,70.78,65.92,67.73,11791000
2025-04-11,67.30,69.71,65.68,69.61,8185500
2025-04-14,73.22,73.42,70.13,71.57,7879500
2025-04-15,71.37,73.47,71.37,72.71,6190300
2025-04-16,69.18,72.21,68.33,71.65,14543000
2025-04-17,72.50,73.74,70.85,73.21,9296500
2025-04-21,70.85,71.50,65.93,67.57,8511100
2025-04-22,69.21,72.60,69.00,71.82,10428000
2025-04-23,85.47,86.93,77.24,78.00,24253700
2025-04-24,80.25,84.84,80.00,83.88,13734200
2025-04-25,84.97,89.27,84.55,86.95,14315000
2025-04-28,86.95,88.00,84.33,86.15,8872000
2025-04-29,87.00,87.50,84.67,86.19,6317500
2025-04-30,81.78,85.41,80.51,85.38,8979700
2025-05-01,91.64,94.93,91.17,92.55,16440700
2025-05-02,94.11,96.99,93.00,95.00,9145600
2025-05-05,93.11,95.79,92.95,94.83,6240200
2025-05-06,91.94,93.95,91.81,93.48,6740400
2025-05-07,92.90,95.65,91.84,95.52,10037400
2025-05-08,96.95,97.28,94.87,95.74,7275900
2025-05-09,96.06,96.94,92.13,94.06,6369800
2025-05-12,101.10,101.75,99.44,101.05,8952200
2025-05-13,101.07,107.69,100.90,105.58,8987200
2025-05-14,108.55,109.95,106.82,109.48,9603500
2025-05-15,105.80,108.18,105.19,105.38,6667500
2025-05-16,106.15,106.34,103.96,106.04,5170000
2025-05-19,103.00,106.75,102.56,106.40,4593500
2025-05-20,105.37,106.84,105.02,106.39,4030700
2025-05-21,104.29,107.00,102.57,103.61,5354900
2025-05-22,102.70,105.29,101.11,104.20,3800000
2025-05-23,101.36,105.15,101.00,104.14,3967400
2025-05-27,107.52,110.18,106.30,109.79,6457200
2025-05-28,108.80,109.52,107.05,109.22,5920500
2025-05-29,113.81,114.34,107.05,108.47,5908200
2025-05-30,107.31,107.97,104.71,107.93,6935600
2025-06-02,108.00,109.38,105.68,109.23,4001800
2025-06-03,111.20,115.35,110.62,112.34,8438200
2025-06-04,113.32,115.65,112.70,112.85,5005700
2025-06-05,113.97,114.18,110.96,112.22,4812000
2025-06-06,115.00,116.62,114.25,115.36,5377100
2025-06-09,115.17,115.50,111.50,112.00,5820400
2025-06-10,113.00,113.01,107.38,108.47,7573000
2025-06-11,108.40,111.89,107.38,110.59,5560400
2025-06-12,109.40,114.59,108.81,114.50,6778700
2025-06-13,111.08,113.71,110.32,110.97,5900600
2025-06-16,114.30,117.18,113.39,116.45,7553800
2025-06-17,117.02,120.33,115.50,116.61,6102900
2025-06-18,116.57,120.74,115.67,119.08,6331700
2025-06-20,119.65,120.40,117.20,118.54,6689600
2025-06-23,117.50,118.55,112.71,116.54,9121400
2025-06-24,118.05,122.92,117.49,122.32,7544700
2025-06-25,123.00,124.62,121.25,121.64,5324500
2025-06-26,122.01,125.45,121.47,123.80,5398100
2025-06-27,127.00,128.58,124.80,127.16,9337700
2025-06-30,128.08,129.31,125.88,128.41,5349800
2025-07-01,127.00,127.87,120.28,122.54,8974300
2025-07-02,124.12,126.47,123.10,124.33,5761600
2025-07-03,124.60,129.43,124.55,127.84,4003600
2025-07-07,127.84,129.00,124.79,126.26,4427000
2025-07-08,129.88,131.38,124.90,125.89,6641600
2025-07-09,127.03,129.48,125.91,128.37,4936300
2025-07-10,128.00,128.82,110.06,120.72,24686000
2025-07-11,120.11,124.64,118.70,123.30,7222200
2025-07-14,122.00,125.56,122.00,124.72,6560400
2025-07-15,127.94,129.44,125.50,127.37,7079600
2025-07-16,127.35,128.45,122.51,125.40,6036900
2025-07-17,128.25,133.52,127.43,131.12,7989200
2025-07-18,131.51,133.20,128.44,129.06,5781900
2025-07-21,129.20,129.75,125.40,126.21,4821200
2025-07-22,125.86,125.92,119.10,125.29,6335800
2025-07-23,127.91,131.44,127.37,130.19,6072900
2025-07-24,131.98,132.95,129.39,130.87,4504500
2025-07-25,132.13,137.66,132.13,137.47,8556100
2025-07-28,139.13,143.10,138.02,142.55,10607100
2025-07-29,143.08,146.32,140.38,142.70,15169700
2025-07-30,147.07,153.50,140.36,144.17,18502400
2025-07-31,148.75,152.59,145.43,145.60,10875600
2025-08-01,137.28,143.14,136.00,141.59,11015000
2025-08-04,144.26,144.26,139.55,140.20,6744800
2025-08-05,140.83,141.40,135.35,138.76,5091100
2025-08-06,137.59,140.21,136.25,139.75,4079300
2025-08-07,141.00,141.04,137.42,139.39,5302500
