Date,Open,High,Low,Close,Volume
2024-10-07,139.86,143.87,128.36,131.27,15672300
2024-10-08,131.00,131.25,127.73,127.96,9002400
2024-10-09,126.41,126.50,120.77,124.18,9781200
2024-10-10,124.00,127.04,122.97,124.11,5842500
2024-10-11,117.50,125.31,114.50,125.29,10896200
2024-10-14,127.77,133.74,127.29,132.26,12001900
2024-10-15,132.01,132.78,126.52,128.29,6937800
2024-10-16,130.74,136.08,128.45,135.69,7574200
2024-10-17,139.48,139.48,126.99,127.27,11724100
2024-10-18,127.30,132.26,125.37,131.16,6257300
2024-10-21,131.58,133.43,127.81,130.38,4314800
2024-10-22,128.00,128.88,124.70,125.04,5758000
2024-10-23,124.00,128.70,123.11,126.11,4554600
2024-10-24,125.91,127.11,123.30,125.58,3317400
2024-10-25,127.35,128.35,123.10,124.03,3792500
2024-10-28,125.21,128.62,123.97,127.78,5213300
2024-10-29,125.58,127.86,124.34,126.66,4738600
2024-10-30,127.05,128.46,121.50,124.11,4166500
2024-10-31,124.31,125.73,122.42,124.96,4073500
2024-11-01,124.60,126.34,119.09,119.51,5979600
2024-11-04,117.69,118.80,111.50,115.74,10742700
2024-11-05,116.31,122.27,115.89,121.90,6438800
2024-11-06,125.17,127.00,121.07,126.09,7411300
2024-11-07,138.11,143.79,130.02,135.73,14877300
2024-11-08,135.24,144.77,135.24,141.90,9826100
2024-11-11,146.28,149.80,141.95,145.80,7850400
2024-11-12,143.92,145.98,137.24,142.16,5314700
2024-11-13,145.43,147.60,141.31,142.12,3863200
2024-11-14,142.23,143.41,138.17,138.46,3230200
2024-11-15,137.60,142.60,137.03,142.15,3562100
2024-11-18,142.72,152.64,142.72,146.63,5744000
2024-11-19,144.14,154.95,143.13,154.86,6372400
2024-11-20,155.77,157.72,151.26,154.63,4446700
2024-11-21,157.74,167.60,156.86,166.61,7868500
2024-11-22,168.67,168.67,158.12,161.92,6993300
2024-11-25,166.00,166.38,152.71,154.14,7673800
2024-11-26,154.38,164.14,153.61,162.66,5331100
2024-11-27,161.68,163.15,153.40,154.52,4819900
2024-11-29,158.49,160.90,156.73,159.84,2475800
2024-12-02,161.60,163.33,153.54,154.11,4843800
2024-12-03,155.64,158.88,153.90,154.16,3898800
2024-12-04,158.94,164.25,157.01,161.31,5327200
2024-12-05,161.00,164.86,159.58,160.88,3554200
2024-12-06,161.10,163.49,157.29,159.98,3220400
2024-12-09,160.17,160.71,146.15,148.31,6844200
2024-12-10,145.88,147.80,139.30,141.52,7109700
2024-12-11,145.94,148.41,143.44,146.00,6209300
2024-12-12,146.43,148.98,144.60,145.08,3703000
2024-12-13,146.35,149.35,143.59,144.89,4016400
2024-12-16,144.71,147.22,143.28,145.33,4801300
2024-12-17,142.88,143.37,136.10,139.77,5475200
2024-12-18,141.25,141.25,131.64,132.89,5690600
2024-12-19,134.61,139.73,133.32,137.20,7554400
2024-12-20,132.45,141.63,132.00,139.95,8735100
2024-12-23,140.00,141.37,135.62,140.79,2871400
2024-12-24,142.03,144.16,141.02,143.36,1642700
2024-12-26,142.90,144.88,141.45,144.11,1928000
2024-12-27,143.00,143.00,136.74,139.68,3214700
2024-12-30,136.05,141.18,134.86,140.09,4930600
2024-12-31,139.91,140.44,137.02,137.87,2761600
2025-01-02,139.63,149.89,138.26,149.66,6169600
2025-01-03,154.36,162.66,151.66,162.36,8762600
2025-01-06,165.16,166.00,159.50,163.95,7406900
2025-01-07,164.61,165.21,155.80,163.37,5258700
2025-01-08,162.97,163.00,152.61,160.81,7198700
2025-01-10,161.50,169.19,154.40,166.73,9743400
2025-01-13,161.71,164.74,156.31,162.13,6289200
2025-01-14,166.68,175.00,165.69,170.51,7486300
2025-01-15,175.00,178.08,167.09,169.17,7817300
2025-01-16,170.93,178.40,170.00,174.00,5772000
2025-01-17,169.03,173.28,166.50,170.86,8263500
2025-01-21,179.30,188.77,174.85,185.35,10678200
2025-01-22,192.99,194.67,183.30,186.86,9003500
2025-01-23,189.00,199.84,188.22,191.89,10217800
2025-01-24,194.02,194.44,189.11,191.11,5265600
2025-01-27,154.09,156.93,132.59,137.08,32356900
2025-01-28,142.18,149.90,134.92,149.64,20931000
2025-01-29,147.25,160.00,146.63,155.21,14323400
2025-01-30,159.02,176.49,157.00,176.30,18034800
2025-01-31,175.00,176.42,167.14,168.03,12159400
2025-02-03,157.50,171.50,156.28,168.53,9849800
2025-02-04,168.52,170.77,162.97,168.33,5652700
2025-02-05,172.38,176.36,168.67,171.61,7017700
2025-02-06,171.61,174.95,167.28,169.88,5943800
2025-02-07,170.88,174.97,165.13,166.90,6438600
2025-02-10,169.00,172.70,165.53,168.39,5726400
2025-02-11,166.51,170.40,164.33,167.61,4000000
2025-02-12,163.43,170.98,161.07,166.61,5265400
2025-02-13,168.14,169.34,161.25,165.65,7820700
2025-02-14,165.61,170.45,161.50,167.66,5713300
2025-02-18,168.87,172.77,166.88,169.28,5963700
2025-02-19,168.10,173.32,167.14,169.35,6213400
2025-02-20,167.50,168.20,157.87,163.18,7134900
2025-02-21,163.65,163.65,147.80,150.44,9974300
2025-02-24,151.20,151.59,139.01,142.76,9860000
2025-02-25,139.42,141.00,127.67,137.92,13529900
2025-02-26,143.00,150.20,142.56,148.19,9208400
2025-02-27,149.11,152.94,129.77,130.01,16672900
2025-02-28,128.00,134.71,124.05,133.66,13060900
2025-03-03,133.66,134.28,121.72,123.95,10900500
