Date,Rating,Description
2024-10-01,70,greed
2024-10-02,71,greed
2024-10-03,69,greed
2024-10-04,71,greed
2024-10-07,71,greed
2024-10-08,71,greed
2024-10-09,71,greed
2024-10-10,70,greed
2024-10-11,72,greed
2024-10-14,74,greed
2024-10-15,71,greed
2024-10-16,69,greed
2024-10-17,69,greed
2024-10-18,72,greed
2024-10-21,70,greed
2024-10-22,70,greed
2024-10-23,63,greed
2024-10-24,63,greed
2024-10-25,59,greed
2024-10-28,61,greed
2024-10-29,60,greed
2024-10-30,57,greed
2024-10-31,40,fear
2024-11-01,50,neutral
2024-11-04,42,fear
2024-11-05,44,fear
2024-11-06,44,fear
2024-11-07,59,greed
2024-11-08,59,greed
2024-11-11,67,greed
2024-11-12,67,greed
2024-11-13,66,greed
2024-11-14,60,greed
2024-11-15,51,neutral
2024-11-18,50,neutral
2024-11-19,50,neutral
2024-11-20,50,neutral
2024-11-21,57,greed
2024-11-22,61,greed
2024-11-25,63,greed
2024-11-26,66,greed
2024-11-27,64,greed
2024-11-29,65,greed
2024-12-02,65,greed
2024-12-03,60,greed
2024-12-04,57,greed
2024-12-05,55,neutral
2024-12-06,52,neutral
2024-12-09,49,neutral
2024-12-10,47,neutral
2024-12-11,49,neutral
2024-12-12,47,neutral
2024-12-13,49,neutral
2024-12-16,56,greed
2024-12-17,51,neutral
2024-12-18,33,fear
2024-12-19,20,extreme fear
2024-12-20,28,fear
2024-12-23,30,fear
2024-12-24,35,fear
2024-12-26,34,fear
2024-12-27,34,fear
2024-12-30,29,fear
2024-12-31,26,fear
2025-01-02,24,extreme fear
2025-01-03,29,fear
2025-01-06,34,fear
2025-01-07,34,fear
2025-01-08,32,fear
2025-01-10,26,fear
2025-01-13,25,fear
2025-01-14,25,fear
2025-01-15,27,fear
2025-01-16,27,fear
2025-01-17,36,fear
2025-01-21,40,fear
2025-01-22,42,fear
2025-01-23,44,fear
2025-01-24,46,neutral
2025-01-27,38,fear
2025-01-28,41,fear
2025-01-29,42,fear
2025-01-30,46,neutral
2025-01-31,44,fear
2025-02-03,37,fear
2025-02-04,37,fear
2025-02-05,39,fear
2025-02-06,40,fear
2025-02-07,38,fear
2025-02-10,45,fear
2025-02-11,45,neutral
2025-02-12,41,fear
2025-02-13,47,neutral
2025-02-14,44,fear
2025-02-18,47,neutral
2025-02-19,48,neutral
2025-02-20,44,fear
2025-02-21,37,fear
2025-02-24,30,fear
2025-02-25,24,extreme fear
2025-02-26,21,extreme fear
2025-02-27,13,extreme fear
2025-02-28,21,extreme fear
2025-03-03,12,extreme fear
2025-03-04,11,extreme fear
2025-03-05,12,extreme fear
2025-03-06,17,extreme fear
2025-03-07,18,extreme fear
2025-03-10,17,extreme fear
2025-03-11,15,extreme fear
2025-03-12,16,extreme fear
2025-03-13,15,extreme fear
2025-03-14,22,extreme fear
2025-03-17,23,extreme fear
2025-03-18,22,extreme fear
2025-03-19,22,extreme fear
2025-03-20,22,extreme fear
2025-03-21,23,extreme fear
2025-03-24,25,fear
2025-03-25,29,fear
2025-03-26,29,fear
2025-03-27,28,fear
2025-03-28,26,fear
2025-03-31,21,extreme fear
2025-04-01,20,extreme fear
2025-04-02,23,extreme fear
2025-04-03,12,extreme fear
2025-04-04,5,extreme fear
2025-04-07,4,extreme fear
2025-04-08,3,extreme fear
2025-04-09,10,extreme fear
2025-04-10,6,extreme fear
2025-04-11,8,extreme fear
2025-04-14,12,extreme fear
2025-04-15,13,extreme fear
2025-04-16,11,extreme fear
2025-04-17,16,extreme fear
2025-04-21,12,extreme fear
2025-04-22,14,extreme fear
2025-04-23,22,extreme fear
2025-04-24,24,extreme fear
2025-04-25,35,fear
2025-04-28,32,fear
2025-04-29,33,fear
2025-04-30,32,fear
2025-05-01,41,fear
2025-05-02,38,fear
2025-05-05,53,neutral
2025-05-06,55,neutral
2025-05-07,54,neutral
2025-05-08,58,greed
2025-05-09,60,greed
2025-05-12,64,greed
2025-05-13,68,greed
2025-05-14,70,greed
2025-05-15,69,greed
2025-05-16,71,greed
2025-05-19,70,greed
2025-05-20,69,greed
2025-05-21,66,greed
2025-05-22,67,greed
2025-05-23,64,greed
2025-05-27,66,greed
2025-05-28,65,greed
2025-05-29,64,greed
2025-05-30,62,greed
2025-06-02,62,greed
2025-06-03,55,neutral
2025-06-04,55,neutral
2025-06-05,58,greed
2025-06-06,62,greed
2025-06-09,63,greed
2025-06-10,64,greed
2025-06-11,64,greed
2025-06-12,65,greed
2025-06-13,60,greed
2025-06-16,61,greed
2025-06-17,57,greed
2025-06-18,54,neutral
2025-06-20,55,neutral
2025-06-23,57,greed
2025-06-24,58,greed
2025-06-25,59,greed
2025-06-26,63,greed
2025-06-27,65,greed
2025-06-30,69,greed
2025-07-01,68,greed
2025-07-02,64,greed
2025-07-03,78,extreme greed
2025-07-07,75,extreme greed
2025-07-08,75,greed
2025-07-09,76,extreme greed
2025-07-10,77,extreme greed
2025-07-11,75,extreme greed
2025-07-14,76,extreme greed
2025-07-15,73,greed
2025-07-16,73,greed
2025-07-17,74,greed
2025-07-18,74,greed
2025-07-21,73,greed
2025-07-22,74,greed
2025-07-23,76,extreme greed
2025-07-24,75,extreme greed
2025-07-25,75,greed
2025-07-28,74,greed
2025-07-29,71,greed
2025-07-30,68,greed
2025-07-31,64,greed
2025-08-01,50,neutral
2025-08-04,57,greed
2025-08-05,55,greed
2025-08-06,55,greed
2025-08-07,55,neutral
2025-08-08,58,greed
2025-08-11,58,greed
2025-08-12,62,greed
2025-08-13,63,greed
2025-08-14,63,greed
2025-08-15,64,greed
2025-08-18,64,greed
2025-08-19,60,greed
2025-08-20,56,greed
2025-08-21,55,greed
2025-08-22,62,greed
2025-08-25,58,greed
2025-08-26,61,greed
2025-08-27,65,greed
2025-08-28,66,greed
2025-08-29,61,greed
2025-09-02,52,neutral
2025-09-03,52,neutral
2025-09-04,56,greed
2025-09-05,53,neutral
2025-09-08,50,neutral
2025-09-09,51,neutral
2025-09-10,50,neutral
2025-09-11,55,neutral
2025-09-12,54,neutral
2025-09-15,58,greed
2025-09-16,57,greed
2025-09-17,58,greed
2025-09-18,61,greed
2025-09-19,62,greed
2025-09-22,62,greed
2025-09-23,58,greed
2025-09-24,55,greed
2025-09-25,52,neutral
2025-09-26,54,neutral
2025-09-29,53,neutral
2025-09-29,53,neutral
