Date,Open,High,Low,Close
2024-09-30,36.58,37.32,36.15,37.20
2024-10-01,37.21,37.56,36.05,36.46
2024-10-02,36.30,37.68,36.15,37.49
2024-10-03,37.45,39.29,37.37,39.24
2024-10-04,39.65,40.29,39.40,40.01
2024-10-07,39.90,40.15,38.78,38.89
2024-10-08,39.29,41.49,39.01,41.45
2024-10-09,41.55,43.34,41.21,43.13
2024-10-10,42.92,43.88,42.41,43.52
2024-10-11,43.40,44.38,42.62,43.51
2024-10-14,43.72,44.39,43.28,43.40
2024-10-15,43.47,43.68,41.51,42.43
2024-10-16,42.40,42.49,40.36,41.93
2024-10-17,42.15,42.70,41.61,42.00
2024-10-18,42.01,42.99,41.65,42.97
2024-10-21,42.86,43.40,42.41,42.70
2024-10-22,42.69,43.49,42.30,42.94
2024-10-23,42.85,43.68,42.06,42.59
2024-10-24,42.89,43.73,42.66,43.56
2024-10-25,43.85,45.07,43.65,44.86
2024-10-28,45.05,45.14,44.68,44.97
2024-10-29,44.90,45.07,44.04,44.93
2024-10-30,44.58,44.80,43.61,43.69
2024-10-31,42.79,43.32,40.90,41.56
2024-11-01,41.93,42.57,41.59,41.92
2024-11-04,41.08,42.04,41.03,41.41
2024-11-05,47.86,51.58,46.86,51.13
2024-11-06,53.44,55.69,51.61,55.53
2024-11-07,55.82,56.47,53.55,55.88
2024-11-08,55.57,58.48,55.30,58.39
2024-11-11,60.13,62.08,58.69,60.24
2024-11-12,59.01,60.09,58.57,59.85
2024-11-13,61.52,63.39,59.85,60.70
2024-11-14,61.05,61.17,58.53,59.18
2024-11-15,61.01,66.00,60.91,65.77
2024-11-18,64.92,64.92,58.85,61.26
2024-11-19,59.51,63.01,59.26,62.98
2024-11-20,62.59,63.08,59.96,62.12
2024-11-21,62.04,63.40,60.90,61.36
2024-11-22,61.60,64.44,61.37,64.35
2024-11-25,66.90,67.88,64.08,64.65
2024-11-26,64.57,65.85,63.89,65.74
2024-11-27,66.24,67.56,64.24,66.05
2024-11-29,65.89,67.16,65.47,67.08
